site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LDES 99FEB11 1999.1129 51220  996 4 -116.4  -3020 -0.949213   3793315  0.829828   977  0.995707  0.0083 0.000531 0.000627 0.002063 -0.050068  0.033575 -0.115459
LDES 99FEB12 1999.1157 51221  996 5 -116.4  -3020 -0.948600   3793315  0.831833   977  0.994123  0.0083 0.000536 0.000633 0.002097 -0.055196  0.044932 -0.144475
LDES 99FEB13 1999.1184 51222  996 6 -116.4  -3020 -0.950313   3793315  0.833391   977  0.990029  0.0083 0.000531 0.000616 0.002032 -0.040533  0.024614 -0.113107
LDES 99FEB14 1999.1211 51223  997 0 -116.4  -3020 -0.950611   3793315  0.832138   977  0.999727  0.0083 0.000532 0.000634 0.002077 -0.065490  0.059231 -0.085452
LDES 99FEB15 1999.1239 51224  997 1 -116.4  -3020 -0.949163   3793315  0.830423   977  0.996427  0.0083 0.000531 0.000620 0.002087 -0.051168  0.041664 -0.101436
LDES 99FEB16 1999.1266 51225  997 2 -116.4  -3020 -0.950859   3793315  0.830084   977  1.002258  0.0083 0.000532 0.000617 0.002062 -0.053894  0.033565 -0.101132
LDES 99FEB17 1999.1294 51226  997 3 -116.4  -3020 -0.955969   3793315  0.829159   977  0.998752  0.0083 0.000525 0.000616 0.002020 -0.060855  0.035469 -0.112623
LDES 99FEB18 1999.1321 51227  997 4 -116.4  -3020 -0.950778   3793315  0.829252   977  1.006062  0.0083 0.000534 0.000604 0.001995 -0.016680  0.037211 -0.100685
LDES 99FEB19 1999.1348 51228  997 5 -116.4  -3020 -0.950056   3793315  0.827499   977  1.003510  0.0083 0.000564 0.000638 0.002168 -0.053636  0.073509 -0.132643
LDES 99FEB20 1999.1376 51229  997 6 -116.4  -3020 -0.950487   3793315  0.829220   977  0.996502  0.0083 0.000544 0.000619 0.002018 -0.035692  0.031107 -0.103509
LDES 99FEB21 1999.1403 51230  998 0 -116.4  -3020 -0.947344   3793315  0.831265   977  0.998704  0.0083 0.000521 0.000599 0.001970 -0.019052  0.043901 -0.108063
LDES 99FEB22 1999.1431 51231  998 1 -116.4  -3020 -0.953365   3793315  0.828593   977  0.986947  0.0083 0.000518 0.000597 0.001950 -0.026872  0.040676 -0.107626
LDES 99FEB23 1999.1458 51232  998 2 -116.4  -3020 -0.952664   3793315  0.827910   977  0.993848  0.0083 0.000524 0.000617 0.002002 -0.049121  0.045239 -0.086290
LDES 99FEB24 1999.1485 51233  998 3 -116.4  -3020 -0.948230   3793315  0.827458   977  0.993104  0.0083 0.000521 0.000599 0.001949 -0.034214  0.041511 -0.086784
LDES 99FEB25 1999.1513 51234  998 4 -116.4  -3020 -0.951208   3793315  0.830124   977  0.998848  0.0083 0.000513 0.000590 0.001927 -0.033214  0.043872 -0.100402
LDES 99FEB26 1999.1540 51235  998 5 -116.4  -3020 -0.951602   3793315  0.830140   977  0.992345  0.0083 0.000523 0.000618 0.001992 -0.010282  0.020002 -0.116152
LDES 99FEB27 1999.1567 51236  998 6 -116.4  -3020 -0.952627   3793315  0.828895   977  0.998882  0.0083 0.000520 0.000612 0.002020 -0.045054  0.070295 -0.086919
LDES 99FEB28 1999.1595 51237  999 0 -116.4  -3020 -0.952843   3793315  0.828101   977  0.992692  0.0083 0.000514 0.000601 0.001930 -0.021795  0.024898 -0.096920
LDES 99MAR01 1999.1622 51238  999 1 -116.4  -3020 -0.953847   3793315  0.827971   977  0.991763  0.0083 0.000528 0.000614 0.002051 -0.068597  0.064470 -0.079831
LDES 99MAR02 1999.1650 51239  999 2 -116.4  -3020 -0.951227   3793315  0.828165   977  0.996279  0.0083 0.000530 0.000614 0.002009 -0.039282  0.054491 -0.112023
LDES 99MAR03 1999.1677 51240  999 3 -116.4  -3020 -0.949491   3793315  0.828513   977  1.005483  0.0083 0.000517 0.000593 0.001930 -0.027051  0.031471 -0.096648
LDES 99MAR04 1999.1704 51241  999 4 -116.4  -3020 -0.949971   3793315  0.827603   977  1.000057  0.0083 0.000516 0.000596 0.001950 -0.004390  0.030509 -0.078490
LDES 99MAR05 1999.1732 51242  999 5 -116.4  -3020 -0.951653   3793315  0.828755   977  0.994599  0.0083 0.000514 0.000594 0.001928 -0.018140  0.051311 -0.089732
LDES 99MAR06 1999.1759 51243  999 6 -116.4  -3020 -0.951261   3793315  0.831943   977  1.003823  0.0083 0.000527 0.000594 0.001960 -0.026586  0.057439 -0.047326
LDES 99MAR07 1999.1786 51244 1000 0 -116.4  -3020 -0.951569   3793315  0.830149   977  0.992149  0.0083 0.000524 0.000599 0.001967 -0.028835  0.029131 -0.110247
