site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LLYD 14APR24 2014.3107 56771 1789 4 -110.0   1932  0.991593   5905356  0.959486   624  0.257153  0.0000 0.000460 0.000646 0.001803  0.060835 -0.034413  0.106298
LLYD 14APR25 2014.3135 56772 1789 5 -110.0   1932  0.995239   5905356  0.960110   624  0.252637  0.0000 0.000443 0.000613 0.001699  0.038779 -0.024405  0.081113
LLYD 14APR26 2014.3162 56773 1789 6 -110.0   1932  0.992305   5905356  0.956241   624  0.256771  0.0000 0.000435 0.000609 0.001693  0.025821 -0.045706  0.081512
LLYD 14APR27 2014.3190 56774 1790 0 -110.0   1932  0.995870   5905356  0.959845   624  0.260192  0.0000 0.000442 0.000610 0.001690  0.022003 -0.034141  0.097197
LLYD 14APR28 2014.3217 56775 1790 1 -110.0   1932  0.994522   5905356  0.957745   624  0.252473  0.0000 0.000453 0.000638 0.001738  0.045989 -0.027319  0.086481
LLYD 14APR29 2014.3244 56776 1790 2 -110.0   1932  0.992742   5905356  0.956790   624  0.257006  0.0000 0.000445 0.000628 0.001726  0.035574 -0.026880  0.106889
LLYD 14APR30 2014.3272 56777 1790 3 -110.0   1932  0.991380   5905356  0.958313   624  0.263091  0.0000 0.000488 0.000710 0.001919  0.106157 -0.067834 -0.063286
LLYD 14MAY01 2014.3299 56778 1790 4 -110.0   1932  0.993636   5905356  0.959854   624  0.264529  0.0000 0.000444 0.000610 0.001690  0.019418 -0.009843  0.084708
LLYD 14MAY02 2014.3326 56779 1790 5 -110.0   1932  0.990803   5905356  0.960972   624  0.261425  0.0000 0.000438 0.000614 0.001702  0.028569 -0.033992  0.075758
LLYD 14MAY03 2014.3354 56780 1790 6 -110.0   1932  0.993508   5905356  0.961156   624  0.253199  0.0000 0.000446 0.000618 0.001727  0.045083 -0.029188  0.079932
LLYD 14MAY05 2014.3409 56782 1791 1 -110.0   1932  0.991020   5905356  0.962475   624  0.245509  0.0000 0.000442 0.000622 0.001715  0.025243 -0.020581  0.082965
LLYD 14MAY06 2014.3436 56783 1791 2 -110.0   1932  0.994838   5905356  0.960767   624  0.251897  0.0000 0.000440 0.000618 0.001713  0.029654 -0.034762  0.099433
LLYD 14MAY07 2014.3463 56784 1791 3 -110.0   1932  0.994585   5905356  0.960216   624  0.249512  0.0000 0.000439 0.000614 0.001706  0.018682 -0.012873  0.080794
LLYD 14MAY08 2014.3491 56785 1791 4 -110.0   1932  0.991529   5905356  0.959713   624  0.254385  0.0000 0.000463 0.000660 0.001850  0.027814 -0.023156  0.023843
LLYD 14MAY09 2014.3518 56786 1791 5 -110.0   1932  0.993519   5905356  0.960383   624  0.253449  0.0000 0.000449 0.000632 0.001778  0.019865 -0.020808  0.065808
LLYD 14MAY10 2014.3546 56787 1791 6 -110.0   1932  0.991740   5905356  0.962791   624  0.254308  0.0000 0.000438 0.000619 0.001731  0.013236 -0.014982  0.075705
LLYD 14MAY11 2014.3573 56788 1792 0 -110.0   1932  0.993417   5905356  0.960635   624  0.250169  0.0000 0.000440 0.000618 0.001724  0.028886 -0.038815  0.082490
LLYD 14MAY12 2014.3600 56789 1792 1 -110.0   1932  0.995374   5905356  0.961599   624  0.254112  0.0000 0.000481 0.000659 0.001867 -0.000887  0.035075  0.066860
LLYD 14MAY13 2014.3628 56790 1792 2 -110.0   1932  0.993456   5905356  0.961260   624  0.250650  0.0000 0.000441 0.000621 0.001710  0.014063 -0.011321  0.109211
LLYD 14MAY14 2014.3655 56791 1792 3 -110.0   1932  0.993951   5905356  0.962745   624  0.252936  0.0000 0.000443 0.000618 0.001731  0.029591 -0.002648  0.096851
LLYD 14MAY15 2014.3682 56792 1792 4 -110.0   1932  0.994050   5905356  0.963162   624  0.255552  0.0000 0.000445 0.000624 0.001742  0.010432 -0.011464  0.103107
LLYD 14MAY16 2014.3710 56793 1792 5 -110.0   1932  0.993616   5905356  0.962020   624  0.249874  0.0000 0.000439 0.000617 0.001702  0.018075 -0.019681  0.114309
LLYD 14MAY17 2014.3737 56794 1792 6 -110.0   1932  0.995070   5905356  0.960751   624  0.256981  0.0000 0.000435 0.000614 0.001694  0.021356 -0.011542  0.087629
LLYD 14MAY18 2014.3765 56795 1793 0 -110.0   1932  0.995093   5905356  0.962172   624  0.258011  0.0000 0.000429 0.000608 0.001681  0.040511 -0.027935  0.115048
LLYD 14MAY19 2014.3792 56796 1793 1 -110.0   1932  0.993747   5905356  0.958095   624  0.252211  0.0000 0.000436 0.000608 0.001672  0.043759 -0.019687  0.087360
LLYD 14MAY20 2014.3819 56797 1793 2 -110.0   1932  0.992476   5905356  0.960555   624  0.254780  0.0000 0.000442 0.000619 0.001699  0.061848 -0.038322  0.089854
LLYD 14MAY21 2014.3847 56798 1793 3 -110.0   1932  0.993003   5905356  0.957718   624  0.265854  0.0000 0.000435 0.000612 0.001690  0.028160 -0.016224  0.097608
LLYD 14MAY22 2014.3874 56799 1793 4 -110.0   1932  0.995363   5905356  0.961330   624  0.261462  0.0000 0.000433 0.000616 0.001708  0.033266 -0.035327  0.112722
