site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LRDR 12JUL15 2012.5366 56123 1697 0  -79.7  -1483 -0.798050   5329692  0.671019   263  0.808340  0.0000 0.000544 0.000697 0.002206 -0.085140  0.074560 -0.152437
LRDR 12JUL16 2012.5394 56124 1697 1  -79.7  -1483 -0.794497   5329692  0.665574   263  0.796790  0.0000 0.000499 0.000649 0.001937 -0.070374  0.007867 -0.071627
LRDR 12JUL17 2012.5421 56125 1697 2  -79.7  -1483 -0.798805   5329692  0.667667   263  0.802392  0.0000 0.000481 0.000612 0.001818 -0.077180  0.023292 -0.001014
LRDR 12JUL18 2012.5448 56126 1697 3  -79.7  -1483 -0.797145   5329692  0.667588   263  0.794084  0.0000 0.000478 0.000599 0.001770 -0.057188  0.017075  0.033485
LRDR 12JUL19 2012.5476 56127 1697 4  -79.7  -1483 -0.796811   5329692  0.667501   263  0.800891  0.0000 0.000475 0.000598 0.001762 -0.056132  0.005936  0.026175
LRDR 12JUL20 2012.5503 56128 1697 5  -79.7  -1483 -0.797758   5329692  0.667295   263  0.795345  0.0000 0.000470 0.000588 0.001734 -0.042208  0.014403  0.025731
LRDR 12JUL21 2012.5530 56129 1697 6  -79.7  -1483 -0.798214   5329692  0.668417   263  0.807624  0.0000 0.000472 0.000594 0.001755 -0.022653  0.052791  0.022347
LRDR 12JUL22 2012.5558 56130 1698 0  -79.7  -1483 -0.798892   5329692  0.668082   263  0.802842  0.0000 0.000474 0.000586 0.001740  0.005220  0.016348  0.052149
LRDR 12JUL23 2012.5585 56131 1698 1  -79.7  -1483 -0.799394   5329692  0.671541   263  0.804390  0.0000 0.000473 0.000588 0.001752  0.004277  0.008581  0.036993
LRDR 12JUL24 2012.5613 56132 1698 2  -79.7  -1483 -0.797682   5329692  0.666709   263  0.801303  0.0000 0.000467 0.000581 0.001709 -0.045792  0.023664  0.018247
LRDR 12JUL25 2012.5640 56133 1698 3  -79.7  -1483 -0.798682   5329692  0.665144   263  0.801648  0.0000 0.000476 0.000597 0.001751 -0.055961  0.001593  0.020999
LRDR 12JUL26 2012.5667 56134 1698 4  -79.7  -1483 -0.800393   5329692  0.670384   263  0.798012  0.0000 0.000472 0.000596 0.001747 -0.050233  0.001765  0.034407
LRDR 12JUL27 2012.5695 56135 1698 5  -79.7  -1483 -0.798915   5329692  0.668655   263  0.797752  0.0000 0.000476 0.000604 0.001779 -0.048826  0.000282  0.021209
LRDR 12JUL28 2012.5722 56136 1698 6  -79.7  -1483 -0.798716   5329692  0.665615   263  0.798662  0.0000 0.000472 0.000586 0.001734 -0.043930  0.013539  0.026132
LRDR 12JUL29 2012.5749 56137 1699 0  -79.7  -1483 -0.797409   5329692  0.667735   263  0.793299  0.0000 0.000468 0.000582 0.001726 -0.002172  0.016438  0.025900
LRDR 12JUL30 2012.5777 56138 1699 1  -79.7  -1483 -0.799267   5329692  0.668891   263  0.800698  0.0000 0.000476 0.000586 0.001757  0.000003  0.018794  0.011078
