site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MAWB 17MAR22 2017.2211 57834 1941 3  -71.2   3433  0.524901   4705343  0.133922     8  0.626853  0.0000 0.000751 0.000869 0.002679  0.033058  0.002088 -0.121874
MAWB 17MAR24 2017.2266 57836 1941 5  -71.2   3433  0.529078   4705343  0.135504     8  0.630888  0.0000 0.000472 0.000614 0.001806 -0.027601  0.027897 -0.160915
MAWB 17MAR25 2017.2293 57837 1941 6  -71.2   3433  0.526570   4705343  0.134482     8  0.638086  0.0000 0.000464 0.000596 0.001757 -0.021315  0.041232 -0.155326
MAWB 17MAR26 2017.2320 57838 1942 0  -71.2   3433  0.525892   4705343  0.134448     8  0.637724  0.0000 0.000466 0.000594 0.001745 -0.028661  0.050252 -0.148227
MAWB 17MAR27 2017.2348 57839 1942 1  -71.2   3433  0.524362   4705343  0.134500     8  0.639508  0.0000 0.000472 0.000604 0.001776 -0.022438  0.015851 -0.143950
MAWB 17MAR28 2017.2375 57840 1942 2  -71.2   3433  0.524868   4705343  0.136524     8  0.633918  0.0000 0.000475 0.000606 0.001811 -0.041324  0.058514 -0.134407
MAWB 17MAR29 2017.2402 57841 1942 3  -71.2   3433  0.526821   4705343  0.135932     8  0.630084  0.0000 0.000494 0.000636 0.001904 -0.034343  0.034693 -0.167421
MAWB 17MAR30 2017.2430 57842 1942 4  -71.2   3433  0.526759   4705343  0.135390     8  0.633468  0.0000 0.000464 0.000588 0.001730 -0.036035  0.044416 -0.133621
MAWB 17MAR31 2017.2457 57843 1942 5  -71.2   3433  0.526344   4705343  0.137798     8  0.634989  0.0000 0.000472 0.000602 0.001783 -0.020496  0.023885 -0.159253
MAWB 17APR01 2017.2485 57844 1942 6  -71.2   3433  0.525187   4705343  0.131554     8  0.624890  0.0000 0.000473 0.000603 0.001794 -0.002433  0.005295 -0.177122
MAWB 17APR02 2017.2512 57845 1943 0  -71.2   3433  0.526496   4705343  0.133728     8  0.628897  0.0000 0.000473 0.000600 0.001798 -0.019266 -0.002312 -0.165354
MAWB 17APR03 2017.2539 57846 1943 1  -71.2   3433  0.528145   4705343  0.136876     8  0.630953  0.0000 0.000474 0.000605 0.001780 -0.047944  0.040103 -0.136847
MAWB 17APR04 2017.2567 57847 1943 2  -71.2   3433  0.527005   4705343  0.135755     8  0.637210  0.0000 0.000469 0.000597 0.001773 -0.029930  0.014867 -0.166932
MAWB 17APR05 2017.2594 57848 1943 3  -71.2   3433  0.529048   4705343  0.133710     8  0.627605  0.0000 0.000468 0.000602 0.001772 -0.027632  0.033502 -0.157383
MAWB 17APR06 2017.2621 57849 1943 4  -71.2   3433  0.525590   4705343  0.135132     8  0.636343  0.0000 0.000472 0.000600 0.001780 -0.017227  0.017401 -0.146675
MAWB 17APR07 2017.2649 57850 1943 5  -71.2   3433  0.524981   4705343  0.132527     8  0.634297  0.0000 0.000479 0.000605 0.001790 -0.015594  0.010576 -0.162696
MAWB 17APR08 2017.2676 57851 1943 6  -71.2   3433  0.524835   4705343  0.134345     8  0.635363  0.0000 0.000468 0.000592 0.001742 -0.043776  0.041524 -0.131489
MAWB 17APR09 2017.2704 57852 1944 0  -71.2   3433  0.526475   4705343  0.136706     8  0.633836  0.0000 0.000465 0.000590 0.001734 -0.039961  0.050003 -0.133844
MAWB 17APR10 2017.2731 57853 1944 1  -71.2   3433  0.524260   4705343  0.134996     8  0.641967  0.0000 0.000467 0.000589 0.001749 -0.029055  0.049988 -0.136720
MAWB 17APR11 2017.2758 57854 1944 2  -71.2   3433  0.523370   4705343  0.135541     8  0.642450  0.0000 0.000465 0.000591 0.001739 -0.026877  0.033789 -0.142948
MAWB 17APR12 2017.2786 57855 1944 3  -71.2   3433  0.523719   4705343  0.137076     8  0.640999  0.0000 0.000468 0.000595 0.001763 -0.022509  0.032023 -0.143668
MAWB 17APR13 2017.2813 57856 1944 4  -71.2   3433  0.523222   4705343  0.135555     8  0.632856  0.0000 0.000467 0.000591 0.001745 -0.019908  0.024622 -0.150830
MAWB 17APR14 2017.2841 57857 1944 5  -71.2   3433  0.525992   4705343  0.136011     8  0.629531  0.0000 0.000463 0.000594 0.001741 -0.039522  0.058959 -0.155462
MAWB 17APR15 2017.2868 57858 1944 6  -71.2   3433  0.526693   4705343  0.136676     8  0.641387  0.0000 0.000465 0.000589 0.001738 -0.034219  0.054853 -0.140070
MAWB 17APR16 2017.2895 57859 1945 0  -71.2   3433  0.524885   4705343  0.136776     8  0.639417  0.0000 0.000465 0.000590 0.001738 -0.032888  0.042351 -0.139180
MAWB 17APR17 2017.2923 57860 1945 1  -71.2   3433  0.524307   4705343  0.133952     8  0.638172  0.0000 0.000467 0.000595 0.001762 -0.036381  0.036003 -0.162227
MAWB 17APR18 2017.2950 57861 1945 2  -71.2   3433  0.523486   4705343  0.134816     8  0.631272  0.0000 0.000466 0.000594 0.001757 -0.031078  0.040469 -0.154664
MAWB 17APR19 2017.2977 57862 1945 3  -71.2   3433  0.525109   4705343  0.134542     8  0.639233  0.0000 0.000463 0.000595 0.001748 -0.043762  0.060665 -0.144728
MAWB 17APR20 2017.3005 57863 1945 4  -71.2   3433  0.524744   4705343  0.136588     8  0.637831  0.0000 0.000468 0.000599 0.001773 -0.030170  0.044742 -0.158467
MAWB 17APR21 2017.3032 57864 1945 5  -71.2   3433  0.525268   4705343  0.134316     8  0.637931  0.0000 0.000473 0.000606 0.001833 -0.014336  0.029467 -0.197832
MAWB 17APR22 2017.3060 57865 1945 6  -71.2   3433  0.525258   4705343  0.134285     8  0.633891  0.0000 0.000471 0.000600 0.001796 -0.013145  0.002760 -0.173568
MAWB 17APR23 2017.3087 57866 1946 0  -71.2   3433  0.524475   4705343  0.134924     8  0.638067  0.0000 0.000470 0.000595 0.001780 -0.034707  0.039002 -0.157624
MAWB 17APR24 2017.3114 57867 1946 1  -71.2   3433  0.525203   4705343  0.136754     8  0.639043  0.0000 0.000463 0.000589 0.001731 -0.023544  0.039850 -0.141843
MAWB 17APR25 2017.3142 57868 1946 2  -71.2   3433  0.526343   4705343  0.137682     8  0.645732  0.0000 0.000466 0.000600 0.001761 -0.036386  0.042414 -0.162319
MAWB 17APR26 2017.3169 57869 1946 3  -71.2   3433  0.525741   4705343  0.135196     8  0.637565  0.0000 0.000476 0.000607 0.001830 -0.009328  0.007137 -0.195556
MAWB 17APR27 2017.3196 57870 1946 4  -71.2   3433  0.524770   4705343  0.135946     8  0.636881  0.0000 0.000467 0.000596 0.001752 -0.034402  0.036798 -0.147094
MAWB 17APR28 2017.3224 57871 1946 5  -71.2   3433  0.522405   4705343  0.132903     8  0.649501  0.0000 0.000477 0.000613 0.001809 -0.036802  0.041448 -0.155784
MAWB 17APR29 2017.3251 57872 1946 6  -71.2   3433  0.520800   4705343  0.135348     8  0.652209  0.0000 0.000465 0.000591 0.001738 -0.039369  0.046869 -0.142616
MAWB 17APR30 2017.3279 57873 1947 0  -71.2   3433  0.522613   4705343  0.135838     8  0.650690  0.0000 0.000467 0.000597 0.001761 -0.039031  0.045839 -0.159851
MAWB 17MAY01 2017.3306 57874 1947 1  -71.2   3433  0.524263   4705343  0.133475     8  0.643801  0.0000 0.000467 0.000592 0.001743 -0.030193  0.044531 -0.156117
MAWB 17MAY02 2017.3333 57875 1947 2  -71.2   3433  0.524669   4705343  0.134654     8  0.654671  0.0000 0.000475 0.000604 0.001815 -0.014126  0.029726 -0.160316
MAWB 17MAY03 2017.3361 57876 1947 3  -71.2   3433  0.523837   4705343  0.132154     8  0.643738  0.0000 0.000469 0.000592 0.001756 -0.044480  0.046242 -0.138139
MAWB 17MAY04 2017.3388 57877 1947 4  -71.2   3433  0.525616   4705343  0.136459     8  0.642223  0.0000 0.000467 0.000589 0.001743 -0.038139  0.051137 -0.148357
MAWB 17MAY05 2017.3415 57878 1947 5  -71.2   3433  0.523782   4705343  0.135340     8  0.644998  0.0000 0.000482 0.000609 0.001827 -0.036529  0.055589 -0.184980
MAWB 17MAY06 2017.3443 57879 1947 6  -71.2   3433  0.523991   4705343  0.135092     8  0.641091  0.0000 0.000473 0.000603 0.001811 -0.035157  0.050018 -0.174765
MAWB 17MAY07 2017.3470 57880 1948 0  -71.2   3433  0.523275   4705343  0.133271     8  0.635851  0.0000 0.000470 0.000595 0.001764 -0.034317  0.041999 -0.159176
MAWB 17MAY08 2017.3498 57881 1948 1  -71.2   3433  0.522609   4705343  0.134360     8  0.632342  0.0000 0.000469 0.000594 0.001769 -0.038871  0.044768 -0.145715
MAWB 17MAY09 2017.3525 57882 1948 2  -71.2   3433  0.524821   4705343  0.135186     8  0.632006  0.0000 0.000467 0.000594 0.001746 -0.044338  0.049283 -0.139077
