site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MID2 17DEC26 2017.9849 58113 1981 2  -83.7  -3112 -0.789284   5097799  0.821789   160  0.228787  0.0000 0.000450 0.000595 0.001669 -0.016835  0.007943 -0.089622
MID2 17DEC27 2017.9877 58114 1981 3  -83.7  -3112 -0.789424   5097799  0.821871   160  0.228945  0.0000 0.000451 0.000596 0.001670 -0.014542  0.003011 -0.077373
MID2 17DEC28 2017.9904 58115 1981 4  -83.7  -3112 -0.787512   5097799  0.822391   160  0.233157  0.0000 0.000452 0.000596 0.001682 -0.014540  0.010723 -0.078950
MID2 17DEC29 2017.9932 58116 1981 5  -83.7  -3112 -0.788816   5097799  0.821177   160  0.236695  0.0000 0.000454 0.000604 0.001696 -0.015050  0.014790 -0.091686
MID2 17DEC30 2017.9959 58117 1981 6  -83.7  -3112 -0.788117   5097799  0.821559   160  0.237835  0.0000 0.000453 0.000608 0.001701 -0.020209  0.013132 -0.106578
MID2 17DEC31 2017.9986 58118 1982 0  -83.7  -3112 -0.788634   5097799  0.820986   160  0.228219  0.0000 0.000453 0.000601 0.001692 -0.011953 -0.001454 -0.092037
MID2 18JAN01 2018.0014 58119 1982 1  -83.7  -3112 -0.788048   5097799  0.818297   160  0.236041  0.0000 0.000451 0.000599 0.001681 -0.010211  0.005566 -0.083460
MID2 18JAN02 2018.0041 58120 1982 2  -83.7  -3112 -0.786777   5097799  0.820092   160  0.243016  0.0000 0.000451 0.000598 0.001679 -0.016734  0.008117 -0.083563
MID2 18JAN03 2018.0068 58121 1982 3  -83.7  -3112 -0.788350   5097799  0.821559   160  0.244873  0.0000 0.000453 0.000598 0.001692 -0.011590  0.001962 -0.080615
MID2 18JAN04 2018.0096 58122 1982 4  -83.7  -3112 -0.787508   5097799  0.822613   160  0.233608  0.0000 0.000452 0.000603 0.001693 -0.020053  0.009001 -0.098061
MID2 18JAN05 2018.0123 58123 1982 5  -83.7  -3112 -0.788080   5097799  0.822831   160  0.230794  0.0000 0.000451 0.000604 0.001695 -0.020278  0.001306 -0.103870
MID2 18JAN06 2018.0151 58124 1982 6  -83.7  -3112 -0.787187   5097799  0.820325   160  0.239342  0.0000 0.000451 0.000600 0.001684 -0.015345  0.001122 -0.091729
MID2 18JAN07 2018.0178 58125 1983 0  -83.7  -3112 -0.784939   5097799  0.818380   160  0.254287  0.0000 0.000452 0.000599 0.001683 -0.013880  0.007447 -0.088565
MID2 18JAN09 2018.0233 58127 1983 2  -83.7  -3112 -0.788749   5097799  0.821992   160  0.254873  0.0000 0.000453 0.000600 0.001690 -0.013177  0.006048 -0.084549
MID2 18JAN10 2018.0260 58128 1983 3  -83.7  -3112 -0.785750   5097799  0.819058   160  0.259154  0.0000 0.000452 0.000606 0.001701 -0.025305  0.007448 -0.085011
