site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MISC 05NOV25 2005.9001 53699 1350 5  -83.8  -2834 -0.322439   4759145  0.765847   208  0.766704  0.0000 0.000599 0.000756 0.002403  0.038554 -0.030846 -0.162391
MISC 05NOV26 2005.9028 53700 1350 6  -83.8  -2834 -0.320496   4759145  0.765082   208  0.763077  0.0000 0.000610 0.000760 0.002433  0.051650 -0.022371 -0.153216
MISC 05NOV27 2005.9055 53701 1351 0  -83.8  -2834 -0.320058   4759145  0.765809   208  0.772277  0.0000 0.000599 0.000765 0.002408  0.042189 -0.030546 -0.158042
MISC 05NOV28 2005.9083 53702 1351 1  -83.8  -2834 -0.321662   4759145  0.764811   208  0.788383  0.0000 0.000602 0.000755 0.002416  0.031253 -0.020603 -0.182868
MISC 05NOV29 2005.9110 53703 1351 2  -83.8  -2834 -0.321324   4759145  0.764887   208  0.781470  0.0000 0.000607 0.000763 0.002442  0.051625 -0.025677 -0.188820
MISC 05NOV30 2005.9138 53704 1351 3  -83.8  -2834 -0.320957   4759145  0.766972   208  0.769840  0.0000 0.000598 0.000762 0.002426  0.032189 -0.025845 -0.172494
MISC 05DEC01 2005.9165 53705 1351 4  -83.8  -2834 -0.322668   4759145  0.766710   208  0.770866  0.0000 0.000597 0.000768 0.002432  0.032156 -0.021074 -0.151314
MISC 05DEC02 2005.9192 53706 1351 5  -83.8  -2834 -0.322572   4759145  0.766820   208  0.765945  0.0000 0.000606 0.000772 0.002448  0.035152 -0.015456 -0.145922
MISC 05DEC03 2005.9220 53707 1351 6  -83.8  -2834 -0.321010   4759145  0.766401   208  0.768270  0.0000 0.000598 0.000758 0.002409  0.034758  0.004775 -0.165148
MISC 05DEC04 2005.9247 53708 1352 0  -83.8  -2834 -0.322869   4759145  0.766835   208  0.770615  0.0000 0.000596 0.000770 0.002420  0.030581 -0.012791 -0.162262
MISC 05DEC05 2005.9274 53709 1352 1  -83.8  -2834 -0.325513   4759145  0.766468   208  0.766519  0.0000 0.000594 0.000754 0.002384  0.040139 -0.024889 -0.158872
MISC 05DEC06 2005.9302 53710 1352 2  -83.8  -2834 -0.321891   4759145  0.765183   208  0.764826  0.0000 0.000595 0.000764 0.002419  0.031547 -0.014396 -0.164022
MISC 05DEC07 2005.9329 53711 1352 3  -83.8  -2834 -0.324261   4759145  0.768020   208  0.760396  0.0000 0.000592 0.000752 0.002372  0.033889  0.007202 -0.148631
MISC 05DEC08 2005.9357 53712 1352 4  -83.8  -2834 -0.323911   4759145  0.768759   208  0.756811  0.0000 0.000590 0.000759 0.002382  0.040211 -0.002341 -0.140142
MISC 05DEC09 2005.9384 53713 1352 5  -83.8  -2834 -0.323611   4759145  0.766631   208  0.766247  0.0000 0.000596 0.000764 0.002408  0.045394 -0.025351 -0.153374
MISC 05DEC10 2005.9411 53714 1352 6  -83.8  -2834 -0.323518   4759145  0.768016   208  0.772798  0.0000 0.000588 0.000757 0.002374  0.028345  0.006329 -0.138747
MISC 05DEC11 2005.9439 53715 1353 0  -83.8  -2834 -0.323257   4759145  0.767832   208  0.770496  0.0000 0.000592 0.000754 0.002394  0.044337 -0.009339 -0.166285
MISC 05DEC12 2005.9466 53716 1353 1  -83.8  -2834 -0.321834   4759145  0.768686   208  0.774148  0.0000 0.000596 0.000752 0.002391  0.032704  0.008812 -0.144643
MISC 05DEC13 2005.9493 53717 1353 2  -83.8  -2834 -0.323055   4759145  0.767750   208  0.770235  0.0000 0.000590 0.000761 0.002386  0.051238 -0.021655 -0.127906
MISC 05DEC14 2005.9521 53718 1353 3  -83.8  -2834 -0.321515   4759145  0.768061   208  0.773252  0.0000 0.000596 0.000769 0.002441  0.029657  0.012755 -0.169150
MISC 05DEC15 2005.9548 53719 1353 4  -83.8  -2834 -0.321813   4759145  0.768591   208  0.774551  0.0000 0.000616 0.000778 0.002504  0.029749  0.001029 -0.193498
