site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MJAW 11AUG14 2011.6167 55787 1649 0 -105.6   2584  0.664677   5588337  0.796444   559  0.672394  0.0000 0.000451 0.000625 0.001736  0.028583 -0.031586  0.046777
MJAW 11AUG15 2011.6194 55788 1649 1 -105.6   2584  0.661234   5588337  0.797169   559  0.675595  0.0000 0.000447 0.000625 0.001730  0.025778 -0.020091  0.047757
MJAW 11AUG16 2011.6222 55789 1649 2 -105.6   2584  0.659823   5588337  0.794999   559  0.675260  0.0000 0.000474 0.000650 0.001807  0.036809 -0.068142  0.052327
MJAW 11AUG17 2011.6249 55790 1649 3 -105.6   2584  0.659532   5588337  0.797563   559  0.675813  0.0000 0.000460 0.000631 0.001756  0.022558 -0.007797  0.043811
MJAW 11AUG18 2011.6277 55791 1649 4 -105.6   2584  0.661333   5588337  0.796533   559  0.672094  0.0000 0.000469 0.000638 0.001780  0.063030 -0.101434  0.026411
MJAW 11AUG19 2011.6304 55792 1649 5 -105.6   2584  0.658136   5588337  0.797436   559  0.665449  0.0000 0.000470 0.000638 0.001831 -0.001382 -0.019162  0.056570
MJAW 11AUG20 2011.6331 55793 1649 6 -105.6   2584  0.660289   5588337  0.798370   559  0.671226  0.0000 0.000467 0.000640 0.001765  0.036277 -0.038418  0.046089
MJAW 11AUG21 2011.6359 55794 1650 0 -105.6   2584  0.661221   5588337  0.795726   559  0.682493  0.0000 0.000470 0.000648 0.001789  0.051313 -0.032115  0.051617
MJAW 11AUG22 2011.6386 55795 1650 1 -105.6   2584  0.661305   5588337  0.798558   559  0.681717  0.0000 0.000469 0.000642 0.001776  0.051608 -0.022720  0.038364
MJAW 11AUG23 2011.6413 55796 1650 2 -105.6   2584  0.661588   5588337  0.798851   559  0.681639  0.0000 0.000482 0.000653 0.001814  0.064590 -0.057655  0.026494
MJAW 11AUG24 2011.6441 55797 1650 3 -105.6   2584  0.660861   5588337  0.791547   559  0.688137  0.0000 0.000457 0.000628 0.001747  0.047917 -0.059893  0.059670
MJAW 11AUG25 2011.6468 55798 1650 4 -105.6   2584  0.660324   5588337  0.794226   559  0.684883  0.0000 0.000461 0.000628 0.001751  0.031385 -0.066210  0.051989
MJAW 11AUG26 2011.6496 55799 1650 5 -105.6   2584  0.658753   5588337  0.794086   559  0.682051  0.0000 0.000481 0.000648 0.001831  0.033282 -0.065654  0.045585
MJAW 11AUG27 2011.6523 55800 1650 6 -105.6   2584  0.660661   5588337  0.796467   559  0.679687  0.0000 0.000462 0.000632 0.001771  0.042021 -0.046672  0.042384
MJAW 11AUG28 2011.6550 55801 1651 0 -105.6   2584  0.663579   5588337  0.795676   559  0.680498  0.0000 0.000460 0.000634 0.001768  0.037841 -0.034940  0.037987
MJAW 11AUG29 2011.6578 55802 1651 1 -105.6   2584  0.660480   5588337  0.797052   559  0.681429  0.0000 0.000463 0.000634 0.001758  0.045263 -0.025250  0.046179
MJAW 11AUG30 2011.6605 55803 1651 2 -105.6   2584  0.661588   5588337  0.796767   559  0.685373  0.0000 0.000467 0.000649 0.001801  0.045225 -0.043487  0.060762
MJAW 11AUG31 2011.6632 55804 1651 3 -105.6   2584  0.660233   5588337  0.795012   559  0.672354  0.0000 0.000465 0.000643 0.001796  0.052817 -0.057832  0.075491
MJAW 11SEP01 2011.6660 55805 1651 4 -105.6   2584  0.660007   5588337  0.796509   559  0.670729  0.0000 0.000470 0.000653 0.001795  0.038711 -0.062881  0.047994
MJAW 11SEP02 2011.6687 55806 1651 5 -105.6   2584  0.661445   5588337  0.795021   559  0.674306  0.0000 0.000471 0.000656 0.001808  0.043106 -0.068651  0.027760
MJAW 11SEP03 2011.6715 55807 1651 6 -105.6   2584  0.657585   5588337  0.794764   559  0.664779  0.0000 0.000467 0.000636 0.001768  0.058706 -0.066899  0.036565
MJAW 11SEP04 2011.6742 55808 1652 0 -105.6   2584  0.661160   5588337  0.795039   559  0.671788  0.0000 0.000461 0.000637 0.001766  0.040760 -0.060824  0.043628
MJAW 11SEP05 2011.6769 55809 1652 1 -105.6   2584  0.660733   5588337  0.794875   559  0.680947  0.0000 0.000461 0.000628 0.001756  0.048075 -0.064549  0.026006
MJAW 11SEP06 2011.6797 55810 1652 2 -105.6   2584  0.660219   5588337  0.793625   559  0.676573  0.0000 0.000472 0.000648 0.001792  0.018588 -0.034310  0.040108
MJAW 11SEP07 2011.6824 55811 1652 3 -105.6   2584  0.660891   5588337  0.796198   559  0.680793  0.0000 0.000469 0.000646 0.001759  0.031479  0.011119  0.043739
MJAW 11SEP08 2011.6851 55812 1652 4 -105.6   2584  0.664316   5588337  0.794880   559  0.679421  0.0000 0.000454 0.000624 0.001741  0.050855 -0.005569  0.047732
MJAW 11SEP09 2011.6879 55813 1652 5 -105.6   2584  0.663178   5588337  0.796037   559  0.677932  0.0000 0.000465 0.000634 0.001768  0.059483 -0.073012  0.021471
MJAW 11SEP10 2011.6906 55814 1652 6 -105.6   2584  0.659744   5588337  0.794512   559  0.681636  0.0000 0.000475 0.000657 0.001836  0.055474 -0.057285 -0.018967
