site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MNDR 02JUN03 2002.4203 52428 1169 1 -112.4   -660 -0.078473   5937499  0.483899   666  0.730816  0.0716 0.000739 0.001083 0.002919 -0.027414  0.032673  0.083869
MNDR 02JUN05 2002.4257 52430 1169 3 -112.4   -660 -0.077803   5937499  0.480574   666  0.725645  0.0725 0.000777 0.001136 0.003040 -0.075793 -0.000309  0.082752
MNDR 02JUN06 2002.4285 52431 1169 4 -112.4   -660 -0.079522   5937499  0.484029   666  0.717731  0.0725 0.000473 0.000684 0.001877  0.045907 -0.011815  0.090006
MNDR 02JUN07 2002.4312 52432 1169 5 -112.4   -660 -0.079982   5937499  0.482325   666  0.721223  0.0725 0.000560 0.000752 0.002180  0.019296 -0.003089  0.062668
MNDR 04FEB06 2004.0986 53041 1256 5 -112.4   -660 -0.098255   5937499  0.463350   666  0.727585  0.0680 0.000488 0.000661 0.001862  0.015230  0.029857  0.027577
MNDR 04FEB07 2004.1013 53042 1256 6 -112.4   -660 -0.101429   5937499  0.466511   666  0.726618  0.0682 0.000482 0.000651 0.001852  0.026955  0.027445  0.048311
MNDR 04FEB09 2004.1068 53044 1257 1 -112.4   -660 -0.106399   5937499  0.468390   666  0.734863  0.0690 0.000820 0.001073 0.003092 -0.069440 -0.041568 -0.042486
MNDR 04FEB10 2004.1095 53045 1257 2 -112.4   -660 -0.104414   5937499  0.468370   666  0.725070  0.0690 0.000522 0.000729 0.002040  0.022967  0.039143  0.061197
MNDR 06JUN19 2006.4641 53905 1380 1 -112.4   -660 -0.143088   5937499  0.443275   666  0.719049  0.0730 0.000806 0.001190 0.003073 -0.014314 -0.009619  0.088354
MNDR 06JUN21 2006.4695 53907 1380 3 -112.4   -660 -0.141196   5937499  0.437690   666  0.709466  0.0720 0.000792 0.001196 0.003027 -0.016438 -0.023538  0.097114
MNDR 06JUN22 2006.4723 53908 1380 4 -112.4   -660 -0.140143   5937499  0.441520   666  0.718386  0.0720 0.000471 0.000678 0.001893 -0.007200 -0.016013  0.057850
MNDR 06JUN23 2006.4750 53909 1380 5 -112.4   -660 -0.140388   5937499  0.442101   666  0.714345  0.0720 0.000593 0.000818 0.002436  0.006195  0.036483  0.038748
MNDR 11JUN16 2011.4552 55728 1640 4 -112.4   -660 -0.218141   5937499  0.395105   666  0.721385  0.0740 0.000716 0.001023 0.002781  0.032888  0.013525  0.094978
MNDR 11JUN17 2011.4579 55729 1640 5 -112.4   -660 -0.213350   5937499  0.393829   666  0.718926  0.0740 0.000432 0.000619 0.001752  0.001750 -0.003962  0.120730
MNDR 11JUN20 2011.4661 55732 1641 1 -112.4   -660 -0.212155   5937499  0.390487   666  0.717569  0.0778 0.000712 0.001014 0.002730  0.021445  0.013799  0.073235
MNDR 11JUN21 2011.4689 55733 1641 2 -112.4   -660 -0.211943   5937499  0.391908   666  0.722606  0.0778 0.000540 0.000794 0.002285 -0.044058 -0.044792  0.156515
