site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MSWN 13DEC05 2013.9274 56631 1769 4  -89.7  -1906 -0.813531   3705875  0.397837    86  0.099698  0.0000 0.000617 0.000596 0.002108  0.039914 -0.039299 -0.078294
MSWN 13DEC06 2013.9302 56632 1769 5  -89.7  -1906 -0.814002   3705875  0.399065    86  0.088836  0.0000 0.000630 0.000593 0.002112  0.049101 -0.023964 -0.106414
MSWN 13DEC07 2013.9329 56633 1769 6  -89.7  -1906 -0.810610   3705875  0.402596    86  0.090474  0.0000 0.000597 0.000573 0.002021  0.012818 -0.003342 -0.127921
MSWN 13DEC08 2013.9357 56634 1770 0  -89.7  -1906 -0.810099   3705875  0.400246    86  0.097096  0.0000 0.000621 0.000597 0.002104  0.005687 -0.011885 -0.102251
MSWN 13DEC09 2013.9384 56635 1770 1  -89.7  -1906 -0.815034   3705875  0.402157    86  0.087120  0.0000 0.000616 0.000587 0.002060  0.030512 -0.020041 -0.048153
MSWN 13DEC10 2013.9411 56636 1770 2  -89.7  -1906 -0.814275   3705875  0.399784    86  0.086731  0.0000 0.000624 0.000592 0.002097  0.048692 -0.039709 -0.086649
MSWN 13DEC11 2013.9439 56637 1770 3  -89.7  -1906 -0.813682   3705875  0.402350    86  0.095428  0.0000 0.000594 0.000575 0.002013  0.018803 -0.016408 -0.105336
MSWN 13DEC12 2013.9466 56638 1770 4  -89.7  -1906 -0.815713   3705875  0.401624    86  0.086249  0.0000 0.000608 0.000586 0.002026  0.026425 -0.007064 -0.114141
MSWN 13DEC13 2013.9493 56639 1770 5  -89.7  -1906 -0.811609   3705875  0.401604    86  0.092050  0.0000 0.000616 0.000588 0.002039  0.045616 -0.008025 -0.062633
MSWN 13DEC14 2013.9521 56640 1770 6  -89.7  -1906 -0.810265   3705875  0.399503    86  0.085604  0.0000 0.000602 0.000572 0.001999  0.017057  0.009181 -0.115230
MSWN 13DEC15 2013.9548 56641 1771 0  -89.7  -1906 -0.812837   3705875  0.399573    86  0.077442  0.0000 0.000612 0.000597 0.002025  0.038784 -0.001597 -0.114926
MSWN 13DEC16 2013.9576 56642 1771 1  -89.7  -1906 -0.809137   3705875  0.397933    86  0.089858  0.0000 0.000600 0.000576 0.002023  0.032759 -0.002516 -0.116938
MSWN 13DEC17 2013.9603 56643 1771 2  -89.7  -1906 -0.809501   3705875  0.397279    86  0.092684  0.0000 0.000627 0.000602 0.002083  0.023976  0.006460 -0.126122
MSWN 13DEC18 2013.9630 56644 1771 3  -89.7  -1906 -0.807793   3705875  0.398620    86  0.086545  0.0000 0.000626 0.000600 0.002088  0.019244  0.046659 -0.136332
MSWN 13DEC19 2013.9658 56645 1771 4  -89.7  -1906 -0.810789   3705875  0.398679    86  0.088824  0.0000 0.000602 0.000577 0.001996  0.027362  0.013288 -0.114175
MSWN 13DEC20 2013.9685 56646 1771 5  -89.7  -1906 -0.810266   3705875  0.397057    86  0.094895  0.0000 0.000599 0.000572 0.001989  0.029602 -0.005736 -0.116974
MSWN 13DEC21 2013.9713 56647 1771 6  -89.7  -1906 -0.807975   3705875  0.398506    86  0.082724  0.0000 0.000601 0.000578 0.002013  0.025577  0.018752 -0.093939
MSWN 14JAN09 2014.0233 56666 1774 4  -89.7  -1906 -0.811187   3705875  0.396667    86  0.082465  0.0000 0.001291 0.001354 0.003919  0.193267 -0.207046 -0.122698
MSWN 14JAN10 2014.0260 56667 1774 5  -89.7  -1906 -0.808423   3705875  0.398080    86  0.084157  0.0000 0.000617 0.000592 0.002057  0.069637 -0.031026 -0.114861
MSWN 14JAN11 2014.0287 56668 1774 6  -89.7  -1906 -0.810698   3705875  0.398188    86  0.087438  0.0000 0.000619 0.000587 0.002055  0.084403 -0.045592 -0.165398
MSWN 14JAN12 2014.0315 56669 1775 0  -89.7  -1906 -0.807578   3705875  0.394684    86  0.080177  0.0000 0.000603 0.000577 0.001989  0.054372 -0.036511 -0.121732
MSWN 14JAN13 2014.0342 56670 1775 1  -89.7  -1906 -0.806975   3705875  0.397482    86  0.084571  0.0000 0.000642 0.000637 0.002134  0.095830 -0.047539 -0.107578
MSWN 14JAN14 2014.0370 56671 1775 2  -89.7  -1906 -0.809683   3705875  0.397710    86  0.070839  0.0000 0.000605 0.000574 0.002003  0.053274 -0.042939 -0.136184
MSWN 14JAN15 2014.0397 56672 1775 3  -89.7  -1906 -0.809806   3705875  0.399541    86  0.071383  0.0000 0.000614 0.000576 0.002007  0.061237 -0.029589 -0.157428
MSWN 14JAN16 2014.0424 56673 1775 4  -89.7  -1906 -0.808880   3705875  0.398454    86  0.079350  0.0000 0.000621 0.000587 0.002034  0.039250 -0.026178 -0.143220
MSWN 14JAN17 2014.0452 56674 1775 5  -89.7  -1906 -0.811910   3705875  0.397385    86  0.072574  0.0000 0.000616 0.000593 0.002052  0.005463 -0.005450 -0.144403
MSWN 14JAN18 2014.0479 56675 1775 6  -89.7  -1906 -0.812711   3705875  0.397741    86  0.074747  0.0000 0.000601 0.000578 0.002009  0.053064 -0.037238 -0.131333
MSWN 14JAN19 2014.0507 56676 1776 0  -89.7  -1906 -0.816032   3705875  0.399599    86  0.081111  0.0000 0.000602 0.000581 0.002014  0.054414 -0.026439 -0.131182
MSWN 14JAN20 2014.0534 56677 1776 1  -89.7  -1906 -0.811758   3705875  0.397992    86  0.082125  0.0000 0.000604 0.000582 0.002011  0.060421 -0.044419 -0.126300
MSWN 14JAN21 2014.0561 56678 1776 2  -89.7  -1906 -0.813125   3705875  0.400873    86  0.072718  0.0000 0.000604 0.000576 0.002007  0.061102 -0.048439 -0.144707
MSWN 14JAN22 2014.0589 56679 1776 3  -89.7  -1906 -0.810416   3705875  0.398175    86  0.070071  0.0000 0.000677 0.000636 0.002277  0.036993 -0.038503 -0.138429
MSWN 14JAN23 2014.0616 56680 1776 4  -89.7  -1906 -0.809087   3705875  0.401227    86  0.077823  0.0000 0.000662 0.000618 0.002188 -0.002793 -0.050834 -0.137055
MSWN 14JAN24 2014.0643 56681 1776 5  -89.7  -1906 -0.810441   3705875  0.401372    86  0.063358  0.0000 0.000656 0.000614 0.002182  0.010251 -0.043663 -0.143945
MSWN 14JAN25 2014.0671 56682 1776 6  -89.7  -1906 -0.814250   3705875  0.399610    86  0.078489  0.0000 0.000651 0.000615 0.002160  0.005435 -0.034400 -0.118175
MSWN 14JAN26 2014.0698 56683 1777 0  -89.7  -1906 -0.815538   3705875  0.396775    86  0.084137  0.0000 0.000664 0.000631 0.002191  0.011466 -0.038977 -0.148849
MSWN 14JAN27 2014.0726 56684 1777 1  -89.7  -1906 -0.814178   3705875  0.398030    86  0.087698  0.0000 0.000661 0.000618 0.002200  0.030968 -0.053242 -0.124631
MSWN 14JAN28 2014.0753 56685 1777 2  -89.7  -1906 -0.814911   3705875  0.396938    86  0.076778  0.0000 0.000647 0.000610 0.002126  0.019688 -0.059579 -0.140886
MSWN 14JAN29 2014.0780 56686 1777 3  -89.7  -1906 -0.813673   3705875  0.393864    86  0.066511  0.0000 0.000657 0.000622 0.002195  0.011755 -0.020474 -0.116467
MSWN 14JAN30 2014.0808 56687 1777 4  -89.7  -1906 -0.810450   3705875  0.397785    86  0.077542  0.0000 0.000652 0.000622 0.002172  0.001360 -0.014997 -0.123946
MSWN 14JAN31 2014.0835 56688 1777 5  -89.7  -1906 -0.812062   3705875  0.396859    86  0.086567  0.0000 0.000643 0.000615 0.002111  0.024590 -0.032832 -0.125045
MSWN 14FEB01 2014.0862 56689 1777 6  -89.7  -1906 -0.811339   3705875  0.398052    86  0.082363  0.0000 0.000668 0.000625 0.002148  0.044784 -0.044330 -0.120539
MSWN 14FEB02 2014.0890 56690 1778 0  -89.7  -1906 -0.809563   3705875  0.399417    86  0.081282  0.0000 0.000664 0.000620 0.002225  0.008131 -0.022405 -0.159836
MSWN 14FEB03 2014.0917 56691 1778 1  -89.7  -1906 -0.809561   3705875  0.396592    86  0.077847  0.0000 0.000654 0.000641 0.002217  0.015585 -0.048275 -0.156863
MSWN 14FEB04 2014.0945 56692 1778 2  -89.7  -1906 -0.816921   3705875  0.399540    86  0.087709  0.0000 0.000653 0.000633 0.002178  0.013469 -0.035066 -0.134247
MSWN 14FEB05 2014.0972 56693 1778 3  -89.7  -1906 -0.815940   3705875  0.400768    86  0.077014  0.0000 0.000664 0.000629 0.002236  0.008085 -0.050347 -0.137714
MSWN 14FEB06 2014.0999 56694 1778 4  -89.7  -1906 -0.817612   3705875  0.401301    86  0.069727  0.0000 0.000669 0.000640 0.002233  0.005804 -0.043995 -0.140228
MSWN 14FEB07 2014.1027 56695 1778 5  -89.7  -1906 -0.813691   3705875  0.399705    86  0.073697  0.0000 0.000683 0.000661 0.002289 -0.032684  0.000557 -0.145045
MSWN 14FEB08 2014.1054 56696 1778 6  -89.7  -1906 -0.817033   3705875  0.400048    86  0.076580  0.0000 0.000666 0.000645 0.002220  0.006044 -0.058228 -0.128873
MSWN 14FEB09 2014.1081 56697 1779 0  -89.7  -1906 -0.817683   3705875  0.399815    86  0.078268  0.0000 0.000673 0.000647 0.002198  0.047485 -0.041134 -0.134014
MSWN 14FEB10 2014.1109 56698 1779 1  -89.7  -1906 -0.815779   3705875  0.399895    86  0.082781  0.0000 0.000668 0.000651 0.002230  0.004841 -0.052481 -0.121066
MSWN 14FEB11 2014.1136 56699 1779 2  -89.7  -1906 -0.812518   3705875  0.400026    86  0.076950  0.0000 0.000646 0.000630 0.002177  0.028088 -0.033660 -0.087491
MSWN 14FEB12 2014.1164 56700 1779 3  -89.7  -1906 -0.811289   3705875  0.395151    86  0.066189  0.0000 0.000659 0.000635 0.002188  0.052191 -0.067367 -0.123621
MSWN 14FEB13 2014.1191 56701 1779 4  -89.7  -1906 -0.812183   3705875  0.396065    86  0.076255  0.0000 0.000631 0.000627 0.002109  0.033506 -0.036517 -0.135814
MSWN 14FEB14 2014.1218 56702 1779 5  -89.7  -1906 -0.815779   3705875  0.398497    86  0.073364  0.0000 0.000668 0.000626 0.002139  0.044390 -0.047554 -0.130626
MSWN 14FEB15 2014.1246 56703 1779 6  -89.7  -1906 -0.813296   3705875  0.395363    86  0.075010  0.0000 0.000664 0.000652 0.002178  0.008097 -0.003446 -0.186491
MSWN 14FEB16 2014.1273 56704 1780 0  -89.7  -1906 -0.813777   3705875  0.396918    86  0.087156  0.0000 0.000630 0.000618 0.002095  0.033529 -0.043220 -0.134195
MSWN 14FEB17 2014.1300 56705 1780 1  -89.7  -1906 -0.816890   3705875  0.399409    86  0.080814  0.0000 0.000628 0.000613 0.002080  0.037121 -0.051254 -0.141498
MSWN 14FEB18 2014.1328 56706 1780 2  -89.7  -1906 -0.813149   3705875  0.395459    86  0.078663  0.0000 0.000641 0.000643 0.002193  0.067715 -0.065841 -0.107110
MSWN 14FEB19 2014.1355 56707 1780 3  -89.7  -1906 -0.812903   3705875  0.397630    86  0.083297  0.0000 0.000647 0.000645 0.002215  0.047674 -0.028864 -0.096936
MSWN 14FEB20 2014.1383 56708 1780 4  -89.7  -1906 -0.805399   3705875  0.399308    86  0.086594  0.0000 0.000631 0.000622 0.002135  0.022688 -0.024677 -0.116613
MSWN 14FEB21 2014.1410 56709 1780 5  -89.7  -1906 -0.816323   3705875  0.397368    86  0.093990  0.0000 0.000655 0.000657 0.002270  0.042967 -0.017443 -0.126401
MSWN 14FEB22 2014.1437 56710 1780 6  -89.7  -1906 -0.816760   3705875  0.399529    86  0.078034  0.0000 0.000629 0.000610 0.002156  0.034713 -0.027932 -0.085414
MSWN 14FEB23 2014.1465 56711 1781 0  -89.7  -1906 -0.812259   3705875  0.397502    86  0.088309  0.0000 0.000632 0.000608 0.002132  0.007300  0.002524 -0.112305
MSWN 14FEB24 2014.1492 56712 1781 1  -89.7  -1906 -0.812672   3705875  0.398273    86  0.082697  0.0000 0.000649 0.000631 0.002204  0.018103 -0.014674 -0.118978
MSWN 14FEB25 2014.1520 56713 1781 2  -89.7  -1906 -0.814260   3705875  0.397337    86  0.072948  0.0000 0.000654 0.000644 0.002251  0.001498 -0.000248 -0.109613
MSWN 14FEB26 2014.1547 56714 1781 3  -89.7  -1906 -0.813772   3705875  0.398733    86  0.086911  0.0000 0.000650 0.000631 0.002221  0.019996 -0.018206 -0.123814
MSWN 14FEB27 2014.1574 56715 1781 4  -89.7  -1906 -0.813389   3705875  0.398176    86  0.076143  0.0000 0.000665 0.000635 0.002228  0.010189 -0.011471 -0.170967
MSWN 14FEB28 2014.1602 56716 1781 5  -89.7  -1906 -0.816508   3705875  0.397552    86  0.078928  0.0000 0.000620 0.000590 0.002104  0.026314 -0.017930 -0.156838
MSWN 14MAR01 2014.1629 56717 1781 6  -89.7  -1906 -0.815393   3705875  0.394924    86  0.078802  0.0000 0.000664 0.000650 0.002195 -0.009076  0.016015 -0.149979
MSWN 14MAR02 2014.1656 56718 1782 0  -89.7  -1906 -0.817680   3705875  0.397833    86  0.084993  0.0000 0.000654 0.000614 0.002191  0.048672 -0.054823 -0.145370
MSWN 14MAR03 2014.1684 56719 1782 1  -89.7  -1906 -0.817312   3705875  0.396415    86  0.076824  0.0000 0.000617 0.000588 0.002077 -0.000831 -0.010440 -0.129297
