site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MTCB 18AUG28 2018.6557 58358 2016 2 -104.5   -233 -0.174494   5334791  0.206063   570  0.346473  0.0000 0.000452 0.000601 0.001691 -0.004573  0.010873 -0.016746
MTCB 18AUG29 2018.6585 58359 2016 3 -104.5   -233 -0.172641   5334791  0.208131   570  0.355377  0.0000 0.000443 0.000590 0.001651  0.005627 -0.006657 -0.001008
MTCB 18AUG30 2018.6612 58360 2016 4 -104.5   -233 -0.173526   5334791  0.206514   570  0.359335  0.0000 0.000444 0.000595 0.001668 -0.007408 -0.000556 -0.017051
MTCB 18AUG31 2018.6639 58361 2016 5 -104.5   -233 -0.172977   5334791  0.207796   570  0.354097  0.0000 0.000443 0.000591 0.001663 -0.005644 -0.001973 -0.012562
MTCB 18SEP01 2018.6667 58362 2016 6 -104.5   -233 -0.175624   5334791  0.205932   570  0.353709  0.0000 0.000449 0.000592 0.001689 -0.005706  0.010780 -0.018955
MTCB 18SEP02 2018.6694 58363 2017 0 -104.5   -233 -0.175211   5334791  0.203852   570  0.356038  0.0000 0.000447 0.000593 0.001679  0.000190  0.017065 -0.006931
MTCB 18SEP03 2018.6721 58364 2017 1 -104.5   -233 -0.172063   5334791  0.206966   570  0.359013  0.0000 0.000447 0.000593 0.001668  0.004175 -0.020066 -0.005190
MTCB 18SEP04 2018.6749 58365 2017 2 -104.5   -233 -0.173403   5334791  0.208491   570  0.356370  0.0000 0.000443 0.000594 0.001661 -0.011678  0.002706 -0.027652
MTCB 18SEP05 2018.6776 58366 2017 3 -104.5   -233 -0.172728   5334791  0.208753   570  0.353495  0.0000 0.000445 0.000596 0.001668 -0.018467  0.007063 -0.033959
MTCB 18SEP06 2018.6804 58367 2017 4 -104.5   -233 -0.173396   5334791  0.208005   570  0.354192  0.0000 0.000453 0.000612 0.001711  0.007495 -0.022116  0.002752
