site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MTSN 06AUG03 2006.5873 53950 1386 4   15.8  -4151 -0.721781   4459090  0.025678  1132  0.327442  0.0083 0.000759 0.000966 0.002948  0.007081  0.048611 -0.170588
MTSN 06AUG04 2006.5900 53951 1386 5   15.8  -4151 -0.718174   4459090  0.025616  1132  0.340779  0.0083 0.000615 0.000725 0.002345 -0.023123  0.033769 -0.128352
MTSN 06AUG05 2006.5927 53952 1386 6   15.8  -4151 -0.724045   4459090  0.024855  1132  0.325815  0.0083 0.000589 0.000723 0.002302 -0.009788  0.017344 -0.120708
MTSN 06AUG06 2006.5955 53953 1387 0   15.8  -4151 -0.719740   4459090  0.028265  1132  0.328074  0.0083 0.000590 0.000719 0.002305 -0.018003  0.027688 -0.124297
MTSN 06AUG07 2006.5982 53954 1387 1   15.8  -4151 -0.721763   4459090  0.025067  1132  0.327136  0.0083 0.000590 0.000722 0.002304 -0.011766  0.032050 -0.109359
MTSN 06AUG08 2006.6010 53955 1387 2   15.8  -4151 -0.720576   4459090  0.025045  1132  0.333545  0.0083 0.000579 0.000701 0.002248  0.016328  0.032010 -0.120480
MTSN 06AUG09 2006.6037 53956 1387 3   15.8  -4151 -0.720207   4459090  0.022099  1132  0.333344  0.0083 0.000581 0.000694 0.002234  0.011666  0.022560 -0.127603
MTSN 06AUG10 2006.6064 53957 1387 4   15.8  -4151 -0.721859   4459090  0.022074  1132  0.338332  0.0083 0.000576 0.000695 0.002209  0.007953  0.029018 -0.118740
MTSN 06AUG11 2006.6092 53958 1387 5   15.8  -4151 -0.723929   4459090  0.023529  1132  0.321874  0.0083 0.000579 0.000708 0.002257  0.002778  0.024661 -0.112969
MTSN 06AUG12 2006.6119 53959 1387 6   15.8  -4151 -0.722844   4459090  0.023925  1132  0.328479  0.0083 0.000585 0.000708 0.002272  0.020699 -0.007413 -0.123622
MTSN 06AUG13 2006.6146 53960 1388 0   15.8  -4151 -0.719437   4459090  0.023433  1132  0.331631  0.0083 0.000588 0.000702 0.002280 -0.002010  0.051814 -0.104682
MTSN 06AUG14 2006.6174 53961 1388 1   15.8  -4151 -0.722955   4459090  0.025472  1132  0.328424  0.0083 0.000581 0.000700 0.002250  0.012806  0.029016 -0.134619
MTSN 06AUG15 2006.6201 53962 1388 2   15.8  -4151 -0.721817   4459090  0.024613  1132  0.332851  0.0083 0.000596 0.000703 0.002282 -0.004197  0.042900 -0.110795
MTSN 06AUG16 2006.6229 53963 1388 3   15.8  -4151 -0.722171   4459090  0.023201  1132  0.337148  0.0083 0.000578 0.000704 0.002237  0.009964  0.026368 -0.105830
MTSN 06AUG17 2006.6256 53964 1388 4   15.8  -4151 -0.724495   4459090  0.023941  1132  0.343265  0.0083 0.000575 0.000706 0.002236  0.000018  0.041393 -0.117526
MTSN 06AUG18 2006.6283 53965 1388 5   15.8  -4151 -0.721207   4459090  0.023839  1132  0.339431  0.0083 0.000583 0.000719 0.002306 -0.017354  0.047600 -0.114108
MTSN 06AUG19 2006.6311 53966 1388 6   15.8  -4151 -0.720829   4459090  0.025315  1132  0.337655  0.0083 0.000574 0.000703 0.002237 -0.002008  0.048224 -0.107222
MTSN 06AUG20 2006.6338 53967 1389 0   15.8  -4151 -0.721856   4459090  0.024395  1132  0.334890  0.0083 0.000578 0.000700 0.002238  0.004084  0.051317 -0.124497
MTSN 06AUG21 2006.6366 53968 1389 1   15.8  -4151 -0.718354   4459090  0.024098  1132  0.348349  0.0083 0.000582 0.000715 0.002281  0.027118  0.016513 -0.127586
MTSN 06AUG22 2006.6393 53969 1389 2   15.8  -4151 -0.718285   4459090  0.024639  1132  0.330826  0.0083 0.000577 0.000718 0.002254  0.020835  0.011897 -0.129606
MTSN 06AUG23 2006.6420 53970 1389 3   15.8  -4151 -0.719325   4459090  0.024039  1132  0.333958  0.0083 0.000581 0.000720 0.002283  0.017573  0.028174 -0.121972
