site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NDWN 19JAN09 2019.0226 58492 2035 3 -103.7  -1852 -0.482002   5332411  0.621774   603  0.196564  0.0000 0.000445 0.000595 0.001666 -0.004420 -0.009398  0.002848
NDWN 19JAN10 2019.0253 58493 2035 4 -103.7  -1852 -0.482776   5332411  0.619645   603  0.193818  0.0000 0.000458 0.000607 0.001705 -0.006442 -0.012216 -0.021710
NDWN 19JAN11 2019.0281 58494 2035 5 -103.7  -1852 -0.483927   5332411  0.621323   603  0.195822  0.0000 0.000450 0.000615 0.001696  0.012191 -0.012012 -0.012617
NDWN 19JAN12 2019.0308 58495 2035 6 -103.7  -1852 -0.482690   5332411  0.621841   603  0.193281  0.0000 0.000453 0.000614 0.001708  0.014627 -0.029154 -0.020064
NDWN 19JAN13 2019.0335 58496 2036 0 -103.7  -1852 -0.485700   5332411  0.619412   603  0.194846  0.0000 0.000439 0.000586 0.001631 -0.010735 -0.005045  0.013815
NDWN 19JAN14 2019.0363 58497 2036 1 -103.7  -1852 -0.484844   5332411  0.617581   603  0.193840  0.0000 0.000440 0.000589 0.001660 -0.003842 -0.025310  0.012926
NDWN 19JAN15 2019.0390 58498 2036 2 -103.7  -1852 -0.483866   5332411  0.619712   603  0.191095  0.0000 0.000441 0.000597 0.001646 -0.002126 -0.008805 -0.011500
NDWN 19JAN16 2019.0418 58499 2036 3 -103.7  -1852 -0.484782   5332411  0.622052   603  0.188403  0.0000 0.000444 0.000592 0.001654 -0.007018 -0.008577 -0.019494
NDWN 19JAN17 2019.0445 58500 2036 4 -103.7  -1852 -0.484328   5332411  0.620838   603  0.195200  0.0000 0.000447 0.000602 0.001678 -0.001640 -0.022458 -0.016054
NDWN 19JAN18 2019.0472 58501 2036 5 -103.7  -1852 -0.481224   5332411  0.619709   603  0.190743  0.0000 0.000455 0.000609 0.001683 -0.003985 -0.013816 -0.014906
NDWN 19JAN19 2019.0500 58502 2036 6 -103.7  -1852 -0.484241   5332411  0.618376   603  0.190561  0.0000 0.000450 0.000604 0.001663  0.000935 -0.006293 -0.005851
NDWN 19JAN20 2019.0527 58503 2037 0 -103.7  -1852 -0.482661   5332411  0.618044   603  0.190503  0.0000 0.000463 0.000619 0.001701  0.009513 -0.000928 -0.007085
NDWN 19JAN21 2019.0554 58504 2037 1 -103.7  -1852 -0.485445   5332411  0.619261   603  0.199817  0.0000 0.000457 0.000610 0.001696 -0.001033 -0.014216 -0.003042
NDWN 19JAN22 2019.0582 58505 2037 2 -103.7  -1852 -0.484970   5332411  0.618619   603  0.194029  0.0000 0.000467 0.000636 0.001731  0.008791  0.002192 -0.024189
NDWN 19JAN23 2019.0609 58506 2037 3 -103.7  -1852 -0.484921   5332411  0.620384   603  0.199838  0.0000 0.000457 0.000612 0.001695 -0.002687 -0.022252 -0.022461
NDWN 19JAN24 2019.0637 58507 2037 4 -103.7  -1852 -0.483350   5332411  0.620210   603  0.183509  0.0000 0.000451 0.000607 0.001670 -0.003976 -0.001319  0.008139
NDWN 19FEB08 2019.1047 58522 2039 5 -103.7  -1852 -0.487200   5332411  0.618046   603  0.183051  0.0000 0.000444 0.000592 0.001644 -0.000835 -0.031541 -0.010504
NDWN 19FEB09 2019.1075 58523 2039 6 -103.7  -1852 -0.485941   5332411  0.618914   603  0.183690  0.0000 0.000448 0.000597 0.001674  0.000597 -0.011980 -0.008047
NDWN 19FEB10 2019.1102 58524 2040 0 -103.7  -1852 -0.483858   5332411  0.618794   603  0.185195  0.0000 0.000445 0.000590 0.001640 -0.005311 -0.005631 -0.014486
NDWN 19FEB11 2019.1129 58525 2040 1 -103.7  -1852 -0.484887   5332411  0.620152   603  0.189200  0.0000 0.000452 0.000611 0.001705  0.001788 -0.036150 -0.012772
NDWN 19FEB12 2019.1157 58526 2040 2 -103.7  -1852 -0.487014   5332411  0.616708   603  0.186885  0.0000 0.000459 0.000617 0.001720 -0.008536  0.004026  0.011536
NDWN 19FEB13 2019.1184 58527 2040 3 -103.7  -1852 -0.484931   5332411  0.616832   603  0.195891  0.0000 0.000446 0.000599 0.001671 -0.021062 -0.029826  0.004820
NDWN 19FEB14 2019.1211 58528 2040 4 -103.7  -1852 -0.485676   5332411  0.618378   603  0.193752  0.0000 0.000454 0.000610 0.001690 -0.009949 -0.020505  0.003680
NDWN 19FEB15 2019.1239 58529 2040 5 -103.7  -1852 -0.486165   5332411  0.619679   603  0.196378  0.0000 0.000454 0.000615 0.001683 -0.001210  0.015732  0.002492
NDWN 19FEB16 2019.1266 58530 2040 6 -103.7  -1852 -0.485502   5332411  0.618948   603  0.193655  0.0000 0.000444 0.000605 0.001673  0.008051 -0.003570  0.020002
NDWN 19FEB17 2019.1294 58531 2041 0 -103.7  -1852 -0.486778   5332411  0.620097   603  0.185928  0.0000 0.000441 0.000592 0.001644 -0.000803 -0.006426 -0.013166
NDWN 19FEB18 2019.1321 58532 2041 1 -103.7  -1852 -0.487555   5332411  0.617310   603  0.184253  0.0000 0.000444 0.000596 0.001658  0.011223 -0.024615 -0.005060
NDWN 19FEB19 2019.1348 58533 2041 2 -103.7  -1852 -0.486824   5332411  0.618211   603  0.185767  0.0000 0.000443 0.000593 0.001656 -0.002393 -0.021090 -0.002666
NDWN 19FEB20 2019.1376 58534 2041 3 -103.7  -1852 -0.486684   5332411  0.619447   603  0.195060  0.0000 0.000443 0.000592 0.001655  0.008378 -0.007526  0.004166
NDWN 19FEB21 2019.1403 58535 2041 4 -103.7  -1852 -0.486013   5332411  0.618948   603  0.189589  0.0000 0.000443 0.000592 0.001660 -0.007503 -0.008556  0.005257
NDWN 19FEB22 2019.1431 58536 2041 5 -103.7  -1852 -0.484499   5332411  0.618603   603  0.188228  0.0000 0.000444 0.000592 0.001648  0.000799 -0.018758 -0.017512
NDWN 19FEB23 2019.1458 58537 2041 6 -103.7  -1852 -0.484863   5332411  0.619048   603  0.191668  0.0000 0.000443 0.000595 0.001647  0.004383 -0.011785 -0.017948
NDWN 19FEB24 2019.1485 58538 2042 0 -103.7  -1852 -0.488260   5332411  0.619931   603  0.180214  0.0000 0.000442 0.000598 0.001648  0.000547 -0.015529 -0.008606
NDWN 19FEB25 2019.1513 58539 2042 1 -103.7  -1852 -0.486259   5332411  0.619206   603  0.181676  0.0000 0.000445 0.000594 0.001653 -0.013541 -0.033369  0.001101
NDWN 19FEB26 2019.1540 58540 2042 2 -103.7  -1852 -0.487154   5332411  0.618909   603  0.181421  0.0000 0.000446 0.000594 0.001655 -0.011315 -0.019622 -0.004614
NDWN 19FEB27 2019.1567 58541 2042 3 -103.7  -1852 -0.485507   5332411  0.619654   603  0.182945  0.0000 0.000444 0.000590 0.001646 -0.002748 -0.032574 -0.009362
NDWN 19FEB28 2019.1595 58542 2042 4 -103.7  -1852 -0.487074   5332411  0.618231   603  0.183229  0.0000 0.000445 0.000596 0.001657 -0.001264 -0.006931 -0.003071
NDWN 19MAR01 2019.1622 58543 2042 5 -103.7  -1852 -0.487312   5332411  0.619090   603  0.180132  0.0000 0.000446 0.000606 0.001664  0.014349 -0.000246 -0.002872
NDWN 19MAR02 2019.1650 58544 2042 6 -103.7  -1852 -0.486414   5332411  0.618938   603  0.173917  0.0000 0.000444 0.000598 0.001665 -0.011620 -0.014697  0.008870
NDWN 19MAR03 2019.1677 58545 2043 0 -103.7  -1852 -0.489679   5332411  0.619116   603  0.173011  0.0000 0.000445 0.000590 0.001648 -0.015461 -0.024124 -0.025380
NDWN 19MAR04 2019.1704 58546 2043 1 -103.7  -1852 -0.487830   5332411  0.620248   603  0.182510  0.0000 0.000444 0.000590 0.001649 -0.008590 -0.016469 -0.007496
NDWN 19MAR05 2019.1732 58547 2043 2 -103.7  -1852 -0.489399   5332411  0.617884   603  0.186021  0.0000 0.000445 0.000596 0.001656 -0.008411  0.001788 -0.006122
NDWN 19MAR06 2019.1759 58548 2043 3 -103.7  -1852 -0.487276   5332411  0.617610   603  0.187768  0.0000 0.000445 0.000598 0.001666  0.005094 -0.006089 -0.014252
NDWN 19MAR07 2019.1786 58549 2043 4 -103.7  -1852 -0.484385   5332411  0.617603   603  0.189549  0.0000 0.000443 0.000594 0.001662  0.001127 -0.005980 -0.005253
NDWN 19MAR08 2019.1814 58550 2043 5 -103.7  -1852 -0.485048   5332411  0.617449   603  0.197854  0.0000 0.000445 0.000594 0.001657 -0.002517 -0.020145 -0.009802
NDWN 19MAR09 2019.1841 58551 2043 6 -103.7  -1852 -0.485210   5332411  0.618391   603  0.195309  0.0000 0.000447 0.000596 0.001667  0.006203 -0.015556 -0.008911
NDWN 19MAR10 2019.1869 58552 2044 0 -103.7  -1852 -0.486404   5332411  0.617511   603  0.184706  0.0000 0.000449 0.000602 0.001670  0.017822 -0.016287 -0.000623
NDWN 19MAR11 2019.1896 58553 2044 1 -103.7  -1852 -0.483770   5332411  0.616633   603  0.191148  0.0000 0.000442 0.000594 0.001642  0.010813 -0.004481 -0.012553
NDWN 19MAR12 2019.1923 58554 2044 2 -103.7  -1852 -0.484431   5332411  0.616330   603  0.199414  0.0000 0.000442 0.000595 0.001652  0.004979 -0.013777  0.013664
NDWN 19MAR13 2019.1951 58555 2044 3 -103.7  -1852 -0.486083   5332411  0.617878   603  0.194848  0.0000 0.000443 0.000591 0.001646  0.007622 -0.014745 -0.008537
NDWN 19MAR14 2019.1978 58556 2044 4 -103.7  -1852 -0.486454   5332411  0.617072   603  0.186942  0.0000 0.000444 0.000594 0.001658  0.007502 -0.018158 -0.021234
NDWN 19MAR15 2019.2005 58557 2044 5 -103.7  -1852 -0.487850   5332411  0.618330   603  0.184097  0.0000 0.000455 0.000610 0.001701  0.000392 -0.018188 -0.017151
NDWN 19MAR16 2019.2033 58558 2044 6 -103.7  -1852 -0.486917   5332411  0.618727   603  0.177644  0.0000 0.000442 0.000592 0.001640 -0.003659 -0.012151 -0.015187
NDWN 19MAR17 2019.2060 58559 2045 0 -103.7  -1852 -0.486570   5332411  0.617677   603  0.183038  0.0000 0.000441 0.000593 0.001641  0.005506 -0.004814  0.003616
NDWN 19MAR18 2019.2088 58560 2045 1 -103.7  -1852 -0.488519   5332411  0.617466   603  0.187200  0.0000 0.000438 0.000590 0.001633  0.004466 -0.016886  0.016152
NDWN 19MAR19 2019.2115 58561 2045 2 -103.7  -1852 -0.487583   5332411  0.617275   603  0.189555  0.0000 0.000442 0.000595 0.001655 -0.003349 -0.021352 -0.001770
NDWN 19MAR20 2019.2142 58562 2045 3 -103.7  -1852 -0.487757   5332411  0.617229   603  0.195706  0.0000 0.000447 0.000596 0.001663  0.005957 -0.036709 -0.021211
NDWN 19MAR21 2019.2170 58563 2045 4 -103.7  -1852 -0.487384   5332411  0.617288   603  0.191178  0.0000 0.000444 0.000598 0.001659  0.006376 -0.025054 -0.022844
NDWN 19MAR22 2019.2197 58564 2045 5 -103.7  -1852 -0.486290   5332411  0.617805   603  0.193156  0.0000 0.000446 0.000606 0.001687 -0.018439 -0.001898 -0.014973
NDWN 19MAR23 2019.2225 58565 2045 6 -103.7  -1852 -0.486599   5332411  0.618544   603  0.193067  0.0000 0.000441 0.000595 0.001649 -0.001216 -0.033081  0.011560
NDWN 19MAR24 2019.2252 58566 2046 0 -103.7  -1852 -0.487110   5332411  0.619524   603  0.191755  0.0000 0.000439 0.000591 0.001637 -0.002564 -0.021368  0.012560
NDWN 19MAR25 2019.2279 58567 2046 1 -103.7  -1852 -0.486510   5332411  0.619214   603  0.189168  0.0000 0.000442 0.000595 0.001657  0.002185 -0.009346 -0.005632
NDWN 19MAR26 2019.2307 58568 2046 2 -103.7  -1852 -0.486433   5332411  0.617427   603  0.189387  0.0000 0.000447 0.000592 0.001654  0.000496 -0.032503 -0.014843
NDWN 19MAR27 2019.2334 58569 2046 3 -103.7  -1852 -0.486807   5332411  0.618123   603  0.188122  0.0000 0.000445 0.000598 0.001670 -0.010890 -0.024597 -0.008183
NDWN 19MAR28 2019.2361 58570 2046 4 -103.7  -1852 -0.488812   5332411  0.619663   603  0.187404  0.0000 0.000443 0.000593 0.001657 -0.008226 -0.022736 -0.003245
NDWN 19MAR29 2019.2389 58571 2046 5 -103.7  -1852 -0.488887   5332411  0.619254   603  0.183258  0.0000 0.000446 0.000595 0.001659 -0.000333 -0.033425 -0.004864
NDWN 19MAR30 2019.2416 58572 2046 6 -103.7  -1852 -0.489087   5332411  0.618706   603  0.180249  0.0000 0.000452 0.000609 0.001708 -0.024164 -0.020127  0.010382
NDWN 19MAR31 2019.2444 58573 2047 0 -103.7  -1852 -0.489165   5332411  0.618409   603  0.189329  0.0000 0.000451 0.000609 0.001688  0.002966 -0.015845 -0.014559
NDWN 19APR01 2019.2471 58574 2047 1 -103.7  -1852 -0.488919   5332411  0.618249   603  0.183227  0.0000 0.000451 0.000603 0.001698  0.015551 -0.036358 -0.002914
NDWN 19APR02 2019.2498 58575 2047 2 -103.7  -1852 -0.489442   5332411  0.618900   603  0.187644  0.0000 0.000442 0.000594 0.001658 -0.010182 -0.016307 -0.006815
NDWN 19APR03 2019.2526 58576 2047 3 -103.7  -1852 -0.490428   5332411  0.620052   603  0.187737  0.0000 0.000445 0.000597 0.001653 -0.006363 -0.020015 -0.001430
