site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
OHJE 05DEC04 2005.9247 53708 1352 0  -80.7  -2522 -0.724275   4471148  0.363327   337  0.300221  0.0000 0.000621 0.000748 0.002261  0.087094  0.012634 -0.096672
OHJE 06AUG18 2006.6283 53965 1388 5  -80.7  -2522 -0.734774   4471148  0.365658   337  0.311195  0.0000 0.000503 0.000622 0.001865  0.007849  0.046031 -0.094521
OHJE 06AUG19 2006.6311 53966 1388 6  -80.7  -2522 -0.735496   4471148  0.364459   337  0.307540  0.0000 0.000497 0.000612 0.001855 -0.022121  0.057931 -0.106197
OHJE 06AUG20 2006.6338 53967 1389 0  -80.7  -2522 -0.734021   4471148  0.366595   337  0.310302  0.0000 0.000496 0.000600 0.001821  0.001021  0.034914 -0.103204
OHJE 06AUG21 2006.6366 53968 1389 1  -80.7  -2522 -0.736730   4471148  0.365818   337  0.305577  0.0000 0.000501 0.000616 0.001855  0.004454  0.026829 -0.135090
OHJE 06AUG22 2006.6393 53969 1389 2  -80.7  -2522 -0.736721   4471148  0.365335   337  0.306669  0.0000 0.000504 0.000617 0.001863  0.005828  0.037861 -0.117967
OHJE 06AUG23 2006.6420 53970 1389 3  -80.7  -2522 -0.735627   4471148  0.362657   337  0.295628  0.0000 0.000500 0.000617 0.001856  0.005435  0.016789 -0.105427
OHJE 06AUG24 2006.6448 53971 1389 4  -80.7  -2522 -0.736037   4471148  0.368078   337  0.303656  0.0000 0.000504 0.000621 0.001881 -0.011463  0.057324 -0.108488
OHJE 06AUG25 2006.6475 53972 1389 5  -80.7  -2522 -0.736609   4471148  0.364379   337  0.308959  0.0000 0.000507 0.000632 0.001883  0.009906  0.044591 -0.108757
OHJE 06AUG26 2006.6502 53973 1389 6  -80.7  -2522 -0.737053   4471148  0.366718   337  0.305214  0.0000 0.000524 0.000647 0.001949  0.023906  0.041596 -0.159644
OHJE 06AUG27 2006.6530 53974 1390 0  -80.7  -2522 -0.735110   4471148  0.363813   337  0.300826  0.0000 0.000518 0.000645 0.001939  0.019069  0.041811 -0.130640
OHJE 06AUG28 2006.6557 53975 1390 1  -80.7  -2522 -0.735518   4471148  0.364706   337  0.308744  0.0000 0.000520 0.000642 0.001911  0.018992  0.030592 -0.125892
OHJE 06AUG29 2006.6585 53976 1390 2  -80.7  -2522 -0.735779   4471148  0.368330   337  0.300006  0.0000 0.000528 0.000654 0.001971  0.010208  0.049922 -0.121016
OHJE 06AUG30 2006.6612 53977 1390 3  -80.7  -2522 -0.736638   4471148  0.366072   337  0.304034  0.0000 0.000527 0.000649 0.001953  0.028557  0.036915 -0.123855
OHJE 06AUG31 2006.6639 53978 1390 4  -80.7  -2522 -0.735830   4471148  0.367882   337  0.304297  0.0000 0.000519 0.000642 0.001923  0.020746  0.033338 -0.126029
OHJE 06SEP01 2006.6667 53979 1390 5  -80.7  -2522 -0.736615   4471148  0.368130   337  0.303472  0.0000 0.000523 0.000644 0.001939  0.028699  0.026736 -0.147948
OHJE 06SEP02 2006.6694 53980 1390 6  -80.7  -2522 -0.738207   4471148  0.367391   337  0.305267  0.0000 0.000515 0.000639 0.001897  0.020942  0.031554 -0.132998
OHJE 06SEP03 2006.6721 53981 1391 0  -80.7  -2522 -0.738488   4471148  0.365462   337  0.298983  0.0000 0.000523 0.000648 0.001948  0.002809  0.062301 -0.122104
OHJE 06SEP04 2006.6749 53982 1391 1  -80.7  -2522 -0.737173   4471148  0.365120   337  0.301953  0.0000 0.000526 0.000653 0.001965 -0.006503  0.054777 -0.096186
OHJE 06SEP05 2006.6776 53983 1391 2  -80.7  -2522 -0.737327   4471148  0.365141   337  0.298239  0.0000 0.000525 0.000649 0.001965 -0.003231  0.058775 -0.096601
OHJE 06SEP06 2006.6804 53984 1391 3  -80.7  -2522 -0.736362   4471148  0.363058   337  0.290315  0.0000 0.000517 0.000642 0.001930  0.025967  0.008834 -0.137468
OHJE 06SEP07 2006.6831 53985 1391 4  -80.7  -2522 -0.738957   4471148  0.364151   337  0.292982  0.0000 0.000534 0.000652 0.001977 -0.014275  0.062164 -0.116700
OHJE 06SEP08 2006.6858 53986 1391 5  -80.7  -2522 -0.737028   4471148  0.367986   337  0.295170  0.0000 0.000537 0.000662 0.002001 -0.023532  0.057068 -0.104816
OHJE 06SEP09 2006.6886 53987 1391 6  -80.7  -2522 -0.737818   4471148  0.365756   337  0.294542  0.0000 0.000509 0.000634 0.001918 -0.003171  0.039062 -0.095934
OHJE 06SEP10 2006.6913 53988 1392 0  -80.7  -2522 -0.736044   4471148  0.366555   337  0.301189  0.0000 0.000506 0.000630 0.001898  0.008764  0.034048 -0.107494
OHJE 06SEP11 2006.6940 53989 1392 1  -80.7  -2522 -0.735735   4471148  0.369595   337  0.298676  0.0000 0.000510 0.000635 0.001913 -0.000294  0.041509 -0.113721
OHJE 06SEP12 2006.6968 53990 1392 2  -80.7  -2522 -0.739425   4471148  0.366720   337  0.309648  0.0000 0.000508 0.000632 0.001894  0.014066  0.034388 -0.113000
OHJE 06SEP13 2006.6995 53991 1392 3  -80.7  -2522 -0.737354   4471148  0.369520   337  0.303432  0.0000 0.000506 0.000634 0.001898  0.007391  0.047923 -0.105567
OHJE 06SEP14 2006.7023 53992 1392 4  -80.7  -2522 -0.736881   4471148  0.363242   337  0.293841  0.0000 0.000520 0.000641 0.001933  0.010623  0.025799 -0.105974
OHJE 06SEP15 2006.7050 53993 1392 5  -80.7  -2522 -0.738669   4471148  0.365823   337  0.295411  0.0000 0.000512 0.000624 0.001889  0.020768  0.018972 -0.106578
OHJE 06SEP16 2006.7077 53994 1392 6  -80.7  -2522 -0.735753   4471148  0.366230   337  0.296084  0.0000 0.000500 0.000618 0.001860  0.007819  0.014238 -0.118633
OHJE 06SEP17 2006.7105 53995 1393 0  -80.7  -2522 -0.736692   4471148  0.365909   337  0.303097  0.0000 0.000501 0.000617 0.001860 -0.008996  0.046701 -0.121509
OHJE 06SEP18 2006.7132 53996 1393 1  -80.7  -2522 -0.735646   4471148  0.366312   337  0.306695  0.0000 0.000501 0.000617 0.001855 -0.009933  0.049284 -0.121143
OHJE 06SEP19 2006.7159 53997 1393 2  -80.7  -2522 -0.738990   4471148  0.364714   337  0.303729  0.0000 0.000515 0.000637 0.001908 -0.000674  0.034744 -0.107849
