site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
OKDT 02MAY31 2002.4120 52425 1168 5  -97.5   -698 -0.153414   3928970  0.657683   365  0.476193  1.4973 0.000760 0.000794 0.003025 -0.023721  0.065540 -0.151997
OKDT 02JUN01 2002.4148 52426 1168 6  -97.5   -698 -0.152434   3928970  0.658976   365  0.475860  1.4973 0.000824 0.000855 0.003264 -0.086949  0.108685 -0.145329
OKDT 02JUN02 2002.4175 52427 1169 0  -97.5   -698 -0.150603   3928970  0.658701   365  0.486672  1.4973 0.000793 0.000827 0.003203  0.010523  0.064135 -0.145318
OKDT 02JUN03 2002.4203 52428 1169 1  -97.5   -698 -0.151842   3928970  0.659927   365  0.480232  1.4973 0.000761 0.000806 0.003076  0.048336  0.086149 -0.127898
OKDT 02JUN04 2002.4230 52429 1169 2  -97.5   -698 -0.151294   3928970  0.660038   365  0.474975  1.4973 0.000773 0.000796 0.003030 -0.044679  0.152122 -0.201130
OKDT 02JUN05 2002.4257 52430 1169 3  -97.5   -698 -0.151906   3928970  0.659244   365  0.473270  1.4973 0.000727 0.000792 0.002844  0.009672  0.032205 -0.107568
OKDT 02JUN06 2002.4285 52431 1169 4  -97.5   -698 -0.152344   3928970  0.659854   365  0.464623  1.4973 0.000728 0.000796 0.002905 -0.017970  0.047892 -0.142855
OKDT 02JUN07 2002.4312 52432 1169 5  -97.5   -698 -0.151744   3928970  0.659741   365  0.470041  1.4973 0.000702 0.000771 0.002798 -0.052651  0.055928 -0.138446
OKDT 02JUN08 2002.4339 52433 1169 6  -97.5   -698 -0.153456   3928970  0.658992   365  0.477804  1.4973 0.000808 0.000830 0.003233  0.049881  0.009970 -0.183560
OKDT 02JUN09 2002.4367 52434 1170 0  -97.5   -698 -0.153805   3928970  0.659919   365  0.479227  1.4973 0.000816 0.000838 0.003405 -0.031041  0.100037 -0.175391
OKDT 02JUN10 2002.4394 52435 1170 1  -97.5   -698 -0.151810   3928970  0.660160   365  0.477261  1.4973 0.000799 0.000841 0.003366 -0.022522  0.112049 -0.158416
OKDT 02JUN11 2002.4422 52436 1170 2  -97.5   -698 -0.152381   3928970  0.661784   365  0.482997  1.4973 0.000759 0.000779 0.003066 -0.080122  0.183524 -0.177585
OKDT 02JUN12 2002.4449 52437 1170 3  -97.5   -698 -0.152965   3928970  0.658695   365  0.472620  1.4973 0.000759 0.000806 0.003088 -0.086763  0.073717 -0.183650
OKDT 02JUN13 2002.4476 52438 1170 4  -97.5   -698 -0.151122   3928970  0.655947   365  0.477384  1.4973 0.000823 0.000838 0.003261 -0.038582  0.080675 -0.202479
OKDT 02JUN14 2002.4504 52439 1170 5  -97.5   -698 -0.151935   3928970  0.660162   365  0.468646  1.4973 0.000711 0.000785 0.002863 -0.105131  0.127473 -0.171602
OKDT 02JUN15 2002.4531 52440 1170 6  -97.5   -698 -0.154627   3928970  0.656595   365  0.475705  1.4973 0.000677 0.000738 0.002693 -0.028957  0.062766 -0.157423
OKDT 02JUN16 2002.4559 52441 1171 0  -97.5   -698 -0.154812   3928970  0.659260   365  0.464201  1.4973 0.000694 0.000757 0.002788 -0.058418  0.103533 -0.165313
OKDT 02JUN17 2002.4586 52442 1171 1  -97.5   -698 -0.155182   3928970  0.661126   365  0.466930  1.4973 0.000758 0.000788 0.002956 -0.054661  0.112164 -0.156268
OKDT 02JUN18 2002.4613 52443 1171 2  -97.5   -698 -0.152613   3928970  0.660958   365  0.477906  1.4973 0.000771 0.000802 0.003065 -0.056844  0.091673 -0.164550
OKDT 02JUN19 2002.4641 52444 1171 3  -97.5   -698 -0.151467   3928970  0.660633   365  0.478501  1.4973 0.000829 0.000857 0.003365 -0.099318  0.117278 -0.221485
OKDT 02JUN20 2002.4668 52445 1171 4  -97.5   -698 -0.153503   3928970  0.660857   365  0.463154  1.4973 0.000838 0.000844 0.003405 -0.045855  0.084481 -0.243252
OKDT 02JUN21 2002.4695 52446 1171 5  -97.5   -698 -0.152036   3928970  0.660710   365  0.464887  1.4973 0.000748 0.000819 0.003026 -0.096636  0.116237 -0.183467
OKDT 02JUN22 2002.4723 52447 1171 6  -97.5   -698 -0.151788   3928970  0.661519   365  0.470277  1.4973 0.000675 0.000752 0.002752 -0.027896  0.110541 -0.163827
OKDT 02JUN23 2002.4750 52448 1172 0  -97.5   -698 -0.152488   3928970  0.657932   365  0.471220  1.4973 0.000646 0.000707 0.002567 -0.028901  0.083991 -0.123274
OKDT 02JUN24 2002.4778 52449 1172 1  -97.5   -698 -0.153339   3928970  0.657351   365  0.466175  1.4973 0.000687 0.000739 0.002766 -0.030242  0.126980 -0.121473
OKDT 02JUN25 2002.4805 52450 1172 2  -97.5   -698 -0.152793   3928970  0.658182   365  0.471450  1.4973 0.000670 0.000728 0.002657 -0.023647  0.072182 -0.155081
OKDT 02JUN26 2002.4832 52451 1172 3  -97.5   -698 -0.153940   3928970  0.660749   365  0.458803  1.4973 0.000745 0.000791 0.003016 -0.076988  0.158500 -0.141875
OKDT 02JUN27 2002.4860 52452 1172 4  -97.5   -698 -0.154542   3928970  0.658446   365  0.470246  1.4973 0.000693 0.000757 0.002709 -0.109450  0.077982 -0.169637
OKDT 02JUN28 2002.4887 52453 1172 5  -97.5   -698 -0.152533   3928970  0.654869   365  0.471221  1.4973 0.000740 0.000801 0.002898 -0.085220  0.109943 -0.176372
OKDT 02JUN29 2002.4914 52454 1172 6  -97.5   -698 -0.152835   3928970  0.657112   365  0.474107  1.4973 0.000672 0.000739 0.002670 -0.062721  0.101448 -0.138546
OKDT 02JUN30 2002.4942 52455 1173 0  -97.5   -698 -0.152216   3928970  0.658138   365  0.463428  1.4973 0.000693 0.000757 0.002782 -0.067667  0.103107 -0.172671
OKDT 02JUL01 2002.4969 52456 1173 1  -97.5   -698 -0.152541   3928970  0.656937   365  0.477543  1.4973 0.000687 0.000750 0.002684 -0.038790  0.027780 -0.161783
OKDT 02JUL02 2002.4997 52457 1173 2  -97.5   -698 -0.153349   3928970  0.660010   365  0.464966  1.4973 0.000727 0.000770 0.002854 -0.061052  0.116327 -0.184334
OKDT 02JUL03 2002.5024 52458 1173 3  -97.5   -698 -0.152991   3928970  0.657493   365  0.480749  1.4973 0.000814 0.000826 0.003295 -0.075950  0.144056 -0.228514
OKDT 02JUL04 2002.5051 52459 1173 4  -97.5   -698 -0.152060   3928970  0.657895   365  0.475893  1.4973 0.000807 0.000842 0.003263 -0.123616  0.160675 -0.178842
OKDT 02JUL05 2002.5079 52460 1173 5  -97.5   -698 -0.154467   3928970  0.659431   365  0.478716  1.4973 0.000748 0.000793 0.002977 -0.065223  0.158319 -0.119058
OKDT 02JUL06 2002.5106 52461 1173 6  -97.5   -698 -0.157975   3928970  0.657325   365  0.481233  1.4973 0.000776 0.000810 0.003057 -0.022430  0.110507 -0.147355
OKDT 02JUL07 2002.5133 52462 1174 0  -97.5   -698 -0.154786   3928970  0.658014   365  0.470744  1.4973 0.000751 0.000786 0.002997 -0.069923  0.136061 -0.175604
OKDT 02JUL08 2002.5161 52463 1174 1  -97.5   -698 -0.154262   3928970  0.657530   365  0.469740  1.4973 0.000736 0.000788 0.002994 -0.021436  0.075683 -0.157967
OKDT 02JUL09 2002.5188 52464 1174 2  -97.5   -698 -0.155883   3928970  0.655894   365  0.468082  1.4973 0.000734 0.000822 0.002995 -0.095037  0.137203 -0.115537
OKDT 02JUL10 2002.5216 52465 1174 3  -97.5   -698 -0.155908   3928970  0.657408   365  0.466197  1.4973 0.000712 0.000769 0.002840 -0.023039  0.087557 -0.159059
OKDT 02JUL11 2002.5243 52466 1174 4  -97.5   -698 -0.152355   3928970  0.657008   365  0.477784  1.4973 0.000726 0.000774 0.002901 -0.018873  0.153095 -0.135576
OKDT 02JUL12 2002.5270 52467 1174 5  -97.5   -698 -0.156900   3928970  0.655715   365  0.471667  1.4973 0.000795 0.000829 0.003211 -0.006054  0.157741 -0.184534
OKDT 02JUL13 2002.5298 52468 1174 6  -97.5   -698 -0.154846   3928970  0.656347   365  0.466528  1.4973 0.000697 0.000786 0.002771 -0.037438  0.097118 -0.159070
OKDT 02JUL14 2002.5325 52469 1175 0  -97.5   -698 -0.154192   3928970  0.656327   365  0.467988  1.4973 0.000644 0.000707 0.002532 -0.023564  0.091631 -0.130099
OKDT 02JUL15 2002.5352 52470 1175 1  -97.5   -698 -0.154606   3928970  0.654402   365  0.471216  1.4973 0.000732 0.000771 0.002827 -0.048869  0.141592 -0.125130
OKDT 02JUL16 2002.5380 52471 1175 2  -97.5   -698 -0.155679   3928970  0.657078   365  0.464936  1.4973 0.000735 0.000771 0.002999 -0.046275  0.155707 -0.188437
OKDT 02JUL17 2002.5407 52472 1175 3  -97.5   -698 -0.155518   3928970  0.658730   365  0.473866  1.4973 0.000779 0.000810 0.003146 -0.059481  0.205434 -0.209815
OKDT 02JUL18 2002.5435 52473 1175 4  -97.5   -698 -0.155469   3928970  0.659311   365  0.471019  1.4973 0.000812 0.000850 0.003250  0.060632  0.083096 -0.136046
OKDT 02JUL19 2002.5462 52474 1175 5  -97.5   -698 -0.156081   3928970  0.656812   365  0.471565  1.4973 0.000739 0.000784 0.002934 -0.065632  0.092889 -0.123267
OKDT 02JUL20 2002.5489 52475 1175 6  -97.5   -698 -0.157068   3928970  0.659592   365  0.482306  1.4973 0.000745 0.000807 0.003000 -0.036926  0.133034 -0.150310
OKDT 02JUL21 2002.5517 52476 1176 0  -97.5   -698 -0.157247   3928970  0.660372   365  0.470712  1.4973 0.000676 0.000750 0.002713 -0.024910  0.063091 -0.133422
OKDT 02JUL22 2002.5544 52477 1176 1  -97.5   -698 -0.156694   3928970  0.659343   365  0.472552  1.4973 0.000710 0.000775 0.002892 -0.010294  0.099389 -0.120149
OKDT 02JUL23 2002.5572 52478 1176 2  -97.5   -698 -0.154086   3928970  0.656384   365  0.469374  1.4973 0.000681 0.000742 0.002711 -0.003646  0.084893 -0.176033
OKDT 02JUL24 2002.5599 52479 1176 3  -97.5   -698 -0.155526   3928970  0.659008   365  0.458436  1.4973 0.000786 0.000831 0.003180 -0.107989  0.164911 -0.148480
OKDT 02JUL25 2002.5626 52480 1176 4  -97.5   -698 -0.155151   3928970  0.657685   365  0.469106  1.4973 0.000784 0.000807 0.003139 -0.074713  0.170334 -0.213202
OKDT 02JUL26 2002.5654 52481 1176 5  -97.5   -698 -0.155499   3928970  0.657313   365  0.472858  1.4973 0.000767 0.000828 0.003175 -0.054478  0.140266 -0.120381
OKDT 02JUL27 2002.5681 52482 1176 6  -97.5   -698 -0.155742   3928970  0.656024   365  0.472522  1.4973 0.000809 0.000828 0.003297  0.000317  0.057983 -0.251831
OKDT 02JUL28 2002.5708 52483 1177 0  -97.5   -698 -0.154938   3928970  0.658263   365  0.469670  1.4973 0.000744 0.000783 0.002926 -0.020235  0.142545 -0.128199
OKDT 02JUL29 2002.5736 52484 1177 1  -97.5   -698 -0.154782   3928970  0.655050   365  0.467549  1.4973 0.000739 0.000816 0.003081 -0.008766  0.081360 -0.170638
OKDT 02JUL30 2002.5763 52485 1177 2  -97.5   -698 -0.155567   3928970  0.657604   365  0.469271  1.4973 0.000752 0.000825 0.003120 -0.088630  0.117751 -0.171636
OKDT 02JUL31 2002.5791 52486 1177 3  -97.5   -698 -0.156355   3928970  0.656256   365  0.477293  1.4973 0.000740 0.000785 0.002892 -0.052483  0.104132 -0.094465
OKDT 02AUG01 2002.5818 52487 1177 4  -97.5   -698 -0.160030   3928970  0.657676   365  0.475230  1.4973 0.000706 0.000765 0.002775  0.010856  0.082092 -0.155705
OKDT 02AUG02 2002.5845 52488 1177 5  -97.5   -698 -0.156942   3928970  0.660404   365  0.467932  1.4973 0.000760 0.000791 0.003051 -0.075998  0.201567 -0.147827
OKDT 02AUG03 2002.5873 52489 1177 6  -97.5   -698 -0.155053   3928970  0.656317   365  0.471132  1.4973 0.000759 0.000806 0.003041  0.008456  0.098543 -0.137099
OKDT 02AUG04 2002.5900 52490 1178 0  -97.5   -698 -0.153923   3928970  0.658830   365  0.469128  1.4973 0.000779 0.000839 0.003223 -0.001196  0.077744 -0.195621
OKDT 02AUG05 2002.5927 52491 1178 1  -97.5   -698 -0.157334   3928970  0.659503   365  0.468540  1.4973 0.000751 0.000797 0.003074  0.043564  0.093190 -0.189477
OKDT 02AUG06 2002.5955 52492 1178 2  -97.5   -698 -0.155176   3928970  0.659226   365  0.470517  1.4973 0.000718 0.000768 0.002803 -0.039209  0.125980 -0.135895
OKDT 02AUG07 2002.5982 52493 1178 3  -97.5   -698 -0.154764   3928970  0.657989   365  0.480608  1.4973 0.000750 0.000821 0.003082 -0.030721  0.105696 -0.181175
OKDT 02AUG08 2002.6010 52494 1178 4  -97.5   -698 -0.156496   3928970  0.656384   365  0.467776  1.4973 0.000712 0.000770 0.002920 -0.039163  0.118097 -0.123907
OKDT 02AUG09 2002.6037 52495 1178 5  -97.5   -698 -0.157474   3928970  0.657336   365  0.472456  1.4973 0.000720 0.000776 0.002914  0.011064  0.083212 -0.150580
OKDT 02AUG10 2002.6064 52496 1178 6  -97.5   -698 -0.154816   3928970  0.654306   365  0.481690  1.4973 0.000750 0.000797 0.003054 -0.031339  0.130055 -0.143525
OKDT 02AUG11 2002.6092 52497 1179 0  -97.5   -698 -0.156233   3928970  0.656978   365  0.478992  1.4973 0.000755 0.000783 0.003015 -0.034988  0.145929 -0.116477
OKDT 02AUG12 2002.6119 52498 1179 1  -97.5   -698 -0.156190   3928970  0.656881   365  0.473683  1.4973 0.000762 0.000813 0.003048 -0.054378  0.126163 -0.135910
OKDT 02AUG13 2002.6146 52499 1179 2  -97.5   -698 -0.153826   3928970  0.661234   365  0.478522  1.4973 0.000738 0.000818 0.003017 -0.074005  0.155098 -0.152289
OKDT 02AUG14 2002.6174 52500 1179 3  -97.5   -698 -0.154147   3928970  0.657541   365  0.472058  1.4973 0.000734 0.000793 0.002956  0.014905  0.052419 -0.119309
OKDT 02AUG15 2002.6201 52501 1179 4  -97.5   -698 -0.155671   3928970  0.660087   365  0.480812  1.4973 0.000780 0.000821 0.003086 -0.059638  0.093959 -0.109649
OKDT 02AUG16 2002.6229 52502 1179 5  -97.5   -698 -0.155857   3928970  0.658745   365  0.471812  1.4973 0.000787 0.000821 0.003143 -0.040029  0.150545 -0.155749
OKDT 02AUG17 2002.6256 52503 1179 6  -97.5   -698 -0.154577   3928970  0.656687   365  0.477623  1.4973 0.000786 0.000822 0.003176 -0.064980  0.177777 -0.147622
OKDT 02AUG18 2002.6283 52504 1180 0  -97.5   -698 -0.154835   3928970  0.656795   365  0.475643  1.4973 0.000823 0.000831 0.003161 -0.125432  0.162718 -0.151060
OKDT 02AUG19 2002.6311 52505 1180 1  -97.5   -698 -0.158090   3928970  0.658467   365  0.471805  1.4973 0.000789 0.000819 0.003140 -0.031692  0.055180 -0.139482
OKDT 02AUG20 2002.6338 52506 1180 2  -97.5   -698 -0.153684   3928970  0.657735   365  0.479879  1.4973 0.000760 0.000780 0.003036 -0.009408  0.099978 -0.159944
OKDT 02AUG21 2002.6366 52507 1180 3  -97.5   -698 -0.155060   3928970  0.658764   365  0.481515  1.4973 0.000770 0.000814 0.003181  0.009797  0.080143 -0.207600
OKDT 02AUG22 2002.6393 52508 1180 4  -97.5   -698 -0.156268   3928970  0.653588   365  0.477581  1.4973 0.000741 0.000788 0.003023 -0.022135  0.071682 -0.219450
OKDT 02AUG23 2002.6420 52509 1180 5  -97.5   -698 -0.156371   3928970  0.657162   365  0.476345  1.4973 0.000659 0.000734 0.002628 -0.029805  0.107259 -0.127199
OKDT 02AUG24 2002.6448 52510 1180 6  -97.5   -698 -0.154908   3928970  0.655474   365  0.486384  1.4973 0.000686 0.000747 0.002692 -0.042098  0.069841 -0.141112
OKDT 02AUG25 2002.6475 52511 1181 0  -97.5   -698 -0.155077   3928970  0.655189   365  0.476229  1.4973 0.000678 0.000734 0.002735 -0.053542  0.118191 -0.157862
OKDT 02AUG26 2002.6502 52512 1181 1  -97.5   -698 -0.154331   3928970  0.656535   365  0.469778  1.4973 0.000728 0.000766 0.002832 -0.047934  0.105414 -0.159074
OKDT 02AUG27 2002.6530 52513 1181 2  -97.5   -698 -0.154707   3928970  0.658275   365  0.478708  1.4973 0.000754 0.000775 0.002968 -0.065378  0.152752 -0.153885
OKDT 02AUG28 2002.6557 52514 1181 3  -97.5   -698 -0.156169   3928970  0.656143   365  0.466036  1.4973 0.000766 0.000838 0.003230 -0.085290  0.158169 -0.138851
OKDT 02AUG29 2002.6585 52515 1181 4  -97.5   -698 -0.151906   3928970  0.655233   365  0.479512  1.4973 0.000717 0.000772 0.002897 -0.030667  0.080697 -0.172773
OKDT 02AUG30 2002.6612 52516 1181 5  -97.5   -698 -0.155962   3928970  0.657205   365  0.472192  1.4973 0.000662 0.000734 0.002620  0.045507  0.031309 -0.177675
OKDT 02AUG31 2002.6639 52517 1181 6  -97.5   -698 -0.153513   3928970  0.655069   365  0.469600  1.4973 0.000694 0.000757 0.002700 -0.006474  0.088994 -0.148753
OKDT 02SEP01 2002.6667 52518 1182 0  -97.5   -698 -0.156067   3928970  0.657744   365  0.476171  1.4973 0.000663 0.000712 0.002614  0.001788  0.103263 -0.180988
OKDT 02SEP02 2002.6694 52519 1182 1  -97.5   -698 -0.154620   3928970  0.658770   365  0.481653  1.4973 0.000653 0.000716 0.002573 -0.024337  0.074783 -0.156698
OKDT 02SEP03 2002.6721 52520 1182 2  -97.5   -698 -0.155772   3928970  0.658539   365  0.478731  1.4973 0.000766 0.000824 0.002978 -0.043171  0.063384 -0.131513
OKDT 02SEP04 2002.6749 52521 1182 3  -97.5   -698 -0.156605   3928970  0.658611   365  0.474872  1.4973 0.000756 0.000782 0.003054 -0.007299  0.115979 -0.209017
OKDT 02SEP05 2002.6776 52522 1182 4  -97.5   -698 -0.155057   3928970  0.655009   365  0.475106  1.4973 0.000796 0.000826 0.003187 -0.045842  0.129795 -0.198608
OKDT 02SEP06 2002.6804 52523 1182 5  -97.5   -698 -0.156584   3928970  0.658690   365  0.469961  1.4973 0.000788 0.000862 0.003248 -0.069054  0.118074 -0.195505
OKDT 02SEP07 2002.6831 52524 1182 6  -97.5   -698 -0.159280   3928970  0.655914   365  0.481666  1.4973 0.000688 0.000735 0.002664 -0.010274  0.044170 -0.177249
OKDT 02SEP08 2002.6858 52525 1183 0  -97.5   -698 -0.155553   3928970  0.656927   365  0.469550  1.4973 0.000672 0.000743 0.002676 -0.043092  0.057217 -0.174657
OKDT 02SEP09 2002.6886 52526 1183 1  -97.5   -698 -0.156924   3928970  0.655450   365  0.467031  1.4973 0.000734 0.000788 0.002904 -0.080169  0.101336 -0.114967
OKDT 02SEP10 2002.6913 52527 1183 2  -97.5   -698 -0.155772   3928970  0.658206   365  0.477950  1.4973 0.000776 0.000818 0.003163  0.013958  0.026811 -0.186923
OKDT 02SEP11 2002.6940 52528 1183 3  -97.5   -698 -0.158107   3928970  0.657965   365  0.472606  1.4973 0.000759 0.000771 0.003018 -0.025413  0.106510 -0.181186
OKDT 02SEP12 2002.6968 52529 1183 4  -97.5   -698 -0.156569   3928970  0.655267   365  0.474477  1.4973 0.000786 0.000797 0.003116 -0.018857  0.099770 -0.211833
OKDT 02SEP13 2002.6995 52530 1183 5  -97.5   -698 -0.156620   3928970  0.654793   365  0.484053  1.4973 0.000766 0.000814 0.003048  0.001705  0.064411 -0.062012
OKDT 02SEP14 2002.7023 52531 1183 6  -97.5   -698 -0.156681   3928970  0.655465   365  0.470678  1.4973 0.000749 0.000778 0.002955 -0.037093  0.112619 -0.222704
OKDT 02SEP15 2002.7050 52532 1184 0  -97.5   -698 -0.156305   3928970  0.654914   365  0.465091  1.4973 0.000837 0.000842 0.003301 -0.100608  0.223736 -0.198597
OKDT 02SEP16 2002.7077 52533 1184 1  -97.5   -698 -0.154054   3928970  0.655521   365  0.468352  1.4973 0.000763 0.000781 0.003013 -0.055720  0.066847 -0.151114
OKDT 02SEP17 2002.7105 52534 1184 2  -97.5   -698 -0.153842   3928970  0.657703   365  0.476353  1.4973 0.000742 0.000766 0.002952 -0.017685  0.085515 -0.210770
OKDT 02SEP18 2002.7132 52535 1184 3  -97.5   -698 -0.155142   3928970  0.657134   365  0.479550  1.4973 0.000731 0.000787 0.002915 -0.033225  0.115873 -0.173235
OKDT 02SEP19 2002.7159 52536 1184 4  -97.5   -698 -0.163085   3928970  0.660222   365  0.475842  1.4973 0.001003 0.001074 0.004101 -0.167376  0.186062 -0.230182
OKDT 02SEP20 2002.7187 52537 1184 5  -97.5   -698 -0.154296   3928970  0.657340   365  0.478306  1.4973 0.000803 0.000824 0.003249 -0.026425  0.179583 -0.178707
OKDT 02SEP21 2002.7214 52538 1184 6  -97.5   -698 -0.156856   3928970  0.657033   365  0.477727  1.4973 0.000734 0.000820 0.002962 -0.027495  0.111621 -0.122984
OKDT 02SEP22 2002.7242 52539 1185 0  -97.5   -698 -0.156633   3928970  0.656795   365  0.474243  1.4973 0.000649 0.000716 0.002548 -0.017327  0.094762 -0.137873
OKDT 02SEP23 2002.7269 52540 1185 1  -97.5   -698 -0.154428   3928970  0.656522   365  0.478376  1.4973 0.000798 0.000874 0.003163 -0.056623  0.126180 -0.187461
OKDT 02SEP24 2002.7296 52541 1185 2  -97.5   -698 -0.155440   3928970  0.658002   365  0.479979  1.4973 0.000956 0.001025 0.003906 -0.184272  0.269477 -0.272411
OKDT 02SEP25 2002.7324 52542 1185 3  -97.5   -698 -0.156647   3928970  0.656078   365  0.486281  1.4973 0.000793 0.000793 0.003114 -0.082150  0.168492 -0.186765
OKDT 02SEP26 2002.7351 52543 1185 4  -97.5   -698 -0.157617   3928970  0.655165   365  0.478926  1.4973 0.000775 0.000809 0.002907 -0.055357  0.138452 -0.131959
OKDT 02SEP27 2002.7379 52544 1185 5  -97.5   -698 -0.155422   3928970  0.657358   365  0.488865  1.4973 0.000776 0.000819 0.003064 -0.050984  0.077483 -0.087574
OKDT 02SEP28 2002.7406 52545 1185 6  -97.5   -698 -0.155955   3928970  0.656690   365  0.482761  1.4973 0.000804 0.000854 0.003231  0.032100  0.043204 -0.184569
OKDT 02SEP29 2002.7433 52546 1186 0  -97.5   -698 -0.156759   3928970  0.656616   365  0.475060  1.4973 0.000813 0.000846 0.003210 -0.007610  0.096211 -0.118399
OKDT 02SEP30 2002.7461 52547 1186 1  -97.5   -698 -0.157197   3928970  0.655524   365  0.480253  1.4973 0.000820 0.000866 0.003295  0.010282  0.018318 -0.223443
OKDT 02OCT01 2002.7488 52548 1186 2  -97.5   -698 -0.156901   3928970  0.655037   365  0.484721  1.4973 0.000775 0.000813 0.003066  0.009540  0.017049 -0.199971
OKDT 02OCT02 2002.7515 52549 1186 3  -97.5   -698 -0.154894   3928970  0.654913   365  0.486353  1.4973 0.000737 0.000800 0.002912 -0.012859  0.090521 -0.109503
OKDT 02OCT03 2002.7543 52550 1186 4  -97.5   -698 -0.156652   3928970  0.656190   365  0.486036  1.4973 0.000713 0.000753 0.002748 -0.020140  0.054952 -0.163986
OKDT 02OCT05 2002.7598 52552 1186 6  -97.5   -698 -0.156610   3928970  0.656319   365  0.473718  1.4973 0.000819 0.000839 0.003188 -0.059827  0.133154 -0.147884
OKDT 02OCT06 2002.7625 52553 1187 0  -97.5   -698 -0.158662   3928970  0.655174   365  0.478140  1.4973 0.000864 0.000880 0.003375  0.016161  0.049515 -0.206589
OKDT 02OCT11 2002.7762 52558 1187 5  -97.5   -698 -0.158114   3928970  0.658111   365  0.472900  1.4973 0.000817 0.000855 0.003271 -0.037841  0.164669 -0.116109
OKDT 02OCT12 2002.7789 52559 1187 6  -97.5   -698 -0.157554   3928970  0.657746   365  0.469539  1.4973 0.000743 0.000764 0.002815 -0.103111  0.127810 -0.203552
OKDT 02OCT13 2002.7817 52560 1188 0  -97.5   -698 -0.157923   3928970  0.656176   365  0.466467  1.4973 0.000803 0.000816 0.003023 -0.042986  0.129959 -0.211946
OKDT 02OCT14 2002.7844 52561 1188 1  -97.5   -698 -0.156615   3928970  0.656442   365  0.474030  1.4973 0.000817 0.000841 0.003282 -0.063897  0.132065 -0.210228
OKDT 02OCT15 2002.7871 52562 1188 2  -97.5   -698 -0.157803   3928970  0.657752   365  0.466583  1.4973 0.000745 0.000811 0.002890 -0.002860  0.156359 -0.127231
OKDT 02OCT16 2002.7899 52563 1188 3  -97.5   -698 -0.157553   3928970  0.656805   365  0.471353  1.4973 0.000713 0.000782 0.002874 -0.000972  0.111635 -0.166429
OKDT 02OCT18 2002.7953 52565 1188 5  -97.5   -698 -0.155615   3928970  0.658173   365  0.473276  1.4973 0.000785 0.000851 0.003181 -0.038152  0.095546 -0.111442
OKDT 02OCT19 2002.7981 52566 1188 6  -97.5   -698 -0.155397   3928970  0.660442   365  0.478448  1.4973 0.000811 0.000838 0.003197  0.053907  0.016740 -0.198944
OKDT 02OCT20 2002.8008 52567 1189 0  -97.5   -698 -0.156737   3928970  0.657844   365  0.467495  1.4973 0.000789 0.000810 0.003168 -0.098601  0.154989 -0.182672
OKDT 02OCT21 2002.8036 52568 1189 1  -97.5   -698 -0.157021   3928970  0.657346   365  0.468561  1.4973 0.000818 0.000916 0.003335 -0.077954  0.023551 -0.139608
OKDT 02OCT31 2002.8309 52578 1190 4  -97.5   -698 -0.157662   3928970  0.656763   365  0.462430  1.4973 0.000655 0.000720 0.002555 -0.013216  0.054625 -0.106993
OKDT 02NOV01 2002.8337 52579 1190 5  -97.5   -698 -0.156311   3928970  0.656093   365  0.468624  1.4973 0.000687 0.000730 0.002663 -0.017749  0.054096 -0.187531
