site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
OKNM 17MAY26 2017.3990 57899 1950 5  -97.5    901  0.100807   3902333  0.740676   337  0.722019  0.0000 0.000477 0.000558 0.001817 -0.018425  0.018149 -0.156012
OKNM 17MAY27 2017.4018 57900 1950 6  -97.5    901  0.102385   3902333  0.741817   337  0.721458  0.0000 0.000483 0.000559 0.001850 -0.023866  0.012932 -0.178981
OKNM 17MAY28 2017.4045 57901 1951 0  -97.5    901  0.098911   3902333  0.739357   337  0.718694  0.0000 0.000481 0.000559 0.001835 -0.011250  0.013418 -0.181865
OKNM 17MAY29 2017.4073 57902 1951 1  -97.5    901  0.100354   3902333  0.738806   337  0.713387  0.0000 0.000473 0.000552 0.001781 -0.011794  0.021899 -0.152052
OKNM 17MAY30 2017.4100 57903 1951 2  -97.5    901  0.101710   3902333  0.739238   337  0.713960  0.0000 0.000473 0.000553 0.001787 -0.027498  0.035456 -0.147441
OKNM 17MAY31 2017.4127 57904 1951 3  -97.5    901  0.102971   3902333  0.736559   337  0.707771  0.0000 0.000474 0.000555 0.001797 -0.022836  0.020916 -0.157599
OKNM 17JUN01 2017.4155 57905 1951 4  -97.5    901  0.101704   3902333  0.738273   337  0.718637  0.0000 0.000478 0.000555 0.001820 -0.017223  0.017786 -0.179650
OKNM 17JUN02 2017.4182 57906 1951 5  -97.5    901  0.101876   3902333  0.737313   337  0.714705  0.0000 0.000487 0.000554 0.001812 -0.024190  0.032008 -0.136153
OKNM 17JUN03 2017.4209 57907 1951 6  -97.5    901  0.100633   3902333  0.736212   337  0.720186  0.0000 0.000469 0.000552 0.001762 -0.027338  0.029445 -0.148807
OKNM 17JUN04 2017.4237 57908 1952 0  -97.5    901  0.102600   3902333  0.740251   337  0.709816  0.0000 0.000478 0.000558 0.001804 -0.025224  0.029885 -0.161680
