site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
OLMP 11NOV23 2011.8932 55888 1663 3 -122.9    363  0.344213   5212232  0.698566     2  0.623062  0.0000 0.000454 0.000633 0.001757  0.002610  0.008083 -0.032847
OLMP 11NOV24 2011.8960 55889 1663 4 -122.9    363  0.342126   5212232  0.700766     2  0.623627  0.0000 0.000442 0.000610 0.001705  0.000376 -0.027618 -0.016304
OLMP 11NOV25 2011.8987 55890 1663 5 -122.9    363  0.340089   5212232  0.698162     2  0.628336  0.0000 0.000446 0.000612 0.001729  0.018326 -0.011437  0.001737
OLMP 11NOV26 2011.9014 55891 1663 6 -122.9    363  0.344012   5212232  0.700369     2  0.629257  0.0000 0.000443 0.000610 0.001701  0.011629 -0.021168 -0.008451
OLMP 11NOV27 2011.9042 55892 1664 0 -122.9    363  0.341812   5212232  0.697307     2  0.634814  0.0000 0.000461 0.000632 0.001764  0.009771 -0.024833 -0.034619
OLMP 11NOV28 2011.9069 55893 1664 1 -122.9    363  0.344000   5212232  0.698795     2  0.626753  0.0000 0.000449 0.000622 0.001755  0.012468 -0.020864  0.014160
OLMP 11NOV29 2011.9097 55894 1664 2 -122.9    363  0.342423   5212232  0.699498     2  0.631730  0.0000 0.000443 0.000609 0.001713  0.008728 -0.033997 -0.007383
OLMP 11NOV30 2011.9124 55895 1664 3 -122.9    363  0.347883   5212232  0.700526     2  0.625703  0.0000 0.000446 0.000630 0.001757 -0.000720 -0.034360 -0.000203
OLMP 11DEC01 2011.9151 55896 1664 4 -122.9    363  0.346095   5212232  0.700860     2  0.630139  0.0000 0.000444 0.000609 0.001708  0.017281 -0.027193 -0.002344
OLMP 11DEC02 2011.9179 55897 1664 5 -122.9    363  0.344331   5212232  0.699319     2  0.627538  0.0000 0.000457 0.000624 0.001759  0.013230 -0.015981  0.002683
OLMP 11DEC03 2011.9206 55898 1664 6 -122.9    363  0.346339   5212232  0.698971     2  0.627178  0.0000 0.000459 0.000629 0.001759  0.026021 -0.043443 -0.011225
OLMP 11DEC04 2011.9233 55899 1665 0 -122.9    363  0.345486   5212232  0.698083     2  0.622142  0.0000 0.000457 0.000625 0.001740  0.010404 -0.020747 -0.037026
OLMP 11DEC05 2011.9261 55900 1665 1 -122.9    363  0.344218   5212232  0.697917     2  0.622360  0.0000 0.000462 0.000627 0.001778  0.026091 -0.046402 -0.027261
OLMP 11DEC06 2011.9288 55901 1665 2 -122.9    363  0.342580   5212232  0.698566     2  0.625686  0.0000 0.000453 0.000619 0.001722  0.017905 -0.030165 -0.025085
OLMP 11DEC07 2011.9316 55902 1665 3 -122.9    363  0.343139   5212232  0.700000     2  0.628076  0.0000 0.000457 0.000624 0.001754  0.027422 -0.033006 -0.038183
OLMP 11DEC08 2011.9343 55903 1665 4 -122.9    363  0.347833   5212232  0.698922     2  0.628146  0.0000 0.000459 0.000625 0.001756  0.025741 -0.029987 -0.049913
OLMP 11DEC09 2011.9370 55904 1665 5 -122.9    363  0.348117   5212232  0.698118     2  0.630679  0.0000 0.000457 0.000622 0.001752  0.026886 -0.033634 -0.038671
OLMP 11DEC10 2011.9398 55905 1665 6 -122.9    363  0.344614   5212232  0.699054     2  0.630229  0.0000 0.000457 0.000621 0.001751  0.011675 -0.043509 -0.040771
OLMP 11DEC11 2011.9425 55906 1666 0 -122.9    363  0.344078   5212232  0.697849     2  0.625274  0.0000 0.000455 0.000618 0.001733  0.006226 -0.022919 -0.049241
OLMP 11DEC12 2011.9452 55907 1666 1 -122.9    363  0.345706   5212232  0.698346     2  0.621407  0.0000 0.000455 0.000618 0.001732  0.007959 -0.018375 -0.032141
OLMP 11DEC13 2011.9480 55908 1666 2 -122.9    363  0.342136   5212232  0.699238     2  0.627520  0.0000 0.000455 0.000616 0.001733  0.006046 -0.033306 -0.042534
OLMP 11DEC14 2011.9507 55909 1666 3 -122.9    363  0.342413   5212232  0.698474     2  0.630744  0.0000 0.000457 0.000617 0.001746  0.012988 -0.022206 -0.032860
OLMP 11DEC15 2011.9535 55910 1666 4 -122.9    363  0.343648   5212232  0.697198     2  0.627985  0.0000 0.000471 0.000636 0.001814  0.017302 -0.059997 -0.034334
OLMP 11DEC16 2011.9562 55911 1666 5 -122.9    363  0.344324   5212232  0.699683     2  0.630861  0.0000 0.000472 0.000646 0.001817  0.025482 -0.069104 -0.048685
OLMP 11DEC17 2011.9589 55912 1666 6 -122.9    363  0.343937   5212232  0.698420     2  0.634582  0.0000 0.000447 0.000599 0.001677  0.015129 -0.028349 -0.021162
OLMP 11DEC18 2011.9617 55913 1667 0 -122.9    363  0.344586   5212232  0.697440     2  0.629032  0.0000 0.000442 0.000606 0.001691  0.016981 -0.023359 -0.017440
OLMP 11DEC19 2011.9644 55914 1667 1 -122.9    363  0.345016   5212232  0.696490     2  0.627929  0.0000 0.000461 0.000625 0.001765  0.027906 -0.032446  0.010306
OLMP 11DEC20 2011.9671 55915 1667 2 -122.9    363  0.343539   5212232  0.697840     2  0.637522  0.0000 0.000443 0.000600 0.001703  0.033849 -0.024071 -0.004969
OLMP 11DEC21 2011.9699 55916 1667 3 -122.9    363  0.344158   5212232  0.698439     2  0.626521  0.0000 0.000443 0.000597 0.001697  0.028147 -0.015071  0.000469
OLMP 11DEC22 2011.9726 55917 1667 4 -122.9    363  0.347497   5212232  0.699124     2  0.623907  0.0000 0.000439 0.000592 0.001656  0.034410 -0.032652 -0.008573
OLMP 11DEC23 2011.9754 55918 1667 5 -122.9    363  0.345713   5212232  0.696422     2  0.626527  0.0000 0.000439 0.000595 0.001657  0.019071 -0.021491 -0.015073
OLMP 11DEC24 2011.9781 55919 1667 6 -122.9    363  0.342294   5212232  0.698048     2  0.632062  0.0000 0.000444 0.000608 0.001706  0.029078 -0.017714 -0.007130
OLMP 11DEC25 2011.9808 55920 1668 0 -122.9    363  0.345130   5212232  0.696446     2  0.626498  0.0000 0.000444 0.000608 0.001699  0.041506 -0.034983 -0.017913
OLMP 11DEC26 2011.9836 55921 1668 1 -122.9    363  0.341777   5212232  0.697918     2  0.630624  0.0000 0.000444 0.000610 0.001704  0.028967 -0.021723  0.000685
OLMP 11DEC27 2011.9863 55922 1668 2 -122.9    363  0.343301   5212232  0.696419     2  0.626039  0.0000 0.000450 0.000619 0.001726  0.042164 -0.023967 -0.003473
OLMP 11DEC28 2011.9890 55923 1668 3 -122.9    363  0.341810   5212232  0.695569     2  0.628566  0.0000 0.000438 0.000596 0.001668  0.013456 -0.010385 -0.016882
OLMP 11DEC29 2011.9918 55924 1668 4 -122.9    363  0.337950   5212232  0.696234     2  0.630045  0.0000 0.000449 0.000607 0.001702  0.013548  0.001036 -0.029056
OLMP 11DEC30 2011.9945 55925 1668 5 -122.9    363  0.344367   5212232  0.697259     2  0.633741  0.0000 0.000449 0.000611 0.001708  0.033750 -0.022462 -0.033534
OLMP 11DEC31 2011.9973 55926 1668 6 -122.9    363  0.343172   5212232  0.696853     2  0.624609  0.0000 0.000435 0.000596 0.001664  0.031543 -0.033387  0.003809
OLMP 12JAN01 2012.0000 55927 1669 0 -122.9    363  0.344049   5212232  0.698103     2  0.627770  0.0000 0.000442 0.000614 0.001709  0.020809 -0.021700  0.009245
OLMP 12JAN02 2012.0027 55928 1669 1 -122.9    363  0.342982   5212232  0.697293     2  0.623003  0.0000 0.000449 0.000603 0.001699  0.024813 -0.030069 -0.030504
OLMP 12JAN03 2012.0055 55929 1669 2 -122.9    363  0.342559   5212232  0.698192     2  0.629872  0.0000 0.000436 0.000595 0.001657  0.030269 -0.011672  0.002276
OLMP 12JAN04 2012.0082 55930 1669 3 -122.9    363  0.345180   5212232  0.693897     2  0.626951  0.0000 0.000435 0.000593 0.001660  0.032707 -0.018366 -0.005609
OLMP 12JAN05 2012.0110 55931 1669 4 -122.9    363  0.342511   5212232  0.697436     2  0.623181  0.0000 0.000447 0.000608 0.001703  0.030539 -0.028171 -0.004187
OLMP 12JAN06 2012.0137 55932 1669 5 -122.9    363  0.343280   5212232  0.698950     2  0.623447  0.0000 0.000433 0.000591 0.001661  0.015525 -0.009155  0.018259
OLMP 12JAN07 2012.0164 55933 1669 6 -122.9    363  0.343710   5212232  0.696978     2  0.628273  0.0000 0.000436 0.000590 0.001653  0.020377 -0.019707  0.003170
OLMP 12JAN08 2012.0192 55934 1670 0 -122.9    363  0.344826   5212232  0.697610     2  0.634273  0.0000 0.000452 0.000607 0.001700  0.010656 -0.024078 -0.010075
OLMP 12JAN09 2012.0219 55935 1670 1 -122.9    363  0.342939   5212232  0.699004     2  0.636491  0.0000 0.000435 0.000592 0.001652  0.032116 -0.015949 -0.010464
OLMP 12JAN10 2012.0246 55936 1670 2 -122.9    363  0.344466   5212232  0.698960     2  0.627607  0.0000 0.000432 0.000592 0.001656  0.027812 -0.022178  0.008329
OLMP 12JAN11 2012.0274 55937 1670 3 -122.9    363  0.343984   5212232  0.699733     2  0.627632  0.0000 0.000435 0.000593 0.001670  0.028574 -0.021438  0.011493
OLMP 12JAN12 2012.0301 55938 1670 4 -122.9    363  0.342994   5212232  0.698012     2  0.634709  0.0000 0.000434 0.000592 0.001672  0.015561 -0.022990  0.022091
OLMP 12JAN13 2012.0329 55939 1670 5 -122.9    363  0.344330   5212232  0.699644     2  0.633650  0.0000 0.000455 0.000617 0.001727  0.020396 -0.029388 -0.037030
OLMP 12JAN14 2012.0356 55940 1670 6 -122.9    363  0.347052   5212232  0.701376     2  0.629699  0.0000 0.000436 0.000590 0.001663  0.016318 -0.014056 -0.013293
OLMP 12JAN15 2012.0383 55941 1671 0 -122.9    363  0.348027   5212232  0.701117     2  0.620960  0.0000 0.000441 0.000602 0.001692  0.026793 -0.021477 -0.014419
OLMP 12JAN16 2012.0411 55942 1671 1 -122.9    363  0.348884   5212232  0.701420     2  0.611276  0.0000 0.000440 0.000602 0.001694  0.021134 -0.039958  0.001919
OLMP 12JAN17 2012.0438 55943 1671 2 -122.9    363  0.344549   5212232  0.699572     2  0.603583  0.0000 0.000455 0.000619 0.001734  0.023418 -0.038367 -0.020407
OLMP 12JAN18 2012.0465 55944 1671 3 -122.9    363  0.342656   5212232  0.701575     2  0.621447  0.0000 0.000439 0.000593 0.001683  0.017627 -0.019964 -0.000225
OLMP 12JAN19 2012.0493 55945 1671 4 -122.9    363  0.344053   5212232  0.700773     2  0.622864  0.0000 0.000498 0.000699 0.001920  0.009162 -0.032512 -0.037200
OLMP 12JAN20 2012.0520 55946 1671 5 -122.9    363  0.349797   5212232  0.698080     2  0.616855  0.0000 0.000464 0.000625 0.001756  0.042386 -0.031370 -0.015835
