site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PANA 05AUG04 2005.5907 53586 1334 4 -117.4  -1673 -0.519055   4012139  0.523427   780  0.780345  0.1000 0.000502 0.000619 0.001973  0.003779  0.066955 -0.097058
PANA 05AUG05 2005.5934 53587 1334 5 -117.4  -1673 -0.522064   4012139  0.528576   780  0.782943  0.1000 0.000505 0.000612 0.001982 -0.000402  0.098714 -0.116913
PANA 05AUG06 2005.5962 53588 1334 6 -117.4  -1673 -0.516896   4012139  0.527723   780  0.782532  0.1000 0.000505 0.000613 0.001979  0.010797  0.086181 -0.110073
PANA 05AUG07 2005.5989 53589 1335 0 -117.4  -1673 -0.518445   4012139  0.523852   780  0.778668  0.1000 0.000509 0.000625 0.002009 -0.012025  0.105813 -0.129167
PANA 05AUG08 2005.6016 53590 1335 1 -117.4  -1673 -0.519636   4012139  0.524574   780  0.784296  0.1000 0.000500 0.000615 0.001960 -0.010358  0.095414 -0.107087
PANA 05AUG09 2005.6044 53591 1335 2 -117.4  -1673 -0.520510   4012139  0.523726   780  0.782526  0.1000 0.000502 0.000615 0.001974  0.007235  0.090285 -0.103350
PANA 05AUG10 2005.6071 53592 1335 3 -117.4  -1673 -0.520595   4012139  0.525160   780  0.779348  0.1000 0.000506 0.000618 0.001983  0.002783  0.077175 -0.113897
PANA 05AUG11 2005.6099 53593 1335 4 -117.4  -1673 -0.518613   4012139  0.529519   780  0.767262  0.1000 0.000529 0.000636 0.002066 -0.017007  0.111539 -0.131262
PANA 05AUG12 2005.6126 53594 1335 5 -117.4  -1673 -0.520353   4012139  0.527038   780  0.788354  0.1000 0.000527 0.000631 0.002036 -0.013977  0.098341 -0.154641
PANA 05AUG13 2005.6153 53595 1335 6 -117.4  -1673 -0.521817   4012139  0.525499   780  0.781370  0.1000 0.000506 0.000614 0.001997  0.009543  0.108165 -0.127757
PANA 05AUG14 2005.6181 53596 1336 0 -117.4  -1673 -0.521791   4012139  0.526663   780  0.783281  0.1000 0.000503 0.000615 0.001970  0.009440  0.098065 -0.092665
PANA 05AUG15 2005.6208 53597 1336 1 -117.4  -1673 -0.515572   4012139  0.527697   780  0.784609  0.1000 0.000519 0.000617 0.001975  0.000907  0.100835 -0.096494
PANA 05AUG16 2005.6235 53598 1336 2 -117.4  -1673 -0.511600   4012139  0.526233   780  0.786409  0.1000 0.000523 0.000641 0.002066  0.022646  0.105529 -0.107350
PANA 05AUG17 2005.6263 53599 1336 3 -117.4  -1673 -0.516685   4012139  0.525871   780  0.767580  0.1000 0.000506 0.000618 0.001984  0.007195  0.092212 -0.114980
PANA 05AUG18 2005.6290 53600 1336 4 -117.4  -1673 -0.518513   4012139  0.525997   780  0.787840  0.1000 0.000504 0.000618 0.001987  0.004536  0.097895 -0.113891
PANA 05AUG19 2005.6318 53601 1336 5 -117.4  -1673 -0.519213   4012139  0.525975   780  0.781817  0.1000 0.000507 0.000619 0.002022  0.001009  0.127994 -0.108186
PANA 05AUG20 2005.6345 53602 1336 6 -117.4  -1673 -0.519281   4012139  0.525717   780  0.780532  0.1000 0.000501 0.000619 0.001984  0.000555  0.097096 -0.094142
PANA 05AUG21 2005.6372 53603 1337 0 -117.4  -1673 -0.521547   4012139  0.526776   780  0.790136  0.1000 0.000500 0.000621 0.001984  0.005573  0.078328 -0.081321
PANA 05AUG22 2005.6400 53604 1337 1 -117.4  -1673 -0.519277   4012139  0.526148   780  0.788970  0.1000 0.000505 0.000621 0.001997 -0.003448  0.098967 -0.108131
PANA 05AUG23 2005.6427 53605 1337 2 -117.4  -1673 -0.521142   4012139  0.525034   780  0.781775  0.1000 0.000505 0.000619 0.001998  0.002908  0.096874 -0.114834
PANA 05AUG24 2005.6454 53606 1337 3 -117.4  -1673 -0.520712   4012139  0.526237   780  0.783398  0.1000 0.000504 0.000621 0.002005  0.002740  0.106120 -0.102747
PANA 05AUG25 2005.6482 53607 1337 4 -117.4  -1673 -0.518513   4012139  0.525068   780  0.791779  0.1000 0.000505 0.000622 0.002009  0.009788  0.097413 -0.086411
PANA 05AUG26 2005.6509 53608 1337 5 -117.4  -1673 -0.521056   4012139  0.524076   780  0.786931  0.1000 0.000504 0.000626 0.002030  0.007387  0.090064 -0.070660
PANA 05AUG27 2005.6537 53609 1337 6 -117.4  -1673 -0.521232   4012139  0.527199   780  0.785773  0.1000 0.000500 0.000619 0.002002  0.003862  0.091871 -0.083698
