site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PBOC 02FEB12 2002.1164 52317 1153 2 -148.3  -1316 -0.818583   7797586  0.051589    20  0.118010  0.0000 0.000493 0.000698 0.002585  0.032345 -0.105431  0.189723
PBOC 02FEB14 2002.1218 52319 1153 4 -148.3  -1316 -0.820228   7797586  0.055606    20  0.117852  0.0000 0.000553 0.000771 0.002697  0.085526 -0.103577  0.230796
PBOC 02FEB15 2002.1246 52320 1153 5 -148.3  -1316 -0.819214   7797586  0.056157    20  0.116427  0.0000 0.000532 0.000755 0.002810  0.023377 -0.117169  0.175056
PBOC 02FEB16 2002.1273 52321 1153 6 -148.3  -1316 -0.819200   7797586  0.056838    20  0.114105  0.0000 0.000591 0.000873 0.002949 -0.050843 -0.097346  0.096070
PBOC 02FEB18 2002.1328 52323 1154 1 -148.3  -1316 -0.818911   7797586  0.054726    20  0.107920  0.0000 0.000707 0.001024 0.003548 -0.005191 -0.166011  0.058417
PBOC 02FEB19 2002.1355 52324 1154 2 -148.3  -1316 -0.819646   7797586  0.055624    20  0.115319  0.0000 0.000485 0.000688 0.002469  0.066560 -0.110629  0.150452
PBOC 02FEB20 2002.1383 52325 1154 3 -148.3  -1316 -0.818523   7797586  0.054745    20  0.117238  0.0000 0.000615 0.000879 0.003047  0.061611 -0.125264  0.145657
PBOC 02FEB21 2002.1410 52326 1154 4 -148.3  -1316 -0.818440   7797586  0.055320    20  0.101499  0.0000 0.000611 0.000905 0.003315 -0.001861 -0.178676  0.024103
PBOC 02FEB22 2002.1437 52327 1154 5 -148.3  -1316 -0.817530   7797586  0.055207    20  0.105190  0.0000 0.000581 0.000848 0.003057  0.073898 -0.166453  0.004954
PBOC 02FEB23 2002.1465 52328 1154 6 -148.3  -1316 -0.818889   7797586  0.052679    20  0.117623  0.0000 0.000678 0.000878 0.003233  0.035639 -0.187237  0.095646
PBOC 02FEB24 2002.1492 52329 1155 0 -148.3  -1316 -0.819375   7797586  0.051466    20  0.127082  0.0000 0.000655 0.000918 0.003371  0.058277 -0.091481  0.046332
PBOC 02FEB25 2002.1520 52330 1155 1 -148.3  -1316 -0.818381   7797586  0.053198    20  0.116638  0.0000 0.000650 0.000971 0.003139  0.124213 -0.120517  0.023283
PBOC 02FEB26 2002.1547 52331 1155 2 -148.3  -1316 -0.818140   7797586  0.053984    20  0.135281  0.0000 0.001066 0.001256 0.005310  0.121800 -0.036617  0.119142
PBOC 02FEB27 2002.1574 52332 1155 3 -148.3  -1316 -0.818042   7797586  0.053014    20  0.117210  0.0000 0.000600 0.000878 0.003136  0.077238 -0.159948  0.063856
PBOC 02FEB28 2002.1602 52333 1155 4 -148.3  -1316 -0.819442   7797586  0.052960    20  0.127171  0.0000 0.000704 0.001033 0.003454  0.152478 -0.137905  0.110592
PBOC 02MAR01 2002.1629 52334 1155 5 -148.3  -1316 -0.820068   7797586  0.052879    20  0.118928  0.0000 0.000585 0.000877 0.003003  0.016339 -0.046197  0.173229
PBOC 02MAR02 2002.1656 52335 1155 6 -148.3  -1316 -0.818354   7797586  0.052725    20  0.114788  0.0000 0.000521 0.000755 0.002690  0.022621 -0.085972  0.167321
PBOC 02MAR03 2002.1684 52336 1156 0 -148.3  -1316 -0.818574   7797586  0.053455    20  0.099619  0.0000 0.000918 0.001411 0.004505  0.047843 -0.239199  0.010085
PBOC 02MAR04 2002.1711 52337 1156 1 -148.3  -1316 -0.820635   7797586  0.052962    20  0.117602  0.0000 0.000524 0.000700 0.002611 -0.009287 -0.083739  0.201186
PBOC 02MAR05 2002.1739 52338 1156 2 -148.3  -1316 -0.820910   7797586  0.051476    20  0.121012  0.0000 0.000750 0.000976 0.003652  0.110554 -0.060119  0.083005
PBOC 02MAR06 2002.1766 52339 1156 3 -148.3  -1316 -0.819519   7797586  0.049074    20  0.120192  0.0000 0.000855 0.001236 0.004230  0.039494 -0.032111 -0.062493
PBOC 02MAR07 2002.1793 52340 1156 4 -148.3  -1316 -0.819429   7797586  0.050055    20  0.129624  0.0000 0.000632 0.000907 0.003267  0.003559 -0.007179  0.105107
PBOC 02MAR08 2002.1821 52341 1156 5 -148.3  -1316 -0.816041   7797586  0.049832    20  0.121331  0.0000 0.000537 0.000765 0.002815 -0.003635 -0.111912  0.189485
PBOC 02MAR09 2002.1848 52342 1156 6 -148.3  -1316 -0.819625   7797586  0.051053    20  0.126290  0.0000 0.000592 0.000791 0.003005  0.013492 -0.077929  0.127371
PBOC 02MAR10 2002.1875 52343 1157 0 -148.3  -1316 -0.819995   7797586  0.053808    20  0.114310  0.0000 0.000647 0.000927 0.003293  0.020952 -0.114581  0.104125
PBOC 02MAR11 2002.1903 52344 1157 1 -148.3  -1316 -0.819812   7797586  0.052019    20  0.132735  0.0000 0.000581 0.000806 0.002971 -0.018617 -0.049822  0.125321
PBOC 02MAR12 2002.1930 52345 1157 2 -148.3  -1316 -0.817510   7797586  0.052136    20  0.114520  0.0000 0.000625 0.000901 0.003417  0.064191 -0.119154  0.127080
PBOC 02MAR13 2002.1958 52346 1157 3 -148.3  -1316 -0.818051   7797586  0.051278    20  0.107699  0.0000 0.000634 0.000933 0.003576 -0.028744 -0.066161  0.193245
PBOC 02MAR14 2002.1985 52347 1157 4 -148.3  -1316 -0.816446   7797586  0.049605    20  0.108856  0.0000 0.000588 0.000835 0.003114  0.025782 -0.130086  0.166757
PBOC 02MAR15 2002.2012 52348 1157 5 -148.3  -1316 -0.817352   7797586  0.052056    20  0.107170  0.0000 0.000565 0.000832 0.003079  0.056533 -0.108929  0.183860
PBOC 02MAR16 2002.2040 52349 1157 6 -148.3  -1316 -0.816353   7797586  0.051745    20  0.112929  0.0000 0.000621 0.000896 0.003402 -0.021171 -0.103696  0.161506
PBOC 02MAR17 2002.2067 52350 1158 0 -148.3  -1316 -0.816447   7797586  0.047983    20  0.119876  0.0000 0.000585 0.000834 0.003106  0.020595 -0.118810  0.203045
PBOC 02MAR18 2002.2094 52351 1158 1 -148.3  -1316 -0.815980   7797586  0.049050    20  0.116583  0.0000 0.000744 0.001050 0.004173  0.074089 -0.094837  0.210585
PBOC 02MAR19 2002.2122 52352 1158 2 -148.3  -1316 -0.818532   7797586  0.045494    20  0.117195  0.0000 0.000716 0.001003 0.003859  0.077483 -0.076805  0.249275
PBOC 02MAR20 2002.2149 52353 1158 3 -148.3  -1316 -0.818030   7797586  0.048028    20  0.102259  0.0000 0.000629 0.000885 0.003222  0.133730 -0.097674  0.135386
PBOC 02MAR21 2002.2177 52354 1158 4 -148.3  -1316 -0.819019   7797586  0.048462    20  0.103004  0.0000 0.000554 0.000808 0.003145 -0.013371 -0.092757  0.204423
