site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PIGN 07JUL13 2007.5291 54294 1435 5    6.2   2345  0.747835   4796161  0.106360   234  0.482620  0.0000 0.000560 0.000709 0.002175 -0.004602  0.023679 -0.140071
PIGN 07JUL14 2007.5318 54295 1435 6    6.2   2345  0.749169   4796161  0.107249   234  0.486258  0.0000 0.000553 0.000699 0.002147  0.003112  0.002615 -0.119540
PIGN 07JUL15 2007.5346 54296 1436 0    6.2   2345  0.747155   4796161  0.104133   234  0.483049  0.0000 0.000558 0.000700 0.002158  0.000531 -0.002365 -0.132380
PIGN 07JUL16 2007.5373 54297 1436 1    6.2   2345  0.745700   4796161  0.103483   234  0.481645  0.0000 0.000559 0.000700 0.002165  0.007761 -0.019527 -0.122196
PIGN 07JUL17 2007.5400 54298 1436 2    6.2   2345  0.746316   4796161  0.106242   234  0.480411  0.0000 0.000558 0.000702 0.002159  0.005072  0.006973 -0.110354
PIGN 07JUL18 2007.5428 54299 1436 3    6.2   2345  0.746695   4796161  0.105643   234  0.486573  0.0000 0.000553 0.000695 0.002136  0.006211  0.003667 -0.118868
PIGN 07JUL19 2007.5455 54300 1436 4    6.2   2345  0.747690   4796161  0.105489   234  0.491493  0.0000 0.000555 0.000694 0.002142  0.006395  0.002496 -0.112766
PIGN 07JUL20 2007.5483 54301 1436 5    6.2   2345  0.748812   4796161  0.105551   234  0.481735  0.0000 0.000552 0.000693 0.002128  0.004267 -0.000841 -0.121328
PIGN 07JUL21 2007.5510 54302 1436 6    6.2   2345  0.748060   4796161  0.104469   234  0.478748  0.0000 0.000556 0.000697 0.002148  0.006105 -0.017543 -0.122657
PIGN 07JUL22 2007.5537 54303 1437 0    6.2   2345  0.747165   4796161  0.103806   234  0.488284  0.0000 0.000556 0.000697 0.002145  0.016893 -0.011820 -0.114427
PIGN 07JUL23 2007.5565 54304 1437 1    6.2   2345  0.745830   4796161  0.101874   234  0.492652  0.0000 0.000569 0.000716 0.002189  0.019672 -0.013904 -0.115016
PIGN 07JUL24 2007.5592 54305 1437 2    6.2   2345  0.748685   4796161  0.101907   234  0.479323  0.0000 0.000555 0.000697 0.002146  0.009878 -0.003217 -0.126470
PIGN 07JUL25 2007.5619 54306 1437 3    6.2   2345  0.745131   4796161  0.102781   234  0.490477  0.0000 0.000553 0.000700 0.002143  0.006533  0.000676 -0.110231
PIGN 07JUL26 2007.5647 54307 1437 4    6.2   2345  0.745436   4796161  0.106016   234  0.491471  0.0000 0.000555 0.000701 0.002146  0.000569 -0.004439 -0.116004
PIGN 07JUL27 2007.5674 54308 1437 5    6.2   2345  0.747777   4796161  0.105906   234  0.487384  0.0000 0.000556 0.000701 0.002148  0.008125 -0.007235 -0.114187
PIGN 07JUL28 2007.5702 54309 1437 6    6.2   2345  0.745666   4796161  0.101640   234  0.493767  0.0000 0.000557 0.000701 0.002160  0.018356 -0.017879 -0.115930
PIGN 07JUL29 2007.5729 54310 1438 0    6.2   2345  0.743218   4796161  0.109637   234  0.477192  0.0000 0.000554 0.000695 0.002134  0.011142 -0.002254 -0.103399
PIGN 07JUL30 2007.5756 54311 1438 1    6.2   2345  0.742502   4796161  0.106616   234  0.484916  0.0000 0.000555 0.000698 0.002146 -0.001212  0.009217 -0.132090
PIGN 07JUL31 2007.5784 54312 1438 2    6.2   2345  0.746037   4796161  0.102948   234  0.488562  0.0000 0.000553 0.000694 0.002124  0.000735  0.008891 -0.123706
PIGN 07AUG01 2007.5811 54313 1438 3    6.2   2345  0.746603   4796161  0.106280   234  0.480632  0.0000 0.000555 0.000704 0.002145  0.011090 -0.003400 -0.106262
PIGN 07AUG02 2007.5838 54314 1438 4    6.2   2345  0.748814   4796161  0.105272   234  0.479732  0.0000 0.000558 0.000703 0.002161  0.012157 -0.003728 -0.111860
PIGN 07AUG03 2007.5866 54315 1438 5    6.2   2345  0.747831   4796161  0.103568   234  0.485636  0.0000 0.000557 0.000700 0.002159  0.007411 -0.006655 -0.103981
PIGN 07AUG04 2007.5893 54316 1438 6    6.2   2345  0.747105   4796161  0.105992   234  0.484904  0.0000 0.000557 0.000699 0.002153  0.006174 -0.013614 -0.104728
