site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PRSR 07AUG06 2007.5948 54318 1439 1 -119.8    707  0.047680   5120059  0.148979   197  0.649629  0.0000 0.001403 0.001947 0.007893 -0.004388 -0.001356 -0.237090
PRSR 07AUG07 2007.5975 54319 1439 2 -119.8    707  0.045480   5120059  0.152888   197  0.655812  0.0000 0.001370 0.001917 0.007632 -0.015651  0.022229 -0.192693
PRSR 07AUG08 2007.6003 54320 1439 3 -119.8    707  0.046255   5120059  0.151528   197  0.647903  0.0000 0.001382 0.001939 0.007723 -0.010226 -0.003194 -0.167139
PRSR 07AUG09 2007.6030 54321 1439 4 -119.8    707  0.046689   5120059  0.152142   197  0.638524  0.0000 0.001370 0.001876 0.007494 -0.011284  0.022934 -0.167039
PRSR 07AUG10 2007.6057 54322 1439 5 -119.8    707  0.044214   5120059  0.150830   197  0.645987  0.0000 0.001364 0.001896 0.007645 -0.025919  0.005031 -0.199115
PRSR 07AUG11 2007.6085 54323 1439 6 -119.8    707  0.043676   5120059  0.152653   197  0.644083  0.0000 0.001378 0.001891 0.007712 -0.014488 -0.014922 -0.186845
PRSR 07AUG12 2007.6112 54324 1440 0 -119.8    707  0.041465   5120059  0.149533   197  0.636871  0.0000 0.001384 0.001912 0.007784 -0.013230 -0.028609 -0.183713
PRSR 07AUG13 2007.6140 54325 1440 1 -119.8    707  0.042897   5120059  0.154313   197  0.645139  0.0000 0.001354 0.001893 0.007544 -0.027475 -0.048999 -0.220398
PRSR 07AUG14 2007.6167 54326 1440 2 -119.8    707  0.047131   5120059  0.153229   197  0.635278  0.0000 0.001527 0.002072 0.008520 -0.050800 -0.017683 -0.206639
PRSR 07AUG15 2007.6194 54327 1440 3 -119.8    707  0.045892   5120059  0.153444   197  0.640852  0.0000 0.001485 0.002038 0.008243 -0.044361 -0.039683 -0.183010
PRSR 07AUG17 2007.6249 54329 1440 5 -119.8    707  0.044574   5120059  0.150171   197  0.647258  0.0000 0.001434 0.002010 0.008035 -0.055903  0.004103 -0.158805
PRSR 07AUG18 2007.6277 54330 1440 6 -119.8    707  0.044040   5120059  0.151042   197  0.650943  0.0000 0.001366 0.002074 0.008025 -0.041755  0.124618 -0.228220
PRSR 07AUG19 2007.6304 54331 1441 0 -119.8    707  0.044949   5120059  0.151739   197  0.646973  0.0000 0.001447 0.002014 0.008238 -0.038256  0.033485 -0.239717
PRSR 07AUG20 2007.6331 54332 1441 1 -119.8    707  0.044538   5120059  0.150999   197  0.644409  0.0000 0.001412 0.001980 0.007888 -0.046247  0.008457 -0.198636
PRSR 07AUG21 2007.6359 54333 1441 2 -119.8    707  0.044234   5120059  0.151097   197  0.645824  0.0000 0.001403 0.001949 0.007865 -0.034820  0.023562 -0.203026
PRSR 07AUG22 2007.6386 54334 1441 3 -119.8    707  0.041845   5120059  0.150306   197  0.633105  0.0000 0.001415 0.001989 0.008081 -0.032697 -0.014570 -0.201734
PRSR 07AUG23 2007.6413 54335 1441 4 -119.8    707  0.041740   5120059  0.153243   197  0.644754  0.0000 0.001385 0.001957 0.007784 -0.017243 -0.030491 -0.162403
PRSR 07AUG24 2007.6441 54336 1441 5 -119.8    707  0.042382   5120059  0.153203   197  0.646965  0.0000 0.001457 0.002084 0.008020 -0.044182 -0.018431 -0.206738
