site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PTAX 11MAY01 2011.3292 55682 1634 0 -115.5   4109  0.061961   3583711  0.933720  1060  0.358224  0.0083 0.000449 0.000554 0.001816  0.013846 -0.010161 -0.101761
PTAX 11MAY02 2011.3320 55683 1634 1 -115.5   4109  0.062292   3583711  0.933357  1060  0.361985  0.0083 0.000450 0.000555 0.001816  0.015863  0.005801 -0.118016
PTAX 11MAY03 2011.3347 55684 1634 2 -115.5   4109  0.064476   3583711  0.933749  1060  0.360525  0.0083 0.000465 0.000565 0.001866  0.008584 -0.001059 -0.135392
PTAX 11MAY04 2011.3374 55685 1634 3 -115.5   4109  0.064019   3583711  0.933415  1060  0.363170  0.0083 0.000479 0.000576 0.001922  0.015977 -0.018497 -0.095770
PTAX 11MAY05 2011.3402 55686 1634 4 -115.5   4109  0.064214   3583711  0.933650  1060  0.366473  0.0083 0.000466 0.000578 0.001899  0.001153  0.018370 -0.111528
PTAX 11MAY06 2011.3429 55687 1634 5 -115.5   4109  0.062934   3583711  0.932418  1060  0.365773  0.0083 0.000459 0.000567 0.001872 -0.003775  0.005260 -0.117719
PTAX 11MAY07 2011.3457 55688 1634 6 -115.5   4109  0.061037   3583711  0.933644  1060  0.368849  0.0083 0.000465 0.000553 0.001836  0.032865 -0.033570 -0.127111
PTAX 11MAY08 2011.3484 55689 1635 0 -115.5   4109  0.063119   3583711  0.935096  1060  0.358065  0.0083 0.000460 0.000551 0.001820  0.030434 -0.033195 -0.141538
PTAX 11MAY09 2011.3511 55690 1635 1 -115.5   4109  0.065720   3583711  0.934674  1060  0.361903  0.0083 0.000460 0.000550 0.001818  0.027032 -0.029737 -0.127294
PTAX 11MAY10 2011.3539 55691 1635 2 -115.5   4109  0.063317   3583711  0.932626  1060  0.360499  0.0083 0.000459 0.000547 0.001813  0.027788 -0.024672 -0.114981
PTAX 11MAY11 2011.3566 55692 1635 3 -115.5   4109  0.065160   3583711  0.932493  1060  0.362664  0.0083 0.000447 0.000542 0.001789  0.033008 -0.021092 -0.115925
PTAX 11MAY12 2011.3593 55693 1635 4 -115.5   4109  0.063509   3583711  0.935051  1060  0.367845  0.0083 0.000460 0.000556 0.001839  0.025223 -0.030313 -0.124841
PTAX 11MAY13 2011.3621 55694 1635 5 -115.5   4109  0.065439   3583711  0.936574  1060  0.362192  0.0083 0.000448 0.000546 0.001804  0.040448 -0.042499 -0.130854
PTAX 11MAY14 2011.3648 55695 1635 6 -115.5   4109  0.063238   3583711  0.932644  1060  0.364592  0.0083 0.000458 0.000554 0.001823  0.021052 -0.030123 -0.124296
PTAX 11MAY15 2011.3676 55696 1636 0 -115.5   4109  0.064764   3583711  0.933603  1060  0.361639  0.0083 0.000458 0.000553 0.001828  0.017590 -0.024294 -0.115898
PTAX 11MAY16 2011.3703 55697 1636 1 -115.5   4109  0.062786   3583711  0.933922  1060  0.365730  0.0083 0.000460 0.000552 0.001827  0.017149 -0.023962 -0.119522
PTAX 11MAY17 2011.3730 55698 1636 2 -115.5   4109  0.060425   3583711  0.931860  1060  0.366030  0.0083 0.000460 0.000555 0.001839  0.029804 -0.026922 -0.130147
PTAX 11MAY18 2011.3758 55699 1636 3 -115.5   4109  0.059859   3583711  0.934333  1060  0.362485  0.0083 0.000458 0.000554 0.001829  0.030902 -0.023657 -0.142387
PTAX 11MAY19 2011.3785 55700 1636 4 -115.5   4109  0.063618   3583711  0.935992  1060  0.364276  0.0083 0.000459 0.000556 0.001834  0.025994 -0.025177 -0.145741
PTAX 11MAY20 2011.3812 55701 1636 5 -115.5   4109  0.060462   3583711  0.935048  1060  0.365825  0.0083 0.000455 0.000553 0.001811  0.014488 -0.019964 -0.123351
PTAX 11MAY21 2011.3840 55702 1636 6 -115.5   4109  0.063718   3583711  0.936385  1060  0.366551  0.0083 0.000458 0.000554 0.001830  0.025207 -0.022596 -0.120639
PTAX 11MAY22 2011.3867 55703 1637 0 -115.5   4109  0.062927   3583711  0.935132  1060  0.367619  0.0083 0.000460 0.000555 0.001835  0.025442 -0.024959 -0.118995
PTAX 11MAY23 2011.3895 55704 1637 1 -115.5   4109  0.060370   3583711  0.934533  1060  0.364275  0.0083 0.000458 0.000556 0.001836  0.033949 -0.026275 -0.150505
PTAX 11MAY24 2011.3922 55705 1637 2 -115.5   4109  0.060716   3583711  0.935272  1060  0.361929  0.0083 0.000457 0.000556 0.001824  0.024227 -0.019559 -0.133762
PTAX 11MAY25 2011.3949 55706 1637 3 -115.5   4109  0.061147   3583711  0.934725  1060  0.363954  0.0083 0.000456 0.000556 0.001810  0.019195 -0.021518 -0.128690
PTAX 11MAY26 2011.3977 55707 1637 4 -115.5   4109  0.060071   3583711  0.934867  1060  0.365986  0.0083 0.000459 0.000557 0.001824  0.022621 -0.024745 -0.111798
PTAX 11MAY27 2011.4004 55708 1637 5 -115.5   4109  0.061050   3583711  0.932542  1060  0.372201  0.0083 0.000463 0.000557 0.001841  0.021978 -0.019103 -0.115753
PTAX 11MAY28 2011.4031 55709 1637 6 -115.5   4109  0.061344   3583711  0.934276  1060  0.367639  0.0083 0.000458 0.000555 0.001828  0.029161 -0.028722 -0.136980
PTAX 11MAY29 2011.4059 55710 1638 0 -115.5   4109  0.060944   3583711  0.932057  1060  0.361990  0.0083 0.000457 0.000554 0.001822  0.025313 -0.030020 -0.136441
PTAX 11MAY30 2011.4086 55711 1638 1 -115.5   4109  0.062148   3583711  0.933437  1060  0.364934  0.0083 0.000462 0.000556 0.001823  0.025553 -0.029632 -0.140339
PTAX 11MAY31 2011.4114 55712 1638 2 -115.5   4109  0.060767   3583711  0.933657  1060  0.364323  0.0083 0.000460 0.000557 0.001826  0.017341 -0.029001 -0.123122
PTAX 11JUN01 2011.4141 55713 1638 3 -115.5   4109  0.060483   3583711  0.934843  1060  0.367976  0.0083 0.000462 0.000559 0.001840  0.024860 -0.025330 -0.114437
PTAX 11JUN02 2011.4168 55714 1638 4 -115.5   4109  0.061932   3583711  0.933856  1060  0.364027  0.0083 0.000460 0.000551 0.001827  0.023012 -0.019913 -0.128127
PTAX 11JUN03 2011.4196 55715 1638 5 -115.5   4109  0.060480   3583711  0.932607  1060  0.366132  0.0083 0.000458 0.000551 0.001839  0.029974 -0.026050 -0.138914
PTAX 11JUN04 2011.4223 55716 1638 6 -115.5   4109  0.059464   3583711  0.933804  1060  0.365595  0.0083 0.000460 0.000554 0.001833  0.027641 -0.035259 -0.138844
PTAX 11JUN05 2011.4251 55717 1639 0 -115.5   4109  0.062198   3583711  0.935952  1060  0.361534  0.0083 0.000458 0.000555 0.001822  0.026443 -0.027838 -0.139405
PTAX 11JUN06 2011.4278 55718 1639 1 -115.5   4109  0.061116   3583711  0.934889  1060  0.366112  0.0083 0.000462 0.000555 0.001831  0.032004 -0.034847 -0.117920
PTAX 11JUN07 2011.4305 55719 1639 2 -115.5   4109  0.061567   3583711  0.935433  1060  0.367686  0.0083 0.000459 0.000550 0.001816  0.026702 -0.027307 -0.133447
PTAX 11JUN08 2011.4333 55720 1639 3 -115.5   4109  0.057836   3583711  0.934995  1060  0.366781  0.0083 0.000458 0.000551 0.001820  0.031233 -0.015261 -0.135422
PTAX 11JUN09 2011.4360 55721 1639 4 -115.5   4109  0.057901   3583711  0.933133  1060  0.367021  0.0083 0.000460 0.000553 0.001829  0.023815 -0.019544 -0.145068
PTAX 11JUN10 2011.4387 55722 1639 5 -115.5   4109  0.059736   3583711  0.935586  1060  0.367831  0.0083 0.000459 0.000555 0.001822  0.024589 -0.018578 -0.132319
PTAX 11JUN11 2011.4415 55723 1639 6 -115.5   4109  0.061263   3583711  0.935594  1060  0.368546  0.0083 0.000458 0.000554 0.001825  0.021601 -0.020283 -0.124888
PTAX 11JUN12 2011.4442 55724 1640 0 -115.5   4109  0.060272   3583711  0.932011  1060  0.363743  0.0083 0.000458 0.000552 0.001814  0.031110 -0.034140 -0.120421
PTAX 11JUN13 2011.4470 55725 1640 1 -115.5   4109  0.062387   3583711  0.934728  1060  0.363920  0.0083 0.000458 0.000552 0.001816  0.029219 -0.019497 -0.136347
