site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
Q553 01OCT07 2001.7659 52189 1135 0  121.0  -3962 -0.824695   1613969  0.103875    45  0.323598  1.0240 0.001032 0.000910 0.004609  0.016932 -0.166338 -0.016234
Q553 01OCT08 2001.7687 52190 1135 1  121.0  -3962 -0.821123   1613969  0.105511    45  0.314421  1.0240 0.000838 0.000672 0.003385  0.062972 -0.163814 -0.047239
Q553 01OCT09 2001.7714 52191 1135 2  121.0  -3962 -0.814718   1613969  0.100414    45  0.312589  1.0240 0.000839 0.000661 0.003237  0.021007 -0.134958 -0.074537
Q553 01OCT10 2001.7741 52192 1135 3  121.0  -3962 -0.820543   1613969  0.101809    45  0.321185  1.0240 0.000807 0.000642 0.003184  0.024136 -0.180305 -0.035502
Q553 01OCT12 2001.7796 52194 1135 5  121.0  -3962 -0.820821   1613969  0.102841    45  0.316201  1.0240 0.000810 0.000677 0.003328  0.033934 -0.138095 -0.126823
Q553 01OCT13 2001.7823 52195 1135 6  121.0  -3962 -0.823095   1613969  0.101355    45  0.300547  1.0240 0.000794 0.000664 0.003348  0.011798 -0.159203 -0.074308
Q553 01OCT14 2001.7851 52196 1136 0  121.0  -3962 -0.823181   1613969  0.099277    45  0.324607  1.0240 0.000836 0.000670 0.003291  0.040339 -0.204629 -0.048553
Q553 01OCT15 2001.7878 52197 1136 1  121.0  -3962 -0.814435   1613969  0.098534    45  0.308409  1.0240 0.000852 0.000681 0.003345  0.034917 -0.151383 -0.070618
Q553 01OCT16 2001.7906 52198 1136 2  121.0  -3962 -0.823674   1613969  0.101467    45  0.314766  1.0220 0.000819 0.000663 0.003173  0.025734 -0.190584 -0.040685
Q553 02OCT06 2002.7625 52553 1187 0  121.0  -3962 -0.853633   1613969  0.092211    45  0.303441  1.2741 0.001160 0.000938 0.005004 -0.096014 -0.097129 -0.110100
Q553 02OCT07 2002.7652 52554 1187 1  121.0  -3962 -0.860229   1613969  0.083633    45  0.331978  1.2741 0.001062 0.000874 0.004710 -0.176478 -0.218138 -0.119813
Q553 02OCT08 2002.7680 52555 1187 2  121.0  -3962 -0.852520   1613969  0.088350    45  0.326661  1.2741 0.001001 0.000804 0.004203 -0.076918 -0.205402 -0.043903
Q553 02OCT09 2002.7707 52556 1187 3  121.0  -3962 -0.849480   1613969  0.092866    45  0.312361  1.2741 0.001042 0.000822 0.004531 -0.105527 -0.131084 -0.179955
Q553 02OCT10 2002.7734 52557 1187 4  121.0  -3962 -0.850965   1613969  0.088424    45  0.312333  1.2741 0.001013 0.000807 0.004404 -0.105484 -0.154188 -0.163278
Q553 02OCT11 2002.7762 52558 1187 5  121.0  -3962 -0.850225   1613969  0.090200    45  0.324091  1.2741 0.001141 0.000815 0.004281 -0.107624 -0.085192 -0.078937
Q553 02OCT12 2002.7789 52559 1187 6  121.0  -3962 -0.848137   1613969  0.087324    45  0.322951  1.2741 0.001039 0.000798 0.004296 -0.157118 -0.091718 -0.152869
