site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RG08 06DEC09 2006.9377 54078 1404 6 -105.0    556  0.571597   3622621  0.815064  1488  0.648879  0.0084 0.000502 0.000576 0.001899 -0.002868 -0.020115 -0.119581
RG08 06DEC10 2006.9405 54079 1405 0 -105.0    556  0.571623   3622621  0.815517  1488  0.652261  0.0084 0.000488 0.000564 0.001840 -0.005122 -0.005598 -0.105181
RG08 06DEC11 2006.9432 54080 1405 1 -105.0    556  0.569793   3622621  0.815136  1488  0.637138  0.0084 0.000497 0.000569 0.001902 -0.010814 -0.008096 -0.132186
RG08 06DEC12 2006.9459 54081 1405 2 -105.0    556  0.572378   3622621  0.812802  1488  0.640630  0.0084 0.000491 0.000565 0.001882  0.014581 -0.028180 -0.113710
RG08 06DEC13 2006.9487 54082 1405 3 -105.0    556  0.571586   3622621  0.814812  1488  0.643434  0.0084 0.000499 0.000564 0.001930 -0.018782  0.000090 -0.116540
RG08 06DEC14 2006.9514 54083 1405 4 -105.0    556  0.571183   3622621  0.812399  1488  0.649616  0.0084 0.000493 0.000556 0.001898  0.000937 -0.026778 -0.133678
RG08 06DEC15 2006.9541 54084 1405 5 -105.0    556  0.568593   3622621  0.812083  1488  0.649377  0.0084 0.000516 0.000595 0.001993 -0.017075  0.019249 -0.136765
RG08 06DEC16 2006.9569 54085 1405 6 -105.0    556  0.569047   3622621  0.815685  1488  0.648508  0.0084 0.000499 0.000563 0.001911  0.019188 -0.035387 -0.141147
RG08 06DEC17 2006.9596 54086 1406 0 -105.0    556  0.571657   3622621  0.813749  1488  0.641199  0.0084 0.000493 0.000552 0.001871  0.008185 -0.034331 -0.136839
RG08 06DEC18 2006.9624 54087 1406 1 -105.0    556  0.571242   3622621  0.816625  1488  0.640332  0.0084 0.000488 0.000555 0.001877  0.013903 -0.030054 -0.129423
RG08 06DEC19 2006.9651 54088 1406 2 -105.0    556  0.569144   3622621  0.809606  1488  0.644295  0.0084 0.000493 0.000562 0.001897 -0.026937 -0.000787 -0.121632
RG08 06DEC20 2006.9678 54089 1406 3 -105.0    556  0.568235   3622621  0.808708  1488  0.647110  0.0084 0.000493 0.000561 0.001898 -0.008535 -0.016463 -0.134236
RG08 06DEC21 2006.9706 54090 1406 4 -105.0    556  0.570023   3622621  0.815695  1488  0.641410  0.0084 0.000502 0.000567 0.001933  0.001512 -0.032079 -0.144456
RG08 06DEC22 2006.9733 54091 1406 5 -105.0    556  0.572166   3622621  0.815883  1488  0.641264  0.0084 0.000496 0.000557 0.001865  0.006759 -0.013883 -0.117437
RG08 06DEC23 2006.9760 54092 1406 6 -105.0    556  0.572309   3622621  0.814838  1488  0.640358  0.0084 0.000496 0.000562 0.001913 -0.016075 -0.011420 -0.138529
