site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RLAC 11JUN10 2011.4387 55722 1639 5  -99.5    118  0.064114   5656310  0.521794   250  0.592980  0.0000 0.000894 0.001165 0.003581  0.058352 -0.017231  0.034468
RLAC 11JUN11 2011.4415 55723 1639 6  -99.5    118  0.064293   5656310  0.525129   250  0.590141  0.0000 0.000436 0.000605 0.001698  0.026710 -0.012641  0.081249
RLAC 11JUN12 2011.4442 55724 1640 0  -99.5    118  0.066470   5656310  0.525091   250  0.597222  0.0000 0.000435 0.000601 0.001700  0.038208 -0.023695  0.088053
RLAC 11JUN13 2011.4470 55725 1640 1  -99.5    118  0.068072   5656310  0.523949   250  0.593758  0.0000 0.000443 0.000608 0.001713  0.041680 -0.018712  0.088142
RLAC 11JUN14 2011.4497 55726 1640 2  -99.5    118  0.067440   5656310  0.522905   250  0.598732  0.0000 0.000439 0.000604 0.001696  0.028104 -0.021702  0.076253
RLAC 11JUN15 2011.4524 55727 1640 3  -99.5    118  0.065738   5656310  0.523089   250  0.589825  0.0000 0.000436 0.000602 0.001704  0.019941 -0.032312  0.085962
RLAC 11JUN16 2011.4552 55728 1640 4  -99.5    118  0.063604   5656310  0.527601   250  0.588886  0.0000 0.000435 0.000603 0.001700  0.030203 -0.021876  0.083226
RLAC 11JUN17 2011.4579 55729 1640 5  -99.5    118  0.065774   5656310  0.526181   250  0.590110  0.0000 0.000446 0.000613 0.001743  0.018341 -0.037371  0.074639
RLAC 11JUN18 2011.4606 55730 1640 6  -99.5    118  0.064750   5656310  0.525615   250  0.587710  0.0000 0.000440 0.000607 0.001721  0.032829 -0.035511  0.080101
RLAC 11JUN19 2011.4634 55731 1641 0  -99.5    118  0.064614   5656310  0.525692   250  0.588651  0.0000 0.000435 0.000601 0.001694  0.028867 -0.032601  0.072614
RLAC 11JUN20 2011.4661 55732 1641 1  -99.5    118  0.065530   5656310  0.525521   250  0.587925  0.0000 0.000434 0.000598 0.001684  0.028211 -0.021003  0.078225
RLAC 11JUN21 2011.4689 55733 1641 2  -99.5    118  0.064209   5656310  0.525966   250  0.586830  0.0000 0.000437 0.000601 0.001700  0.029192 -0.030998  0.078181
RLAC 11JUN22 2011.4716 55734 1641 3  -99.5    118  0.064249   5656310  0.525352   250  0.593403  0.0000 0.000434 0.000598 0.001687  0.029419 -0.030424  0.093695
RLAC 11JUN23 2011.4743 55735 1641 4  -99.5    118  0.062413   5656310  0.524334   250  0.589247  0.0000 0.000437 0.000601 0.001710  0.033305 -0.027242  0.075330
RLAC 11JUN24 2011.4771 55736 1641 5  -99.5    118  0.064715   5656310  0.525698   250  0.594340  0.0000 0.000434 0.000596 0.001688  0.045947 -0.023741  0.087414
RLAC 11JUN25 2011.4798 55737 1641 6  -99.5    118  0.059113   5656310  0.524116   250  0.590011  0.0000 0.000435 0.000600 0.001698  0.031924 -0.019561  0.087888
RLAC 11JUN26 2011.4825 55738 1642 0  -99.5    118  0.062986   5656310  0.524343   250  0.591991  0.0000 0.000435 0.000602 0.001700  0.030825 -0.019431  0.093810
RLAC 11JUN27 2011.4853 55739 1642 1  -99.5    118  0.063277   5656310  0.523974   250  0.589169  0.0000 0.000432 0.000600 0.001681  0.026567 -0.030221  0.095668
