site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RLCV 18AUG30 2018.6612 58360 2016 4  -84.8   1011  0.753158   3780386  0.283050   194  0.924504  0.0000 0.000487 0.000584 0.002000  0.034327 -0.042511 -0.046747
RLCV 18AUG31 2018.6639 58361 2016 5  -84.8   1011  0.753465   3780386  0.283083   194  0.931597  0.0000 0.000482 0.000581 0.001977  0.017546 -0.028150 -0.023864
RLCV 18SEP01 2018.6667 58362 2016 6  -84.8   1011  0.753010   3780386  0.280189   194  0.929758  0.0000 0.000488 0.000580 0.001986  0.027084 -0.049943 -0.057840
RLCV 18SEP02 2018.6694 58363 2017 0  -84.8   1011  0.752745   3780386  0.280517   194  0.921233  0.0000 0.000485 0.000579 0.001978  0.037118 -0.035823 -0.039437
RLCV 18SEP03 2018.6721 58364 2017 1  -84.8   1011  0.754597   3780386  0.279134   194  0.920726  0.0000 0.000483 0.000579 0.001967  0.012227 -0.042567 -0.035975
RLCV 18SEP04 2018.6749 58365 2017 2  -84.8   1011  0.754433   3780386  0.282504   194  0.920795  0.0000 0.000484 0.000579 0.001974  0.021799 -0.043619 -0.051187
RLCV 18SEP05 2018.6776 58366 2017 3  -84.8   1011  0.755808   3780386  0.280037   194  0.921024  0.0000 0.000488 0.000583 0.001971  0.024190 -0.050196 -0.060016
RLCV 18SEP06 2018.6804 58367 2017 4  -84.8   1011  0.754488   3780386  0.278938   194  0.930551  0.0000 0.000503 0.000586 0.002017  0.050210 -0.029107 -0.025922
RLCV 18SEP07 2018.6831 58368 2017 5  -84.8   1011  0.750939   3780386  0.282338   194  0.916960  0.0000 0.000502 0.000594 0.002053  0.033247 -0.068772 -0.016785
RLCV 18SEP09 2018.6886 58370 2018 0  -84.8   1011  0.753403   3780386  0.281678   194  0.926829  0.0000 0.000491 0.000579 0.001995  0.009861 -0.054849 -0.049473
RLCV 18SEP10 2018.6913 58371 2018 1  -84.8   1011  0.756354   3780386  0.279529   194  0.915260  0.0000 0.000488 0.000582 0.002005  0.030453 -0.054654 -0.051985
RLCV 18SEP11 2018.6940 58372 2018 2  -84.8   1011  0.753107   3780386  0.280479   194  0.932183  0.0000 0.000487 0.000587 0.002008  0.050747 -0.051839 -0.051795
RLCV 18SEP12 2018.6968 58373 2018 3  -84.8   1011  0.754523   3780386  0.283248   194  0.927360  0.0000 0.000489 0.000588 0.001982  0.022788 -0.046262 -0.045898
RLCV 18SEP13 2018.6995 58374 2018 4  -84.8   1011  0.752754   3780386  0.277446   194  0.936081  0.0000 0.000487 0.000580 0.001976  0.031330 -0.032905 -0.058060
RLCV 18SEP14 2018.7023 58375 2018 5  -84.8   1011  0.753788   3780386  0.282223   194  0.935534  0.0000 0.000526 0.000613 0.002086  0.026295  0.003346 -0.038938
RLCV 18SEP15 2018.7050 58376 2018 6  -84.8   1011  0.750583   3780386  0.282956   194  0.930952  0.0000 0.000486 0.000582 0.002004  0.021489 -0.063081 -0.049240
RLCV 18SEP16 2018.7077 58377 2019 0  -84.8   1011  0.753629   3780386  0.281244   194  0.930531  0.0000 0.000483 0.000579 0.001968  0.025146 -0.046731 -0.057548
RLCV 18SEP17 2018.7105 58378 2019 1  -84.8   1011  0.752559   3780386  0.280016   194  0.927488  0.0000 0.000485 0.000581 0.001983  0.010322 -0.041155 -0.061521
RLCV 18SEP19 2018.7159 58380 2019 3  -84.8   1011  0.751611   3780386  0.281622   194  0.930909  0.0000 0.000489 0.000582 0.002010  0.012933 -0.028573 -0.060338
RLCV 18SEP20 2018.7187 58381 2019 4  -84.8   1011  0.753119   3780386  0.281576   194  0.924054  0.0000 0.000485 0.000577 0.001969  0.024449 -0.027458 -0.091036
RLCV 18SEP21 2018.7214 58382 2019 5  -84.8   1011  0.750925   3780386  0.278713   194  0.919893  0.0000 0.000480 0.000574 0.001946  0.027631 -0.033204 -0.056351
RLCV 18SEP22 2018.7242 58383 2019 6  -84.8   1011  0.751596   3780386  0.284681   194  0.913305  0.0000 0.000485 0.000578 0.001972  0.021099 -0.050799 -0.047034
RLCV 18SEP23 2018.7269 58384 2020 0  -84.8   1011  0.751423   3780386  0.285200   194  0.924159  0.0000 0.000487 0.000573 0.001982  0.004879 -0.038157 -0.055115
RLCV 18SEP24 2018.7296 58385 2020 1  -84.8   1011  0.752698   3780386  0.283076   194  0.917717  0.0000 0.000481 0.000575 0.001959  0.022258 -0.038351 -0.041171
RLCV 18SEP25 2018.7324 58386 2020 2  -84.8   1011  0.751805   3780386  0.281288   194  0.925993  0.0000 0.000482 0.000578 0.001957  0.017309 -0.014793 -0.074961
RLCV 18SEP26 2018.7351 58387 2020 3  -84.8   1011  0.752023   3780386  0.279166   194  0.927385  0.0000 0.000486 0.000578 0.001987  0.024653 -0.046764 -0.064136
RLCV 18SEP27 2018.7379 58388 2020 4  -84.8   1011  0.752149   3780386  0.278333   194  0.935716  0.0000 0.000484 0.000578 0.001968  0.032716 -0.050454 -0.076794
RLCV 18SEP28 2018.7406 58389 2020 5  -84.8   1011  0.750697   3780386  0.279398   194  0.920534  0.0000 0.000489 0.000584 0.001980  0.026640 -0.042013 -0.066669
RLCV 18SEP29 2018.7433 58390 2020 6  -84.8   1011  0.751953   3780386  0.281544   194  0.921731  0.0000 0.000488 0.000583 0.001990  0.033162 -0.022974 -0.054352
RLCV 18SEP30 2018.7461 58391 2021 0  -84.8   1011  0.750783   3780386  0.279291   194  0.915434  0.0000 0.000486 0.000577 0.001968  0.012015 -0.021862 -0.067516
RLCV 18OCT01 2018.7488 58392 2021 1  -84.8   1011  0.751745   3780386  0.280136   194  0.922516  0.0000 0.000485 0.000575 0.001948  0.001716 -0.014102 -0.065466
RLCV 18OCT02 2018.7515 58393 2021 2  -84.8   1011  0.750131   3780386  0.281771   194  0.932548  0.0000 0.000489 0.000574 0.001973  0.012136 -0.003897 -0.081314
RLCV 18OCT03 2018.7543 58394 2021 3  -84.8   1011  0.749196   3780386  0.280404   194  0.925634  0.0000 0.000485 0.000581 0.001974  0.011035 -0.012530 -0.046716
RLCV 18OCT04 2018.7570 58395 2021 4  -84.8   1011  0.749892   3780386  0.283041   194  0.927507  0.0000 0.000496 0.000589 0.002004  0.025604 -0.012449 -0.079379
RLCV 18OCT05 2018.7598 58396 2021 5  -84.8   1011  0.749734   3780386  0.281482   194  0.930338  0.0000 0.000484 0.000576 0.001971  0.013755 -0.012093 -0.049461
RLCV 18OCT06 2018.7625 58397 2021 6  -84.8   1011  0.751300   3780386  0.282223   194  0.925955  0.0000 0.000486 0.000577 0.001968  0.017018 -0.004916 -0.054986
RLCV 18OCT07 2018.7652 58398 2022 0  -84.8   1011  0.751348   3780386  0.281787   194  0.919397  0.0000 0.000495 0.000590 0.002014  0.015985 -0.005406 -0.056806
RLCV 18OCT08 2018.7680 58399 2022 1  -84.8   1011  0.751268   3780386  0.279643   194  0.924219  0.0000 0.000487 0.000575 0.001962  0.009953 -0.022403 -0.074383
RLCV 18OCT09 2018.7707 58400 2022 2  -84.8   1011  0.750419   3780386  0.280398   194  0.923690  0.0000 0.000487 0.000581 0.001978  0.012179 -0.013510 -0.063948
RLCV 18OCT10 2018.7734 58401 2022 3  -84.8   1011  0.751516   3780386  0.279075   194  0.927447  0.0000 0.000485 0.000573 0.001977  0.018618 -0.005164 -0.061052
RLCV 18OCT11 2018.7762 58402 2022 4  -84.8   1011  0.745513   3780386  0.277792   194  0.938968  0.0000 0.000488 0.000576 0.002005  0.002232 -0.015997 -0.064637
RLCV 18OCT12 2018.7789 58403 2022 5  -84.8   1011  0.749332   3780386  0.278866   194  0.924862  0.0000 0.000474 0.000564 0.001924  0.013224 -0.008688 -0.068693
RLCV 18OCT13 2018.7817 58404 2022 6  -84.8   1011  0.751782   3780386  0.278308   194  0.928586  0.0000 0.000488 0.000585 0.001982  0.000259 -0.007901 -0.044273
RLCV 18OCT14 2018.7844 58405 2023 0  -84.8   1011  0.753936   3780386  0.276442   194  0.926485  0.0000 0.000478 0.000572 0.001931  0.022797 -0.016842 -0.068425
RLCV 18OCT15 2018.7871 58406 2023 1  -84.8   1011  0.753231   3780386  0.279146   194  0.925598  0.0000 0.000486 0.000584 0.001973  0.018800 -0.017406 -0.052741
RLCV 18OCT16 2018.7899 58407 2023 2  -84.8   1011  0.752515   3780386  0.276496   194  0.934314  0.0000 0.000488 0.000593 0.002032  0.037987 -0.053957 -0.053259
