site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RNIS 18FEB21 2018.1410 58170 1989 3  144.0   3612  0.236047  -1281683 -0.417172    77  0.374022  0.0000 0.001819 0.001504 0.006164 -0.062262  0.126363  0.046076
RNIS 18FEB22 2018.1437 58171 1989 4  144.0   3612  0.231478  -1281683 -0.418551    77  0.401974  0.0000 0.002133 0.001805 0.009606  0.119688 -0.263839 -0.089476
RNIS 18FEB23 2018.1465 58172 1989 5  144.0   3612  0.242988  -1281683 -0.402543    77  0.380579  0.0000 0.001612 0.001204 0.005412  0.045342 -0.038653  0.079079
RNIS 18FEB24 2018.1492 58173 1989 6  144.0   3612  0.231454  -1281683 -0.386074    77  0.360092  0.0000 0.000988 0.000951 0.003697 -0.003850 -0.073884  0.271244
RNIS 18FEB25 2018.1520 58174 1990 0  144.0   3612  0.235986  -1281683 -0.416046    77  0.354486  0.0000 0.001983 0.002091 0.007899  0.251723 -0.147546  0.156507
RNIS 18FEB26 2018.1547 58175 1990 1  144.0   3612  0.234408  -1281683 -0.431894    77  0.382300  0.0000 0.003607 0.001905 0.010216  0.135137 -0.560877 -0.082000
RNIS 18FEB27 2018.1574 58176 1990 2  144.0   3612  0.222694  -1281683 -0.406038    77  0.346218  0.0000 0.001345 0.001103 0.004640 -0.001275  0.186118 -0.210053
RNIS 18FEB28 2018.1602 58177 1990 3  144.0   3612  0.232528  -1281683 -0.407039    77  0.366376  0.0000 0.000859 0.000759 0.003185  0.000646 -0.100614 -0.000753
RNIS 18APR18 2018.2943 58226 1997 3  144.0   3612  0.230795  -1281683 -0.394100    77  0.368331  0.0000 0.000780 0.000694 0.003067 -0.035969 -0.172083  0.162459
RNIS 18APR19 2018.2971 58227 1997 4  144.0   3612  0.233522  -1281683 -0.410856    77  0.344586  0.0000 0.001047 0.001128 0.003992 -0.099592  0.069469  0.081523
RNIS 18APR20 2018.2998 58228 1997 5  144.0   3612  0.235145  -1281683 -0.395400    77  0.366665  0.0000 0.001027 0.000876 0.003856  0.089831  0.002528  0.076824
RNIS 18APR21 2018.3025 58229 1997 6  144.0   3612  0.212058  -1281683 -0.383945    77  0.446771  0.0000 0.002419 0.001916 0.007414  0.165798  0.291449  0.287663
RNIS 18APR22 2018.3053 58230 1998 0  144.0   3612  0.292810  -1281683 -0.409621    77  0.192671  0.0000 0.003193 0.003408 0.017511  0.265036 -0.160930 -0.058524
RNIS 18APR25 2018.3135 58233 1998 3  144.0   3612  0.180155  -1281683 -0.402276    77  0.284423  0.0000 0.001306 0.001070 0.004085 -0.192009 -0.122827  0.075914
RNIS 18APR26 2018.3162 58234 1998 4  144.0   3612  0.229623  -1281683 -0.394963    77  0.366669  0.0000 0.000671 0.000638 0.002440 -0.037283  0.015645  0.011780
RNIS 18APR27 2018.3190 58235 1998 5  144.0   3612  0.232389  -1281683 -0.394618    77  0.384530  0.0000 0.000857 0.000791 0.003387  0.032311  0.074576  0.165002
RNIS 18APR28 2018.3217 58236 1998 6  144.0   3612  0.228784  -1281683 -0.393433    77  0.372261  0.0000 0.000728 0.000626 0.002652  0.042448  0.075960  0.126663
RNIS 18APR29 2018.3244 58237 1999 0  144.0   3612  0.230459  -1281683 -0.394280    77  0.363733  0.0000 0.000794 0.000782 0.002965  0.021299  0.022195  0.068501
RNIS 18MAY09 2018.3518 58247 2000 3  144.0   3612  0.230052  -1281683 -0.390075    77  0.374298  0.0000 0.001677 0.001414 0.006405 -0.025106 -0.084942  0.030620
RNIS 18MAY10 2018.3546 58248 2000 4  144.0   3612  0.290986  -1281683 -0.438553    77  0.434310  0.0000 0.001364 0.001237 0.005466  0.107671  0.069352 -0.026303
RNIS 18MAY12 2018.3600 58250 2000 6  144.0   3612  0.234388  -1281683 -0.387802    77  0.366328  0.0000 0.000782 0.000688 0.003132  0.005682 -0.088080  0.235053
