site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RTSD 98NOV19 1998.8830 51136  984 4  100.5    801  0.273853   1521826  0.736358   -17 -0.936195  1.6610 0.001015 0.000883 0.004332  0.052687  0.067313  0.014326
RTSD 98NOV20 1998.8857 51137  984 5  100.5    801  0.273658   1521826  0.732625   -17 -0.948945  1.6610 0.001025 0.000901 0.004276  0.056421  0.069974  0.078573
RTSD 98NOV21 1998.8884 51138  984 6  100.5    801  0.273692   1521826  0.733671   -17 -0.930527  1.6650 0.001052 0.000913 0.004484  0.060601 -0.005033  0.039645
RTSD 98NOV22 1998.8912 51139  985 0  100.5    801  0.272563   1521826  0.733055   -17 -0.942209  1.6650 0.001010 0.000886 0.004433  0.062942  0.065157  0.063192
RTSD 98NOV23 1998.8939 51140  985 1  100.5    801  0.274292   1521826  0.731804   -17 -0.935161  1.6650 0.001069 0.000902 0.004586  0.080102  0.107782  0.081038
RTSD 98NOV24 1998.8966 51141  985 2  100.5    801  0.273473   1521826  0.730907   -17 -0.938191  1.6650 0.001001 0.000887 0.004267  0.028308  0.050687  0.077685
RTSD 98NOV25 1998.8994 51142  985 3  100.5    801  0.272147   1521826  0.731352   -17 -0.941711  1.6650 0.001011 0.000903 0.004373  0.046842  0.039608  0.087134
RTSD 98NOV26 1998.9021 51143  985 4  100.5    801  0.273155   1521826  0.733727   -17 -0.942142  1.6650 0.001008 0.000874 0.004259  0.048672  0.065038  0.120803
RTSD 98NOV27 1998.9049 51144  985 5  100.5    801  0.276441   1521826  0.733609   -17 -0.940016  1.6650 0.001002 0.000882 0.004318  0.011233  0.118817  0.068889
RTSD 98NOV28 1998.9076 51145  985 6  100.5    801  0.272694   1521826  0.730941   -17 -0.935712  1.6650 0.001089 0.000954 0.004706  0.083368  0.014849  0.040654
