site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RUHN 14OCT20 2014.8008 56950 1815 1   23.3  -1856 -0.081639   6407037  0.533137    29  0.118301  0.0000 0.000527 0.000680 0.001933 -0.001338 -0.013236  0.138702
RUHN 14OCT21 2014.8036 56951 1815 2   23.3  -1856 -0.079853   6407037  0.532591    29  0.122251  0.0000 0.000444 0.000574 0.001664  0.003821  0.020005  0.164363
RUHN 14OCT22 2014.8063 56952 1815 3   23.3  -1856 -0.081015   6407037  0.535050    29  0.120172  0.0000 0.000450 0.000589 0.001704 -0.002666  0.010785  0.157744
RUHN 14OCT23 2014.8090 56953 1815 4   23.3  -1856 -0.079865   6407037  0.532890    29  0.119144  0.0000 0.000441 0.000581 0.001655  0.010315  0.039743  0.170196
RUHN 14OCT24 2014.8118 56954 1815 5   23.3  -1856 -0.078887   6407037  0.532951    29  0.117133  0.0000 0.000472 0.000632 0.001841 -0.004233  0.030600  0.198039
RUHN 14OCT25 2014.8145 56955 1815 6   23.3  -1856 -0.079116   6407037  0.531516    29  0.126825  0.0000 0.000452 0.000596 0.001696 -0.005231  0.030762  0.168770
RUHN 14OCT26 2014.8172 56956 1816 0   23.3  -1856 -0.077324   6407037  0.530651    29  0.118956  0.0000 0.000442 0.000578 0.001664  0.004658  0.020415  0.171770
RUHN 14OCT27 2014.8200 56957 1816 1   23.3  -1856 -0.077499   6407037  0.531799    29  0.125310  0.0000 0.000446 0.000585 0.001671  0.007157  0.016948  0.154939
RUHN 14OCT28 2014.8227 56958 1816 2   23.3  -1856 -0.078185   6407037  0.535587    29  0.121050  0.0000 0.000453 0.000600 0.001744 -0.001775  0.018101  0.187915
RUHN 14OCT29 2014.8255 56959 1816 3   23.3  -1856 -0.080908   6407037  0.533302    29  0.121930  0.0000 0.000441 0.000578 0.001652  0.014042  0.033383  0.178174
RUHN 14OCT30 2014.8282 56960 1816 4   23.3  -1856 -0.080293   6407037  0.533422    29  0.108940  0.0000 0.000448 0.000592 0.001681  0.013204  0.032437  0.177833
RUHN 14OCT31 2014.8309 56961 1816 5   23.3  -1856 -0.079695   6407037  0.533591    29  0.104484  0.0000 0.000451 0.000594 0.001684 -0.000685  0.036627  0.158055
RUHN 14NOV02 2014.8364 56963 1817 0   23.3  -1856 -0.079364   6407037  0.534474    29  0.120842  0.0000 0.000449 0.000591 0.001679  0.005699  0.036156  0.169124
