site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SG08 01SEP20 2001.7194 52172 1132 4  -96.4  -2501 -0.410369   4078902  0.865071   300  0.269881  0.0000 0.000517 0.000630 0.001965  0.042398  0.009859 -0.181835
SG08 01SEP21 2001.7221 52173 1132 5  -96.4  -2501 -0.410812   4078902  0.865638   300  0.263079  0.0000 0.000506 0.000614 0.001910  0.001444  0.010064 -0.184420
SG08 01SEP22 2001.7248 52174 1132 6  -96.4  -2501 -0.409369   4078902  0.861175   300  0.262538  0.0000 0.000494 0.000608 0.001848  0.017938  0.010333 -0.180395
SG08 01SEP23 2001.7276 52175 1133 0  -96.4  -2501 -0.408936   4078902  0.865411   300  0.260011  0.0000 0.000503 0.000621 0.001924 -0.000827 -0.011078 -0.212815
SG08 01SEP24 2001.7303 52176 1133 1  -96.4  -2501 -0.410163   4078902  0.864091   300  0.257670  0.0000 0.000496 0.000605 0.001864  0.022296 -0.016477 -0.189442
SG08 01SEP25 2001.7331 52177 1133 2  -96.4  -2501 -0.410838   4078902  0.864241   300  0.264787  0.0000 0.000502 0.000616 0.001886  0.007465  0.017244 -0.205190
SG08 01SEP26 2001.7358 52178 1133 3  -96.4  -2501 -0.412653   4078902  0.863847   300  0.268194  0.0000 0.000515 0.000625 0.001969  0.032342 -0.039443 -0.213284
SG08 01SEP27 2001.7385 52179 1133 4  -96.4  -2501 -0.409531   4078902  0.863703   300  0.267355  0.0000 0.000513 0.000628 0.001919 -0.038097  0.036948 -0.173988
SG08 01SEP28 2001.7413 52180 1133 5  -96.4  -2501 -0.409362   4078902  0.865382   300  0.267667  0.0000 0.000503 0.000616 0.001880 -0.004856  0.013718 -0.184220
SG08 01SEP29 2001.7440 52181 1133 6  -96.4  -2501 -0.410119   4078902  0.863604   300  0.263397  0.0000 0.000513 0.000630 0.001933 -0.023699  0.014242 -0.163166
SG08 01SEP30 2001.7467 52182 1134 0  -96.4  -2501 -0.409043   4078902  0.863121   300  0.261181  0.0000 0.000501 0.000610 0.001861  0.039787 -0.011051 -0.201867
SG08 01OCT01 2001.7495 52183 1134 1  -96.4  -2501 -0.409948   4078902  0.861972   300  0.261500  0.0000 0.000499 0.000610 0.001873  0.038230 -0.014456 -0.208279
SG08 01OCT02 2001.7522 52184 1134 2  -96.4  -2501 -0.410152   4078902  0.862320   300  0.262820  0.0000 0.000499 0.000614 0.001872  0.016869 -0.012700 -0.189748
SG08 01OCT03 2001.7550 52185 1134 3  -96.4  -2501 -0.410556   4078902  0.862680   300  0.263410  0.0000 0.000511 0.000625 0.001925 -0.016025  0.032996 -0.163784
SG08 01OCT04 2001.7577 52186 1134 4  -96.4  -2501 -0.410863   4078902  0.863364   300  0.269675  0.0000 0.000526 0.000647 0.001952  0.009519 -0.038868 -0.177514
SG08 01OCT30 2001.8289 52212 1138 2  -96.4  -2501 -0.410726   4078902  0.864237   300  0.266114  0.0000 0.000519 0.000629 0.001942  0.012167  0.000329 -0.165054
SG08 01OCT31 2001.8316 52213 1138 3  -96.4  -2501 -0.410970   4078902  0.863289   300  0.275917  0.0000 0.000503 0.000613 0.001901  0.028444 -0.000796 -0.176499
SG08 01NOV01 2001.8344 52214 1138 4  -96.4  -2501 -0.410113   4078902  0.862277   300  0.272661  0.0000 0.000525 0.000632 0.002023  0.069926 -0.059242 -0.219301
SG08 01NOV02 2001.8371 52215 1138 5  -96.4  -2501 -0.411582   4078902  0.863381   300  0.274140  0.0000 0.000502 0.000609 0.001907  0.039774 -0.025454 -0.202553
SG08 01NOV04 2001.8426 52217 1139 0  -96.4  -2501 -0.410633   4078902  0.864406   300  0.264179  0.0000 0.000501 0.000604 0.001896  0.031060 -0.003373 -0.201949
SG08 01NOV05 2001.8453 52218 1139 1  -96.4  -2501 -0.409732   4078902  0.863685   300  0.267448  0.0000 0.000511 0.000616 0.001936  0.009108  0.012467 -0.145988
SG08 01NOV06 2001.8480 52219 1139 2  -96.4  -2501 -0.410827   4078902  0.864085   300  0.266912  0.0000 0.000565 0.000659 0.002195  0.001835  0.004239 -0.218766
SG08 01NOV07 2001.8508 52220 1139 3  -96.4  -2501 -0.411530   4078902  0.864876   300  0.266592  0.0000 0.000500 0.000606 0.001888  0.020981 -0.007038 -0.193078
SG08 01NOV08 2001.8535 52221 1139 4  -96.4  -2501 -0.410713   4078902  0.863394   300  0.269679  0.0000 0.000529 0.000627 0.001971  0.018835 -0.010233 -0.127756
SG08 01NOV09 2001.8563 52222 1139 5  -96.4  -2501 -0.412272   4078902  0.862013   300  0.271068  0.0000 0.000517 0.000610 0.001907  0.031383  0.000090 -0.157373
SG08 01NOV10 2001.8590 52223 1139 6  -96.4  -2501 -0.411619   4078902  0.861938   300  0.265473  0.0000 0.000502 0.000602 0.001883  0.031356  0.001329 -0.182910
