site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SGVA 07FEB01 2007.0856 54132 1412 4   -4.1  -1711 -0.985997   4534941  0.875604  1076  0.312453  0.0000 0.000476 0.000608 0.001769 -0.035970 -0.003422 -0.041522
SGVA 07FEB02 2007.0883 54133 1412 5   -4.1  -1711 -0.985452   4534941  0.875166  1076  0.309472  0.0000 0.000470 0.000612 0.001780  0.006489 -0.029808 -0.048251
SGVA 07FEB03 2007.0910 54134 1412 6   -4.1  -1711 -0.986477   4534941  0.875291  1076  0.313653  0.0000 0.000475 0.000616 0.001803  0.009257 -0.025941 -0.061506
SGVA 07FEB04 2007.0938 54135 1413 0   -4.1  -1711 -0.984969   4534941  0.875124  1076  0.308945  0.0000 0.000469 0.000598 0.001741 -0.021676 -0.010975 -0.075368
SGVA 07FEB10 2007.1102 54141 1413 6   -4.1  -1711 -0.986395   4534941  0.874361  1076  0.315876  0.0000 0.000469 0.000593 0.001742 -0.016005 -0.016051 -0.098378
SGVA 07FEB11 2007.1129 54142 1414 0   -4.1  -1711 -0.988627   4534941  0.876633  1076  0.329723  0.0000 0.000471 0.000592 0.001755 -0.002031 -0.039464 -0.089412
SGVA 07FEB12 2007.1157 54143 1414 1   -4.1  -1711 -0.988725   4534941  0.876161  1076  0.326859  0.0000 0.000481 0.000610 0.001799  0.008595 -0.035785 -0.087544
SGVA 07FEB13 2007.1184 54144 1414 2   -4.1  -1711 -0.990035   4534941  0.876700  1076  0.321705  0.0000 0.000470 0.000591 0.001739 -0.027776 -0.013863 -0.066468
SGVA 07FEB14 2007.1211 54145 1414 3   -4.1  -1711 -0.988880   4534941  0.876498  1076  0.318948  0.0000 0.000480 0.000608 0.001787 -0.010483 -0.031568 -0.085791
SGVA 07FEB15 2007.1239 54146 1414 4   -4.1  -1711 -0.986406   4534941  0.876694  1076  0.319495  0.0000 0.000480 0.000610 0.001782 -0.006179 -0.044458 -0.096335
SGVA 07FEB16 2007.1266 54147 1414 5   -4.1  -1711 -0.986337   4534941  0.872611  1076  0.320258  0.0000 0.000466 0.000590 0.001735 -0.007456 -0.023672 -0.070625
SGVA 07FEB17 2007.1294 54148 1414 6   -4.1  -1711 -0.987668   4534941  0.878334  1076  0.314223  0.0000 0.000465 0.000590 0.001736 -0.004946 -0.016115 -0.080357
SGVA 07FEB18 2007.1321 54149 1415 0   -4.1  -1711 -0.987722   4534941  0.879355  1076  0.319746  0.0000 0.000473 0.000595 0.001757 -0.014643 -0.012074 -0.070832
SGVA 07FEB19 2007.1348 54150 1415 1   -4.1  -1711 -0.985922   4534941  0.876817  1076  0.315379  0.0000 0.000471 0.000595 0.001745 -0.021607 -0.022233 -0.077613
SGVA 07FEB20 2007.1376 54151 1415 2   -4.1  -1711 -0.984366   4534941  0.876748  1076  0.314016  0.0000 0.000474 0.000597 0.001770 -0.009733 -0.030146 -0.055904
SGVA 07FEB21 2007.1403 54152 1415 3   -4.1  -1711 -0.987563   4534941  0.877692  1076  0.312648  0.0000 0.000473 0.000610 0.001783 -0.002419 -0.021600 -0.069058
SGVA 07FEB22 2007.1431 54153 1415 4   -4.1  -1711 -0.987442   4534941  0.877410  1076  0.313771  0.0000 0.000474 0.000612 0.001825 -0.007441 -0.011356 -0.028260
SGVA 07FEB23 2007.1458 54154 1415 5   -4.1  -1711 -0.988647   4534941  0.878516  1076  0.319466  0.0000 0.000466 0.000591 0.001747 -0.012698 -0.018184 -0.067587
SGVA 07FEB24 2007.1485 54155 1415 6   -4.1  -1711 -0.985891   4534941  0.877660  1076  0.314245  0.0000 0.000468 0.000593 0.001744 -0.025345 -0.009261 -0.081852
SGVA 07FEB25 2007.1513 54156 1416 0   -4.1  -1711 -0.986648   4534941  0.881173  1076  0.314037  0.0000 0.000479 0.000615 0.001803 -0.008811 -0.037774 -0.075397
SGVA 07FEB26 2007.1540 54157 1416 1   -4.1  -1711 -0.987739   4534941  0.877696  1076  0.310733  0.0000 0.000660 0.000890 0.002547 -0.011518  0.001559 -0.133684
SGVA 07MAR09 2007.1841 54168 1417 5   -4.1  -1711 -0.986963   4534941  0.878106  1076  0.314532  0.0000 0.000490 0.000619 0.001832 -0.021574 -0.019071 -0.074529
SGVA 07MAR10 2007.1869 54169 1417 6   -4.1  -1711 -0.987439   4534941  0.878609  1076  0.304689  0.0000 0.000497 0.000609 0.001845 -0.016735 -0.028790 -0.108296
SGVA 07MAR11 2007.1896 54170 1418 0   -4.1  -1711 -0.989132   4534941  0.877911  1076  0.310051  0.0000 0.000478 0.000595 0.001797 -0.013048 -0.008026 -0.087428
SGVA 07MAR12 2007.1923 54171 1418 1   -4.1  -1711 -0.988864   4534941  0.877830  1076  0.306890  0.0000 0.000473 0.000597 0.001776 -0.031283 -0.008271 -0.060334
SGVA 07MAR13 2007.1951 54172 1418 2   -4.1  -1711 -0.989298   4534941  0.876294  1076  0.312928  0.0000 0.000656 0.000910 0.002506  0.003637  0.010740 -0.135542
SGVA 07MAR14 2007.1978 54173 1418 3   -4.1  -1711 -0.988992   4534941  0.878349  1076  0.311311  0.0000 0.000466 0.000598 0.001749 -0.005943 -0.015930 -0.081093
SGVA 07MAR15 2007.2005 54174 1418 4   -4.1  -1711 -0.989173   4534941  0.878786  1076  0.307581  0.0000 0.000522 0.000668 0.001950 -0.015222  0.001697 -0.103112
SGVA 07MAR16 2007.2033 54175 1418 5   -4.1  -1711 -0.988227   4534941  0.879617  1076  0.308534  0.0000 0.000480 0.000609 0.001774 -0.010365 -0.008266 -0.105163
SGVA 07MAR17 2007.2060 54176 1418 6   -4.1  -1711 -0.988008   4534941  0.874839  1076  0.306763  0.0000 0.000471 0.000603 0.001756 -0.013568 -0.024619 -0.086354
SGVA 07MAR18 2007.2088 54177 1419 0   -4.1  -1711 -0.988096   4534941  0.875696  1076  0.310752  0.0000 0.000469 0.000607 0.001765 -0.013732 -0.017445 -0.074574
SGVA 07MAR19 2007.2115 54178 1419 1   -4.1  -1711 -0.989323   4534941  0.879384  1076  0.314752  0.0000 0.000466 0.000605 0.001761  0.002433 -0.023941 -0.081882
SGVA 07MAR20 2007.2142 54179 1419 2   -4.1  -1711 -0.988459   4534941  0.879770  1076  0.309651  0.0000 0.000486 0.000621 0.001819  0.001369 -0.027238 -0.097924
SGVA 07MAR21 2007.2170 54180 1419 3   -4.1  -1711 -0.986980   4534941  0.879763  1076  0.308383  0.0000 0.000483 0.000616 0.001795  0.001998 -0.029821 -0.084733
SGVA 07MAR22 2007.2197 54181 1419 4   -4.1  -1711 -0.987694   4534941  0.877763  1076  0.307688  0.0000 0.000468 0.000598 0.001752  0.006718 -0.023320 -0.093242
SGVA 07MAR23 2007.2225 54182 1419 5   -4.1  -1711 -0.987168   4534941  0.877023  1076  0.313484  0.0000 0.000470 0.000601 0.001777  0.006263 -0.039225 -0.083522
SGVA 07MAR24 2007.2252 54183 1419 6   -4.1  -1711 -0.987726   4534941  0.879408  1076  0.313514  0.0000 0.000467 0.000605 0.001767  0.010533 -0.024971 -0.073863
SGVA 07MAR25 2007.2279 54184 1420 0   -4.1  -1711 -0.987136   4534941  0.879585  1076  0.308104  0.0000 0.000465 0.000601 0.001752  0.008395 -0.017877 -0.067256
SGVA 07MAR26 2007.2307 54185 1420 1   -4.1  -1711 -0.989216   4534941  0.878870  1076  0.306691  0.0000 0.000468 0.000600 0.001757  0.006038 -0.007828 -0.080703
SGVA 07MAR27 2007.2334 54186 1420 2   -4.1  -1711 -0.985142   4534941  0.879477  1076  0.303038  0.0000 0.000475 0.000615 0.001812  0.026504 -0.035740 -0.077505
SGVA 07MAR28 2007.2361 54187 1420 3   -4.1  -1711 -0.986076   4534941  0.877906  1076  0.307115  0.0000 0.000475 0.000615 0.001824  0.024672 -0.048461 -0.068987
SGVA 07MAR29 2007.2389 54188 1420 4   -4.1  -1711 -0.986455   4534941  0.879079  1076  0.306976  0.0000 0.000496 0.000649 0.001881  0.004466 -0.044754 -0.089357
SGVA 07MAR30 2007.2416 54189 1420 5   -4.1  -1711 -0.987479   4534941  0.877719  1076  0.312236  0.0000 0.000467 0.000604 0.001768  0.013187 -0.025327 -0.070750
SGVA 07MAR31 2007.2444 54190 1420 6   -4.1  -1711 -0.986077   4534941  0.878597  1076  0.309809  0.0000 0.000464 0.000595 0.001749  0.008382 -0.031929 -0.093624
SGVA 07APR01 2007.2471 54191 1421 0   -4.1  -1711 -0.986365   4534941  0.880441  1076  0.310529  0.0000 0.000466 0.000600 0.001749  0.011762 -0.019907 -0.085264
SGVA 07APR02 2007.2498 54192 1421 1   -4.1  -1711 -0.988449   4534941  0.881425  1076  0.309186  0.0000 0.000469 0.000599 0.001766  0.016861 -0.036533 -0.088487
SGVA 07APR03 2007.2526 54193 1421 2   -4.1  -1711 -0.989115   4534941  0.877619  1076  0.311932  0.0000 0.000469 0.000604 0.001777  0.008787 -0.037120 -0.082390
SGVA 07APR04 2007.2553 54194 1421 3   -4.1  -1711 -0.988892   4534941  0.880649  1076  0.309393  0.0000 0.000464 0.000607 0.001750  0.004708 -0.021410 -0.072096
SGVA 07APR05 2007.2580 54195 1421 4   -4.1  -1711 -0.987354   4534941  0.879677  1076  0.308258  0.0000 0.000464 0.000604 0.001757  0.018050 -0.027204 -0.069590
SGVA 07APR06 2007.2608 54196 1421 5   -4.1  -1711 -0.990456   4534941  0.878250  1076  0.317691  0.0000 0.000602 0.000823 0.002408  0.019311  0.018362 -0.114556
SGVA 07APR07 2007.2635 54197 1421 6   -4.1  -1711 -0.987592   4534941  0.879321  1076  0.311753  0.0000 0.000470 0.000613 0.001775  0.025272 -0.023444 -0.069402
SGVA 07APR08 2007.2663 54198 1422 0   -4.1  -1711 -0.988310   4534941  0.879349  1076  0.307883  0.0000 0.000471 0.000618 0.001794  0.013782 -0.035126 -0.056807
SGVA 07APR09 2007.2690 54199 1422 1   -4.1  -1711 -0.987297   4534941  0.878934  1076  0.311263  0.0000 0.000468 0.000605 0.001777  0.001013 -0.026691 -0.072253
SGVA 07APR10 2007.2717 54200 1422 2   -4.1  -1711 -0.983910   4534941  0.878794  1076  0.308838  0.0000 0.000483 0.000617 0.001818  0.008334 -0.049941 -0.110430
SGVA 07APR11 2007.2745 54201 1422 3   -4.1  -1711 -0.984366   4534941  0.877433  1076  0.307456  0.0000 0.000466 0.000593 0.001753  0.016719 -0.043527 -0.097224
SGVA 07APR12 2007.2772 54202 1422 4   -4.1  -1711 -0.985992   4534941  0.877606  1076  0.311709  0.0000 0.000467 0.000596 0.001761  0.024479 -0.064275 -0.093658
SGVA 07APR13 2007.2799 54203 1422 5   -4.1  -1711 -0.985473   4534941  0.878256  1076  0.312621  0.0000 0.000470 0.000596 0.001776  0.013183 -0.040204 -0.094157
SGVA 07APR14 2007.2827 54204 1422 6   -4.1  -1711 -0.984657   4534941  0.878292  1076  0.308645  0.0000 0.000473 0.000607 0.001804 -0.006503 -0.012614 -0.114843
SGVA 07APR15 2007.2854 54205 1423 0   -4.1  -1711 -0.984799   4534941  0.877948  1076  0.311066  0.0000 0.000475 0.000599 0.001784  0.029955 -0.025198 -0.094223
SGVA 07APR17 2007.2909 54207 1423 2   -4.1  -1711 -0.984680   4534941  0.879351  1076  0.313760  0.0000 0.000467 0.000593 0.001757  0.020517 -0.043958 -0.107104
SGVA 07APR18 2007.2936 54208 1423 3   -4.1  -1711 -0.987715   4534941  0.879329  1076  0.318624  0.0000 0.000469 0.000596 0.001766  0.017153 -0.044774 -0.104132
SGVA 07APR19 2007.2964 54209 1423 4   -4.1  -1711 -0.986383   4534941  0.880366  1076  0.321302  0.0000 0.000471 0.000599 0.001781  0.006983 -0.035917 -0.110962
SGVA 07APR20 2007.2991 54210 1423 5   -4.1  -1711 -0.984955   4534941  0.880258  1076  0.320015  0.0000 0.000469 0.000598 0.001771  0.000985 -0.029406 -0.099667
SGVA 07APR21 2007.3018 54211 1423 6   -4.1  -1711 -0.985633   4534941  0.877492  1076  0.317855  0.0000 0.000470 0.000601 0.001778  0.014946 -0.026916 -0.096922
SGVA 07APR22 2007.3046 54212 1424 0   -4.1  -1711 -0.985131   4534941  0.874764  1076  0.315250  0.0000 0.000679 0.000971 0.002704  0.038158  0.041323 -0.074953
SGVA 07APR23 2007.3073 54213 1424 1   -4.1  -1711 -0.984350   4534941  0.879295  1076  0.307123  0.0000 0.000482 0.000602 0.001795  0.009364 -0.042605 -0.122174
SGVA 07APR24 2007.3101 54214 1424 2   -4.1  -1711 -0.983006   4534941  0.879470  1076  0.316416  0.0000 0.000524 0.000671 0.001991  0.016241 -0.019608 -0.083353
SGVA 07APR25 2007.3128 54215 1424 3   -4.1  -1711 -0.982444   4534941  0.881386  1076  0.315932  0.0000 0.000485 0.000609 0.001811 -0.006171 -0.023427 -0.111685
SGVA 07APR26 2007.3155 54216 1424 4   -4.1  -1711 -0.983292   4534941  0.881309  1076  0.317955  0.0000 0.000471 0.000594 0.001775  0.005005 -0.036264 -0.080443
SGVA 07APR27 2007.3183 54217 1424 5   -4.1  -1711 -0.984298   4534941  0.880356  1076  0.310466  0.0000 0.000466 0.000593 0.001757  0.000993 -0.029961 -0.078349
SGVA 07APR28 2007.3210 54218 1424 6   -4.1  -1711 -0.983924   4534941  0.879054  1076  0.308693  0.0000 0.000465 0.000589 0.001744  0.008054 -0.033331 -0.097560
SGVA 07APR29 2007.3238 54219 1425 0   -4.1  -1711 -0.985154   4534941  0.879870  1076  0.310588  0.0000 0.000465 0.000589 0.001751  0.011340 -0.038130 -0.087445
SGVA 07APR30 2007.3265 54220 1425 1   -4.1  -1711 -0.983682   4534941  0.879864  1076  0.309172  0.0000 0.000467 0.000591 0.001759  0.013144 -0.033788 -0.079516
SGVA 07MAY01 2007.3292 54221 1425 2   -4.1  -1711 -0.982654   4534941  0.879639  1076  0.306005  0.0000 0.000470 0.000592 0.001757  0.006086 -0.017669 -0.085121
SGVA 07MAY02 2007.3320 54222 1425 3   -4.1  -1711 -0.982992   4534941  0.879735  1076  0.310958  0.0000 0.000593 0.000701 0.002168  0.004653 -0.032872 -0.130348
SGVA 07MAY03 2007.3347 54223 1425 4   -4.1  -1711 -0.981878   4534941  0.880518  1076  0.307966  0.0000 0.000480 0.000606 0.001792  0.017267 -0.011870 -0.117946
SGVA 07MAY04 2007.3374 54224 1425 5   -4.1  -1711 -0.982039   4534941  0.880521  1076  0.309221  0.0000 0.000466 0.000587 0.001742  0.010299 -0.023974 -0.101320
SGVA 07MAY05 2007.3402 54225 1425 6   -4.1  -1711 -0.984340   4534941  0.880440  1076  0.306964  0.0000 0.000506 0.000654 0.001928  0.023367 -0.021147 -0.059933
SGVA 07MAY06 2007.3429 54226 1426 0   -4.1  -1711 -0.983449   4534941  0.879408  1076  0.308296  0.0000 0.000466 0.000592 0.001754 -0.000273 -0.015889 -0.064854
SGVA 07MAY07 2007.3457 54227 1426 1   -4.1  -1711 -0.981332   4534941  0.879579  1076  0.311680  0.0000 0.000469 0.000596 0.001763 -0.007800 -0.017293 -0.079309
SGVA 07MAY08 2007.3484 54228 1426 2   -4.1  -1711 -0.982774   4534941  0.879667  1076  0.308087  0.0000 0.000490 0.000628 0.001835  0.016619 -0.035538 -0.077424
SGVA 07MAY10 2007.3539 54230 1426 4   -4.1  -1711 -0.981175   4534941  0.879944  1076  0.318151  0.0000 0.000488 0.000619 0.001825  0.034409 -0.035708 -0.081397
SGVA 07MAY11 2007.3566 54231 1426 5   -4.1  -1711 -0.983098   4534941  0.880670  1076  0.311889  0.0000 0.000486 0.000620 0.001833  0.028968 -0.031591 -0.070004
