site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SMRT 07MAY23 2007.3895 54243 1428 3  -63.1   -939 -0.066559   1995659  0.984472   -32 -0.475039  0.0000 0.001017 0.000819 0.003384  0.022517  0.088698 -0.123754
SMRT 07MAY24 2007.3922 54244 1428 4  -63.1   -939 -0.066615   1995659  0.990969   -32 -0.482436  0.0000 0.000592 0.000509 0.002040  0.028571 -0.085041 -0.076628
SMRT 07MAY25 2007.3949 54245 1428 5  -63.1   -939 -0.069321   1995659  0.985150   -32 -0.473548  0.0000 0.000553 0.000492 0.001938  0.007898 -0.060259 -0.088123
SMRT 07MAY26 2007.3977 54246 1428 6  -63.1   -939 -0.064821   1995659  0.994874   -32 -0.472740  0.0000 0.000553 0.000489 0.001942  0.009035 -0.046375 -0.100610
SMRT 07MAY27 2007.4004 54247 1429 0  -63.1   -939 -0.067858   1995659  0.990406   -32 -0.481875  0.0000 0.000547 0.000486 0.001916  0.017604 -0.052813 -0.090859
SMRT 07MAY28 2007.4031 54248 1429 1  -63.1   -939 -0.067551   1995659  0.989740   -32 -0.472843  0.0000 0.000555 0.000490 0.001966  0.024351 -0.054590 -0.106016
SMRT 07MAY29 2007.4059 54249 1429 2  -63.1   -939 -0.066699   1995659  0.989007   -32 -0.479369  0.0000 0.000550 0.000487 0.001930  0.007216 -0.050984 -0.079398
SMRT 07MAY30 2007.4086 54250 1429 3  -63.1   -939 -0.063509   1995659  0.989479   -32 -0.484117  0.0000 0.000563 0.000496 0.001954  0.003347 -0.044850 -0.081425
SMRT 07MAY31 2007.4114 54251 1429 4  -63.1   -939 -0.066722   1995659  0.988746   -32 -0.485831  0.0000 0.000557 0.000490 0.001952  0.023731 -0.067234 -0.083995
SMRT 07JUN01 2007.4141 54252 1429 5  -63.1   -939 -0.068833   1995659  0.987675   -32 -0.473262  0.0000 0.000554 0.000493 0.001945  0.020417 -0.061966 -0.065792
SMRT 07JUN02 2007.4168 54253 1429 6  -63.1   -939 -0.062930   1995659  0.989635   -32 -0.481640  0.0000 0.000549 0.000494 0.001958  0.006615 -0.047333 -0.067804
SMRT 07JUN03 2007.4196 54254 1430 0  -63.1   -939 -0.061059   1995659  0.988294   -32 -0.481049  0.0000 0.000544 0.000491 0.001927 -0.002090 -0.044330 -0.060805
SMRT 07JUN04 2007.4223 54255 1430 1  -63.1   -939 -0.065883   1995659  0.989943   -32 -0.483318  0.0000 0.000550 0.000490 0.001942  0.000931 -0.053601 -0.065131
SMRT 07JUN05 2007.4251 54256 1430 2  -63.1   -939 -0.064892   1995659  0.989873   -32 -0.475235  0.0000 0.000565 0.000495 0.001999  0.007209 -0.030011 -0.078851
SMRT 07JUN06 2007.4278 54257 1430 3  -63.1   -939 -0.061263   1995659  0.991461   -32 -0.479584  0.0000 0.000563 0.000495 0.002007  0.014790 -0.028243 -0.067205
SMRT 07JUN07 2007.4305 54258 1430 4  -63.1   -939 -0.066986   1995659  0.987122   -32 -0.482076  0.0000 0.000562 0.000497 0.001994  0.007392 -0.062711 -0.075979
SMRT 07JUN08 2007.4333 54259 1430 5  -63.1   -939 -0.060297   1995659  0.988199   -32 -0.462119  0.0000 0.000549 0.000488 0.001956  0.002566 -0.056373 -0.067185
SMRT 07JUN09 2007.4360 54260 1430 6  -63.1   -939 -0.066824   1995659  0.985017   -32 -0.464658  0.0000 0.000549 0.000489 0.001942  0.001534 -0.050648 -0.076425
SMRT 07JUN10 2007.4387 54261 1431 0  -63.1   -939 -0.064976   1995659  0.991363   -32 -0.466255  0.0000 0.000557 0.000499 0.002009  0.013720 -0.039019 -0.056446
SMRT 07JUN11 2007.4415 54262 1431 1  -63.1   -939 -0.064188   1995659  0.992674   -32 -0.462767  0.0000 0.000557 0.000496 0.001987 -0.012286 -0.039304 -0.091661
SMRT 07JUN12 2007.4442 54263 1431 2  -63.1   -939 -0.067395   1995659  0.987084   -32 -0.476609  0.0000 0.000557 0.000505 0.002012  0.000350 -0.025767 -0.062094
SMRT 07JUN13 2007.4470 54264 1431 3  -63.1   -939 -0.064450   1995659  0.987627   -32 -0.474457  0.0000 0.000551 0.000489 0.001938  0.003317 -0.035713 -0.071296
SMRT 07JUN14 2007.4497 54265 1431 4  -63.1   -939 -0.066850   1995659  0.989272   -32 -0.480953  0.0000 0.000550 0.000488 0.001940 -0.008046 -0.040576 -0.074344
SMRT 07JUN15 2007.4524 54266 1431 5  -63.1   -939 -0.059507   1995659  0.987908   -32 -0.482465  0.0000 0.000556 0.000488 0.001946  0.000084 -0.024953 -0.099177
SMRT 07JUN16 2007.4552 54267 1431 6  -63.1   -939 -0.049484   1995659  0.990361   -32 -0.480650  0.0000 0.000554 0.000488 0.001939 -0.001758 -0.025905 -0.087389
SMRT 07JUN17 2007.4579 54268 1432 0  -63.1   -939 -0.056985   1995659  0.989776   -32 -0.481014  0.0000 0.000565 0.000499 0.002002 -0.001049 -0.022916 -0.090254
SMRT 07JUN18 2007.4606 54269 1432 1  -63.1   -939 -0.067890   1995659  0.990755   -32 -0.485793  0.0000 0.000567 0.000495 0.001990  0.018914  0.013988 -0.075386
SMRT 07JUN19 2007.4634 54270 1432 2  -63.1   -939 -0.060984   1995659  0.992552   -32 -0.483611  0.0000 0.000558 0.000496 0.001965 -0.005728 -0.029070 -0.087174
SMRT 07JUN20 2007.4661 54271 1432 3  -63.1   -939 -0.065766   1995659  0.988488   -32 -0.485628  0.0000 0.000550 0.000496 0.001950 -0.002170 -0.042544 -0.076137
SMRT 07JUN21 2007.4689 54272 1432 4  -63.1   -939 -0.065079   1995659  0.988160   -32 -0.484099  0.0000 0.000548 0.000486 0.001919  0.008182 -0.049567 -0.089569
SMRT 07JUN22 2007.4716 54273 1432 5  -63.1   -939 -0.058383   1995659  0.987652   -32 -0.482227  0.0000 0.000549 0.000491 0.001941  0.013394 -0.056846 -0.091246
SMRT 07JUN23 2007.4743 54274 1432 6  -63.1   -939 -0.062253   1995659  0.988419   -32 -0.476880  0.0000 0.000544 0.000486 0.001913  0.010568 -0.051950 -0.085434
SMRT 07JUN24 2007.4771 54275 1433 0  -63.1   -939 -0.065137   1995659  0.989133   -32 -0.479661  0.0000 0.000569 0.000510 0.002033  0.032554 -0.054620 -0.072141
SMRT 07JUN25 2007.4798 54276 1433 1  -63.1   -939 -0.055310   1995659  0.991186   -32 -0.490152  0.0000 0.000557 0.000492 0.001985  0.015334 -0.039379 -0.085801
SMRT 07JUN26 2007.4825 54277 1433 2  -63.1   -939 -0.057807   1995659  0.990786   -32 -0.492199  0.0000 0.000548 0.000487 0.001921  0.007518 -0.048858 -0.088912
SMRT 07JUN27 2007.4853 54278 1433 3  -63.1   -939 -0.061991   1995659  0.991504   -32 -0.488334  0.0000 0.000563 0.000496 0.001973  0.021991 -0.031338 -0.070169
SMRT 07JUN28 2007.4880 54279 1433 4  -63.1   -939 -0.063764   1995659  0.989188   -32 -0.491796  0.0000 0.000556 0.000490 0.001941  0.014194 -0.037757 -0.079124
SMRT 07JUN29 2007.4908 54280 1433 5  -63.1   -939 -0.060002   1995659  0.989672   -32 -0.484619  0.0000 0.000547 0.000495 0.001923  0.004059 -0.048448 -0.060759
SMRT 07JUN30 2007.4935 54281 1433 6  -63.1   -939 -0.065389   1995659  0.995933   -32 -0.468084  0.0000 0.000562 0.000501 0.002000  0.001186 -0.047540 -0.072782
SMRT 07JUL01 2007.4962 54282 1434 0  -63.1   -939 -0.062485   1995659  0.993739   -32 -0.479927  0.0000 0.000555 0.000494 0.001966 -0.010770 -0.036082 -0.083146
SMRT 07JUL02 2007.4990 54283 1434 1  -63.1   -939 -0.066035   1995659  0.990401   -32 -0.479147  0.0000 0.000546 0.000488 0.001926 -0.004047 -0.042159 -0.086232
SMRT 07JUL03 2007.5017 54284 1434 2  -63.1   -939 -0.064447   1995659  0.993091   -32 -0.475468  0.0000 0.000546 0.000493 0.001935 -0.003232 -0.053749 -0.060416
SMRT 07JUL04 2007.5044 54285 1434 3  -63.1   -939 -0.059078   1995659  0.989509   -32 -0.473598  0.0000 0.000547 0.000493 0.001929  0.002326 -0.052731 -0.074077
SMRT 07JUL05 2007.5072 54286 1434 4  -63.1   -939 -0.060741   1995659  0.993860   -32 -0.481988  0.0000 0.000555 0.000488 0.001930  0.009732 -0.047789 -0.083711
SMRT 07JUL06 2007.5099 54287 1434 5  -63.1   -939 -0.059339   1995659  0.991629   -32 -0.478133  0.0000 0.000553 0.000487 0.001943  0.006363 -0.030038 -0.104626
SMRT 07JUL07 2007.5127 54288 1434 6  -63.1   -939 -0.064593   1995659  0.992306   -32 -0.486500  0.0000 0.000553 0.000489 0.001940 -0.002310 -0.043052 -0.111236
SMRT 07JUL08 2007.5154 54289 1435 0  -63.1   -939 -0.055178   1995659  0.994206   -32 -0.488062  0.0000 0.000562 0.000491 0.001957 -0.001139 -0.034996 -0.096379
SMRT 07JUL09 2007.5181 54290 1435 1  -63.1   -939 -0.051372   1995659  0.989379   -32 -0.483205  0.0000 0.000546 0.000490 0.001919 -0.007487 -0.049375 -0.083404
SMRT 07JUL10 2007.5209 54291 1435 2  -63.1   -939 -0.066700   1995659  0.995178   -32 -0.484536  0.0000 0.000547 0.000488 0.001931  0.012305 -0.047784 -0.095685
SMRT 07JUL11 2007.5236 54292 1435 3  -63.1   -939 -0.062326   1995659  0.991546   -32 -0.484377  0.0000 0.000547 0.000491 0.001924  0.003930 -0.064104 -0.089500
SMRT 07JUL12 2007.5264 54293 1435 4  -63.1   -939 -0.060402   1995659  0.990725   -32 -0.489841  0.0000 0.000553 0.000493 0.001941  0.007387 -0.048666 -0.100589
SMRT 07JUL13 2007.5291 54294 1435 5  -63.1   -939 -0.064254   1995659  0.990831   -32 -0.483076  0.0000 0.000548 0.000490 0.001912  0.006234 -0.071159 -0.102630
SMRT 07JUL14 2007.5318 54295 1435 6  -63.1   -939 -0.061435   1995659  0.991325   -32 -0.467812  0.0000 0.000543 0.000489 0.001901  0.006086 -0.060800 -0.097164
SMRT 07JUL15 2007.5346 54296 1436 0  -63.1   -939 -0.056746   1995659  0.995590   -32 -0.481605  0.0000 0.000558 0.000493 0.001932  0.006936 -0.044336 -0.088690
SMRT 07JUL16 2007.5373 54297 1436 1  -63.1   -939 -0.059321   1995659  0.990523   -32 -0.478706  0.0000 0.000550 0.000493 0.001933  0.013154 -0.087644 -0.090073
SMRT 07JUL17 2007.5400 54298 1436 2  -63.1   -939 -0.061602   1995659  0.992881   -32 -0.480280  0.0000 0.000550 0.000498 0.001946  0.012180 -0.079732 -0.089392
SMRT 07JUL18 2007.5428 54299 1436 3  -63.1   -939 -0.063429   1995659  0.988916   -32 -0.490449  0.0000 0.000557 0.000493 0.001948 -0.011383 -0.027392 -0.086109
SMRT 07JUL19 2007.5455 54300 1436 4  -63.1   -939 -0.065568   1995659  0.992644   -32 -0.473427  0.0000 0.000553 0.000500 0.001992 -0.006119 -0.061342 -0.051024
SMRT 07JUL20 2007.5483 54301 1436 5  -63.1   -939 -0.058577   1995659  0.991875   -32 -0.480633  0.0000 0.000545 0.000488 0.001899  0.006656 -0.051386 -0.089587
SMRT 07JUL21 2007.5510 54302 1436 6  -63.1   -939 -0.058976   1995659  0.992598   -32 -0.487383  0.0000 0.000549 0.000502 0.001940  0.016618 -0.063537 -0.075140
SMRT 07JUL22 2007.5537 54303 1437 0  -63.1   -939 -0.056567   1995659  0.994981   -32 -0.500114  0.0000 0.000556 0.000496 0.001940  0.015885 -0.046332 -0.076126
SMRT 07JUL23 2007.5565 54304 1437 1  -63.1   -939 -0.062041   1995659  0.994202   -32 -0.496476  0.0000 0.000549 0.000494 0.001916  0.019590 -0.068652 -0.087335
SMRT 07JUL24 2007.5592 54305 1437 2  -63.1   -939 -0.063114   1995659  0.991539   -32 -0.489623  0.0000 0.000542 0.000491 0.001898  0.006679 -0.049307 -0.077024
SMRT 07JUL25 2007.5619 54306 1437 3  -63.1   -939 -0.065696   1995659  0.992928   -32 -0.492548  0.0000 0.000547 0.000493 0.001916  0.009768 -0.044309 -0.089237
SMRT 07JUL26 2007.5647 54307 1437 4  -63.1   -939 -0.063981   1995659  0.989745   -32 -0.485833  0.0000 0.000552 0.000498 0.001927  0.008211 -0.050373 -0.067866
SMRT 07JUL27 2007.5674 54308 1437 5  -63.1   -939 -0.059768   1995659  0.990638   -32 -0.471634  0.0000 0.000549 0.000500 0.001931  0.008183 -0.056654 -0.068020
SMRT 07JUL28 2007.5702 54309 1437 6  -63.1   -939 -0.061699   1995659  0.992539   -32 -0.486472  0.0000 0.000548 0.000492 0.001934  0.010694 -0.073264 -0.104767
SMRT 07JUL29 2007.5729 54310 1438 0  -63.1   -939 -0.050420   1995659  0.992025   -32 -0.484798  0.0000 0.000551 0.000498 0.001931  0.015795 -0.054887 -0.068213
SMRT 07JUL30 2007.5756 54311 1438 1  -63.1   -939 -0.062023   1995659  0.994689   -32 -0.485139  0.0000 0.000555 0.000498 0.001965  0.011729 -0.089267 -0.088856
SMRT 07JUL31 2007.5784 54312 1438 2  -63.1   -939 -0.058595   1995659  0.994124   -32 -0.481573  0.0000 0.000555 0.000493 0.001950  0.002818 -0.076111 -0.109062
SMRT 07AUG01 2007.5811 54313 1438 3  -63.1   -939 -0.055766   1995659  0.994757   -32 -0.486561  0.0000 0.000555 0.000496 0.001988 -0.003809 -0.065185 -0.095935
SMRT 07AUG02 2007.5838 54314 1438 4  -63.1   -939 -0.054175   1995659  0.995068   -32 -0.490885  0.0000 0.000564 0.000497 0.001975 -0.000648 -0.041969 -0.081219
SMRT 07AUG03 2007.5866 54315 1438 5  -63.1   -939 -0.053590   1995659  0.992742   -32 -0.486405  0.0000 0.000553 0.000498 0.001955 -0.003782 -0.054185 -0.055018
SMRT 07AUG04 2007.5893 54316 1438 6  -63.1   -939 -0.061040   1995659  0.994243   -32 -0.490726  0.0000 0.000551 0.000495 0.001929  0.001382 -0.051055 -0.081994
SMRT 07AUG05 2007.5921 54317 1439 0  -63.1   -939 -0.062266   1995659  0.990527   -32 -0.482331  0.0000 0.000554 0.000488 0.001935 -0.006230 -0.069098 -0.114068
