site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SROD 05OCT01 2005.7495 53644 1342 6  -71.3  -4321 -0.531133   2154275  0.927280    98  0.776083  0.0000 0.000661 0.000546 0.002426  0.093944 -0.122315 -0.103437
SROD 05OCT02 2005.7522 53645 1343 0  -71.3  -4321 -0.528260   2154275  0.927945    98  0.781118  0.0000 0.000669 0.000562 0.002504  0.114297 -0.160384 -0.092376
SROD 05OCT03 2005.7550 53646 1343 1  -71.3  -4321 -0.531032   2154275  0.930155    98  0.781961  0.0000 0.000680 0.000568 0.002507  0.158705 -0.153017 -0.096193
SROD 05OCT04 2005.7577 53647 1343 2  -71.3  -4321 -0.529380   2154275  0.925487    98  0.776396  0.0000 0.000702 0.000562 0.002458  0.127552 -0.193034 -0.056094
SROD 05OCT05 2005.7604 53648 1343 3  -71.3  -4321 -0.528570   2154275  0.927297    98  0.788039  0.0000 0.000672 0.000552 0.002388  0.118016 -0.144596 -0.077877
SROD 05OCT06 2005.7632 53649 1343 4  -71.3  -4321 -0.529166   2154275  0.929001    98  0.787682  0.0000 0.000684 0.000555 0.002417  0.114625 -0.157081 -0.087332
SROD 05OCT07 2005.7659 53650 1343 5  -71.3  -4321 -0.530590   2154275  0.928638    98  0.780753  0.0000 0.000700 0.000563 0.002475  0.120548 -0.148647 -0.099358
SROD 05OCT08 2005.7687 53651 1343 6  -71.3  -4321 -0.530422   2154275  0.925078    98  0.794197  0.0000 0.000684 0.000578 0.002466  0.089520 -0.106898 -0.025242
SROD 05OCT09 2005.7714 53652 1344 0  -71.3  -4321 -0.529787   2154275  0.926350    98  0.787518  0.0000 0.000673 0.000556 0.002397  0.118287 -0.127081 -0.062025
SROD 05OCT10 2005.7741 53653 1344 1  -71.3  -4321 -0.530543   2154275  0.924570    98  0.781338  0.0000 0.000668 0.000549 0.002415  0.089768 -0.140400 -0.045900
SROD 05OCT11 2005.7769 53654 1344 2  -71.3  -4321 -0.528526   2154275  0.929236    98  0.805605  0.0000 0.000663 0.000556 0.002457  0.120359 -0.171538 -0.106720
