site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
STB3 14MAR24 2014.2259 56740 1785 1  -96.7   2147  0.435931   5491986  0.063273   241  0.698400  0.0000 0.001152 0.001611 0.004954  0.132286 -0.077623  0.106749
STB3 14MAR25 2014.2286 56741 1785 2  -96.7   2147  0.436047   5491986  0.064074   241  0.700136  0.0000 0.000540 0.000729 0.002187  0.017654  0.069801  0.035487
STB3 14MAR26 2014.2313 56742 1785 3  -96.7   2147  0.439662   5491986  0.063839   241  0.708936  0.0000 0.000541 0.000727 0.002179  0.015244  0.061726 -0.003701
STB3 14MAR27 2014.2341 56743 1785 4  -96.7   2147  0.439385   5491986  0.065927   241  0.712029  0.0000 0.000539 0.000728 0.002165  0.026276  0.042543  0.012288
STB3 14MAR28 2014.2368 56744 1785 5  -96.7   2147  0.437743   5491986  0.065152   241  0.706893  0.0000 0.000551 0.000741 0.002218  0.010207  0.082031  0.015150
STB3 14MAR29 2014.2396 56745 1785 6  -96.7   2147  0.440034   5491986  0.063774   241  0.707343  0.0000 0.000540 0.000734 0.002186  0.031633  0.032604  0.015057
STB3 14MAR30 2014.2423 56746 1786 0  -96.7   2147  0.439314   5491986  0.064950   241  0.711448  0.0000 0.000538 0.000727 0.002167  0.040899  0.032000 -0.002026
STB3 14MAR31 2014.2450 56747 1786 1  -96.7   2147  0.440280   5491986  0.066053   241  0.711995  0.0000 0.000543 0.000735 0.002197  0.030729  0.018566 -0.001294
STB3 14APR01 2014.2478 56748 1786 2  -96.7   2147  0.437288   5491986  0.063967   241  0.713960  0.0000 0.000555 0.000769 0.002290 -0.004535  0.022461  0.029407
STB3 14APR02 2014.2505 56749 1786 3  -96.7   2147  0.437252   5491986  0.064383   241  0.710262  0.0000 0.000551 0.000745 0.002223  0.020245  0.027045  0.005500
STB3 14APR03 2014.2533 56750 1786 4  -96.7   2147  0.442392   5491986  0.064478   241  0.707866  0.0000 0.000545 0.000741 0.002201  0.028057  0.033540  0.012041
STB3 14APR04 2014.2560 56751 1786 5  -96.7   2147  0.434510   5491986  0.067365   241  0.710838  0.0000 0.000538 0.000737 0.002181  0.037017  0.014979  0.022023
