site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SUAR 12MAY31 2012.4134 56078 1690 4  -61.9  -2768 -0.588089  -4147396 -0.122923   264  0.003009  0.0000 0.000488 0.000565 0.001826  0.011918  0.077505  0.206678
SUAR 12JUN01 2012.4162 56079 1690 5  -61.9  -2768 -0.586023  -4147396 -0.124218   264  0.009244  0.0000 0.000489 0.000568 0.001837  0.009936  0.064780  0.211052
SUAR 12JUN02 2012.4189 56080 1690 6  -61.9  -2768 -0.588529  -4147396 -0.122961   264  0.008929  0.0000 0.000498 0.000572 0.001871  0.040618  0.090706  0.198465
SUAR 12JUN03 2012.4216 56081 1691 0  -61.9  -2768 -0.591808  -4147396 -0.122446   264 -0.000574  0.0000 0.000492 0.000567 0.001837  0.010485  0.071257  0.199562
SUAR 12JUN04 2012.4244 56082 1691 1  -61.9  -2768 -0.591235  -4147396 -0.122925   264 -0.001660  0.0000 0.000490 0.000567 0.001854  0.008159  0.070239  0.201352
SUAR 12JUN05 2012.4271 56083 1691 2  -61.9  -2768 -0.587611  -4147396 -0.123154   264 -0.001669  0.0000 0.000493 0.000567 0.001857  0.017075  0.072307  0.211353
SUAR 12JUN06 2012.4298 56084 1691 3  -61.9  -2768 -0.585579  -4147396 -0.122733   264 -0.006347  0.0000 0.000487 0.000563 0.001822  0.006951  0.075483  0.201387
SUAR 12JUN07 2012.4326 56085 1691 4  -61.9  -2768 -0.590514  -4147396 -0.123655   264 -0.005144  0.0000 0.000490 0.000565 0.001827  0.016839  0.086113  0.199215
SUAR 12JUN08 2012.4353 56086 1691 5  -61.9  -2768 -0.590281  -4147396 -0.124537   264  0.000117  0.0000 0.000491 0.000563 0.001838  0.010491  0.077199  0.184569
SUAR 12JUN09 2012.4381 56087 1691 6  -61.9  -2768 -0.588143  -4147396 -0.121030   264  0.010288  0.0000 0.000493 0.000567 0.001844  0.015968  0.085430  0.182807
SUAR 12JUN10 2012.4408 56088 1692 0  -61.9  -2768 -0.589554  -4147396 -0.123312   264  0.005985  0.0000 0.000496 0.000569 0.001860  0.022207  0.096555  0.194138
SUAR 12JUN11 2012.4435 56089 1692 1  -61.9  -2768 -0.587985  -4147396 -0.123422   264  0.010269  0.0000 0.000490 0.000567 0.001847  0.012640  0.071803  0.204477
SUAR 12JUN12 2012.4463 56090 1692 2  -61.9  -2768 -0.589261  -4147396 -0.121748   264  0.015281  0.0000 0.000487 0.000562 0.001820  0.011819  0.076697  0.196075
SUAR 12JUN13 2012.4490 56091 1692 3  -61.9  -2768 -0.592935  -4147396 -0.121754   264  0.009587  0.0000 0.000489 0.000565 0.001825  0.007787  0.053310  0.196167
SUAR 12JUN14 2012.4517 56092 1692 4  -61.9  -2768 -0.587704  -4147396 -0.123721   264  0.008914  0.0000 0.000493 0.000569 0.001845  0.004198  0.060062  0.187213
SUAR 12JUN15 2012.4545 56093 1692 5  -61.9  -2768 -0.590484  -4147396 -0.119498   264  0.003855  0.0000 0.000501 0.000584 0.001887  0.010242  0.069941  0.202253
SUAR 12JUN16 2012.4572 56094 1692 6  -61.9  -2768 -0.589775  -4147396 -0.119908   264  0.007910  0.0000 0.000498 0.000584 0.001881  0.009376  0.068147  0.206864
SUAR 12JUN17 2012.4600 56095 1693 0  -61.9  -2768 -0.590171  -4147396 -0.122966   264  0.007167  0.0000 0.000488 0.000568 0.001825  0.014433  0.063246  0.204376
SUAR 12JUN18 2012.4627 56096 1693 1  -61.9  -2768 -0.590932  -4147396 -0.121043   264  0.009313  0.0000 0.000492 0.000573 0.001848  0.021749  0.084673  0.195096
