site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TAYS 10APR11 2010.2752 55297 1579 0   34.9  -2773 -0.346589   3159564  0.300874   452  0.959829  0.0083 0.000659 0.000757 0.002796 -0.033235 -0.168843 -0.134350
TAYS 10APR12 2010.2779 55298 1579 1   34.9  -2773 -0.346194   3159564  0.299779   452  0.954243  0.0083 0.000534 0.000584 0.002187 -0.017075 -0.087005 -0.112937
TAYS 10APR13 2010.2806 55299 1579 2   34.9  -2773 -0.345090   3159564  0.299941   452  0.955849  0.0083 0.000537 0.000580 0.002189 -0.008892 -0.103384 -0.122100
TAYS 10APR14 2010.2834 55300 1579 3   34.9  -2773 -0.346320   3159564  0.301046   452  0.953360  0.0083 0.000549 0.000615 0.002246  0.006828 -0.073429 -0.037331
TAYS 10APR15 2010.2861 55301 1579 4   34.9  -2773 -0.346160   3159564  0.299890   452  0.954900  0.0083 0.000553 0.000604 0.002220 -0.010616 -0.082199 -0.092087
TAYS 10APR16 2010.2888 55302 1579 5   34.9  -2773 -0.344767   3159564  0.298958   452  0.959010  0.0083 0.000532 0.000570 0.002121 -0.024071 -0.073215 -0.132504
TAYS 10APR17 2010.2916 55303 1579 6   34.9  -2773 -0.346852   3159564  0.299397   452  0.954147  0.0083 0.000539 0.000575 0.002155 -0.033311 -0.083623 -0.120780
TAYS 10APR18 2010.2943 55304 1580 0   34.9  -2773 -0.347611   3159564  0.298627   452  0.964765  0.0083 0.000537 0.000574 0.002158 -0.019005 -0.084594 -0.127810
TAYS 10APR19 2010.2971 55305 1580 1   34.9  -2773 -0.346190   3159564  0.299980   452  0.959595  0.0083 0.000536 0.000570 0.002130 -0.024153 -0.079949 -0.136055
TAYS 10APR20 2010.2998 55306 1580 2   34.9  -2773 -0.346473   3159564  0.300155   452  0.963323  0.0083 0.000556 0.000584 0.002173 -0.025597 -0.090497 -0.110524
TAYS 10APR21 2010.3025 55307 1580 3   34.9  -2773 -0.346172   3159564  0.300489   452  0.957368  0.0083 0.000542 0.000590 0.002191 -0.032717 -0.080142 -0.114741
TAYS 10APR22 2010.3053 55308 1580 4   34.9  -2773 -0.347461   3159564  0.299950   452  0.939971  0.0083 0.000550 0.000588 0.002174 -0.008778 -0.081374 -0.096054
TAYS 10APR23 2010.3080 55309 1580 5   34.9  -2773 -0.344618   3159564  0.298362   452  0.957518  0.0083 0.000540 0.000598 0.002213 -0.003211 -0.047018 -0.058268
TAYS 10APR24 2010.3107 55310 1580 6   34.9  -2773 -0.346831   3159564  0.299474   452  0.957904  0.0083 0.000543 0.000594 0.002245 -0.021924 -0.088445 -0.050674
TAYS 10APR25 2010.3135 55311 1581 0   34.9  -2773 -0.345614   3159564  0.300459   452  0.952328  0.0083 0.000539 0.000586 0.002202 -0.022548 -0.058958 -0.078152
TAYS 10APR26 2010.3162 55312 1581 1   34.9  -2773 -0.346302   3159564  0.300162   452  0.953670  0.0083 0.000537 0.000580 0.002165 -0.024000 -0.064008 -0.121421
