site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TN15 08JAN08 2008.0192 54473 1461 2  -83.8   2655  0.387883   3985797  0.290922   270  0.147996  0.0000 0.000536 0.000587 0.001979  0.046991 -0.006727 -0.198847
TN15 08JAN09 2008.0219 54474 1461 3  -83.8   2655  0.387200   3985797  0.288996   270  0.145616  0.0000 0.000536 0.000584 0.001974  0.054899  0.015320 -0.185639
TN15 08JAN10 2008.0246 54475 1461 4  -83.8   2655  0.388447   3985797  0.286406   270  0.144425  0.0000 0.000529 0.000586 0.001931  0.012827  0.002668 -0.168361
TN15 08JAN11 2008.0274 54476 1461 5  -83.8   2655  0.387944   3985797  0.289548   270  0.148855  0.0000 0.000522 0.000589 0.001951  0.057660 -0.033990 -0.200484
TN15 08JAN12 2008.0301 54477 1461 6  -83.8   2655  0.387117   3985797  0.290990   270  0.142007  0.0000 0.000518 0.000576 0.001893  0.032453 -0.000743 -0.183873
TN15 08JAN13 2008.0329 54478 1462 0  -83.8   2655  0.386676   3985797  0.292182   270  0.135842  0.0000 0.000521 0.000573 0.001901  0.031739 -0.003873 -0.189651
TN15 08JAN14 2008.0356 54479 1462 1  -83.8   2655  0.387014   3985797  0.290043   270  0.134226  0.0000 0.000525 0.000580 0.001956  0.029419  0.033743 -0.187162
TN15 08JAN15 2008.0383 54480 1462 2  -83.8   2655  0.387866   3985797  0.290980   270  0.132987  0.0000 0.000524 0.000577 0.001928  0.021796  0.015230 -0.188279
TN15 08JAN16 2008.0411 54481 1462 3  -83.8   2655  0.387441   3985797  0.289951   270  0.142426  0.0000 0.000528 0.000589 0.001947  0.038119 -0.007257 -0.181743
TN15 08JAN17 2008.0438 54482 1462 4  -83.8   2655  0.386334   3985797  0.290543   270  0.137788  0.0000 0.000522 0.000587 0.001935  0.034066  0.005360 -0.183448
TN15 08JAN18 2008.0465 54483 1462 5  -83.8   2655  0.387770   3985797  0.289827   270  0.141766  0.0000 0.000521 0.000591 0.001941  0.014778 -0.010854 -0.208720
TN15 08JAN19 2008.0493 54484 1462 6  -83.8   2655  0.386101   3985797  0.291799   270  0.142369  0.0000 0.000522 0.000577 0.001913  0.026952  0.013388 -0.166820
TN15 08JAN20 2008.0520 54485 1463 0  -83.8   2655  0.385072   3985797  0.291420   270  0.128073  0.0000 0.000522 0.000578 0.001930  0.026073  0.020251 -0.178866
TN15 08JAN21 2008.0548 54486 1463 1  -83.8   2655  0.385332   3985797  0.290391   270  0.132618  0.0000 0.000518 0.000575 0.001915  0.021309 -0.004338 -0.185890
TN15 08JAN22 2008.0575 54487 1463 2  -83.8   2655  0.387411   3985797  0.290046   270  0.135838  0.0000 0.000519 0.000579 0.001929  0.025416  0.005248 -0.164499
TN15 08JAN23 2008.0602 54488 1463 3  -83.8   2655  0.385330   3985797  0.289086   270  0.138286  0.0000 0.000506 0.000571 0.001848  0.032263 -0.033030 -0.177353
TN15 08JAN24 2008.0630 54489 1463 4  -83.8   2655  0.384976   3985797  0.291597   270  0.136373  0.0000 0.000519 0.000574 0.001902  0.039645 -0.023186 -0.182327
TN15 08JAN26 2008.0684 54491 1463 6  -83.8   2655  0.386817   3985797  0.290384   270  0.132721  0.0000 0.000515 0.000570 0.001890  0.017438  0.002846 -0.187640
