site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TNOR 18NOV08 2018.8528 58430 2026 4  -80.5  -3029 -0.729850   4762719  0.968828   232  0.499241  0.0000 0.000455 0.000585 0.001702  0.006610 -0.021093 -0.075792
TNOR 18NOV09 2018.8556 58431 2026 5  -80.5  -3029 -0.728706   4762719  0.970780   232  0.493055  0.0000 0.000457 0.000591 0.001721  0.006612 -0.013130 -0.074915
TNOR 18NOV10 2018.8583 58432 2026 6  -80.5  -3029 -0.730154   4762719  0.967455   232  0.489266  0.0000 0.000456 0.000591 0.001713 -0.001411 -0.016930 -0.070158
TNOR 18NOV11 2018.8611 58433 2027 0  -80.5  -3029 -0.732378   4762719  0.970328   232  0.497787  0.0000 0.000457 0.000585 0.001713  0.004380 -0.008335 -0.068094
TNOR 18NOV12 2018.8638 58434 2027 1  -80.5  -3029 -0.729605   4762719  0.969206   232  0.498651  0.0000 0.000470 0.000601 0.001756  0.011131 -0.017310 -0.082756
TNOR 18NOV13 2018.8665 58435 2027 2  -80.5  -3029 -0.731104   4762719  0.969425   232  0.502534  0.0000 0.000461 0.000595 0.001734  0.017092 -0.026131 -0.087905
TNOR 18NOV14 2018.8693 58436 2027 3  -80.5  -3029 -0.730742   4762719  0.969503   232  0.494950  0.0000 0.000456 0.000592 0.001714 -0.000926 -0.022054 -0.072207
TNOR 18NOV15 2018.8720 58437 2027 4  -80.5  -3029 -0.730024   4762719  0.968361   232  0.502748  0.0000 0.000455 0.000592 0.001721  0.003508 -0.001514 -0.061549
TNOR 18NOV16 2018.8747 58438 2027 5  -80.5  -3029 -0.731414   4762719  0.965610   232  0.499756  0.0000 0.000457 0.000593 0.001720  0.006444 -0.021247 -0.064988
TNOR 18NOV17 2018.8775 58439 2027 6  -80.5  -3029 -0.730320   4762719  0.967181   232  0.497845  0.0000 0.000473 0.000606 0.001766  0.001268 -0.010072 -0.075598
TNOR 18NOV18 2018.8802 58440 2028 0  -80.5  -3029 -0.729144   4762719  0.967405   232  0.498464  0.0000 0.000474 0.000612 0.001789 -0.000177  0.003225 -0.096666
