site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TXFV 12JUN17 2012.4600 56095 1693 0  -98.2   3925  0.389967   3224091  0.916046   105  0.546306  0.0000 0.000488 0.000534 0.001851  0.041110 -0.022997 -0.058923
TXFV 12JUN18 2012.4627 56096 1693 1  -98.2   3925  0.387999   3224091  0.918704   105  0.557771  0.0000 0.000484 0.000528 0.001835  0.050638 -0.034949 -0.071391
TXFV 12JUN19 2012.4654 56097 1693 2  -98.2   3925  0.390403   3224091  0.918628   105  0.559105  0.0000 0.000493 0.000543 0.001866  0.064025 -0.039494 -0.072428
TXFV 12JUN20 2012.4682 56098 1693 3  -98.2   3925  0.392022   3224091  0.916174   105  0.551999  0.0000 0.000497 0.000560 0.001902  0.034683 -0.045032 -0.035539
TXFV 12JUN21 2012.4709 56099 1693 4  -98.2   3925  0.390175   3224091  0.918280   105  0.550836  0.0000 0.000490 0.000544 0.001868  0.052915 -0.022549 -0.048804
TXFV 12JUN22 2012.4736 56100 1693 5  -98.2   3925  0.389730   3224091  0.918924   105  0.539859  0.0000 0.000487 0.000538 0.001851  0.035722 -0.015120 -0.050358
TXFV 12JUN23 2012.4764 56101 1693 6  -98.2   3925  0.392793   3224091  0.916867   105  0.539146  0.0000 0.000487 0.000537 0.001861  0.040816 -0.013976 -0.059771
TXFV 12JUN24 2012.4791 56102 1694 0  -98.2   3925  0.393225   3224091  0.918430   105  0.540040  0.0000 0.000484 0.000531 0.001850  0.041643 -0.009841 -0.067536
TXFV 12JUN25 2012.4819 56103 1694 1  -98.2   3925  0.387516   3224091  0.918646   105  0.538356  0.0000 0.000484 0.000538 0.001873  0.026669  0.000052 -0.057407
TXFV 12JUN26 2012.4846 56104 1694 2  -98.2   3925  0.388238   3224091  0.920978   105  0.544115  0.0000 0.000483 0.000537 0.001851  0.034342 -0.020970 -0.038525
TXFV 12JUN27 2012.4873 56105 1694 3  -98.2   3925  0.392184   3224091  0.917697   105  0.547422  0.0000 0.000489 0.000543 0.001878  0.037084  0.000514 -0.054623
TXFV 12JUN28 2012.4901 56106 1694 4  -98.2   3925  0.392114   3224091  0.918941   105  0.533532  0.0000 0.000496 0.000542 0.001888  0.062350 -0.036587 -0.064600
TXFV 12JUN29 2012.4928 56107 1694 5  -98.2   3925  0.389799   3224091  0.917640   105  0.555124  0.0000 0.000501 0.000541 0.001913  0.044977 -0.015045 -0.066339
TXFV 12JUN30 2012.4956 56108 1694 6  -98.2   3925  0.391567   3224091  0.914737   105  0.545784  0.0000 0.000497 0.000535 0.001873  0.049162 -0.023859 -0.069216
TXFV 12JUL01 2012.4983 56109 1695 0  -98.2   3925  0.387074   3224091  0.919302   105  0.545563  0.0000 0.000493 0.000546 0.001881  0.047253  0.000811 -0.032653
TXFV 12JUL02 2012.5010 56110 1695 1  -98.2   3925  0.392690   3224091  0.917310   105  0.552407  0.0000 0.000491 0.000538 0.001884  0.059514 -0.043962 -0.052062
TXFV 12JUL03 2012.5038 56111 1695 2  -98.2   3925  0.390137   3224091  0.918211   105  0.539474  0.0000 0.000504 0.000546 0.001920  0.052805 -0.036021 -0.060460
TXFV 12JUL04 2012.5065 56112 1695 3  -98.2   3925  0.389905   3224091  0.918159   105  0.533976  0.0000 0.000498 0.000538 0.001898  0.050064 -0.022576 -0.081149
TXFV 12JUL05 2012.5092 56113 1695 4  -98.2   3925  0.392343   3224091  0.918568   105  0.552209  0.0000 0.000502 0.000544 0.001905  0.011143 -0.026231 -0.065889
TXFV 12JUL06 2012.5120 56114 1695 5  -98.2   3925  0.389384   3224091  0.915034   105  0.542384  0.0000 0.000496 0.000546 0.001883  0.017738 -0.021241 -0.023383
TXFV 12JUL07 2012.5147 56115 1695 6  -98.2   3925  0.387701   3224091  0.917098   105  0.534665  0.0000 0.000489 0.000538 0.001857  0.050961 -0.006480 -0.040369
TXFV 12JUL08 2012.5175 56116 1696 0  -98.2   3925  0.387077   3224091  0.919291   105  0.554091  0.0000 0.000489 0.000533 0.001845  0.057034 -0.025808 -0.053747
TXFV 12JUL09 2012.5202 56117 1696 1  -98.2   3925  0.386674   3224091  0.921684   105  0.556605  0.0000 0.000494 0.000537 0.001867  0.044543 -0.015804 -0.065644
