site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
UTHB 17OCT18 2017.7960 58044 1971 3 -111.4  -1033 -0.759590   4485709  0.718308  1701  0.953676  0.0000 0.000453 0.000573 0.001665 -0.004321  0.017276 -0.105064
UTHB 17OCT21 2017.8042 58047 1971 6 -111.4  -1033 -0.760232   4485709  0.718689  1701  0.944878  0.0000 0.000451 0.000570 0.001650 -0.014588  0.001272 -0.114553
UTHB 17OCT22 2017.8070 58048 1972 0 -111.4  -1033 -0.759449   4485709  0.719796  1701  0.952585  0.0000 0.000453 0.000576 0.001663 -0.017945  0.019163 -0.112812
UTHB 17OCT23 2017.8097 58049 1972 1 -111.4  -1033 -0.758406   4485709  0.723868  1701  0.952065  0.0000 0.000452 0.000575 0.001662 -0.014694  0.007593 -0.104512
UTHB 17OCT24 2017.8125 58050 1972 2 -111.4  -1033 -0.757518   4485709  0.719944  1701  0.945893  0.0000 0.000455 0.000575 0.001675 -0.009667  0.016757 -0.111924
UTHB 17OCT26 2017.8179 58052 1972 4 -111.4  -1033 -0.760126   4485709  0.719246  1701  0.953866  0.0000 0.000451 0.000570 0.001658 -0.010178  0.015412 -0.115452
UTHB 17OCT27 2017.8207 58053 1972 5 -111.4  -1033 -0.761803   4485709  0.718593  1701  0.951957  0.0000 0.000460 0.000599 0.001723 -0.005548  0.023355 -0.132753
UTHB 17OCT28 2017.8234 58054 1972 6 -111.4  -1033 -0.761010   4485709  0.720579  1701  0.950012  0.0000 0.000452 0.000579 0.001668 -0.011130  0.012972 -0.102492
UTHB 17OCT29 2017.8261 58055 1973 0 -111.4  -1033 -0.761540   4485709  0.718897  1701  0.950831  0.0000 0.000452 0.000572 0.001654 -0.004214  0.018651 -0.108646
UTHB 17OCT30 2017.8289 58056 1973 1 -111.4  -1033 -0.759742   4485709  0.719915  1701  0.949060  0.0000 0.000452 0.000572 0.001662 -0.012926  0.015510 -0.117162
UTHB 17OCT31 2017.8316 58057 1973 2 -111.4  -1033 -0.761349   4485709  0.718848  1701  0.946936  0.0000 0.000454 0.000570 0.001656 -0.008088  0.013396 -0.113815
UTHB 17NOV01 2017.8344 58058 1973 3 -111.4  -1033 -0.762065   4485709  0.716918  1701  0.945629  0.0000 0.000454 0.000574 0.001670 -0.008114  0.016417 -0.116307
UTHB 17NOV02 2017.8371 58059 1973 4 -111.4  -1033 -0.761954   4485709  0.719986  1701  0.938378  0.0000 0.000458 0.000594 0.001713 -0.053239  0.034770 -0.106106
UTHB 17NOV03 2017.8398 58060 1973 5 -111.4  -1033 -0.765679   4485709  0.717098  1701  0.938014  0.0000 0.000452 0.000572 0.001662 -0.008767  0.024482 -0.104683
UTHB 17NOV05 2017.8453 58062 1974 0 -111.4  -1033 -0.762647   4485709  0.717032  1701  0.942494  0.0000 0.000455 0.000570 0.001659 -0.013715  0.019284 -0.114304
