site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
UTWB 18DEC12 2018.9459 58464 2031 3 -111.8    302  0.268037   4506086  0.615580  1492  0.032164  0.0000 0.000486 0.000608 0.001950  0.039463 -0.209861 -0.071383
UTWB 18DEC13 2018.9487 58465 2031 4 -111.8    302  0.268733   4506086  0.617136  1492  0.032214  0.0000 0.000487 0.000607 0.001943  0.030436 -0.206980 -0.082747
UTWB 18DEC14 2018.9514 58466 2031 5 -111.8    302  0.269679   4506086  0.616688  1492  0.029891  0.0000 0.000504 0.000630 0.002050  0.012986 -0.229537 -0.089577
UTWB 18DEC15 2018.9541 58467 2031 6 -111.8    302  0.273200   4506086  0.616957  1492  0.030018  0.0000 0.000494 0.000616 0.001994  0.035835 -0.204823 -0.059160
UTWB 18DEC16 2018.9569 58468 2032 0 -111.8    302  0.271167   4506086  0.617682  1492  0.033514  0.0000 0.000492 0.000603 0.001966  0.031650 -0.216522 -0.069506
UTWB 18DEC17 2018.9596 58469 2032 1 -111.8    302  0.272235   4506086  0.616041  1492  0.026221  0.0000 0.000490 0.000604 0.001945  0.045260 -0.214589 -0.089186
UTWB 18DEC18 2018.9624 58470 2032 2 -111.8    302  0.270605   4506086  0.616694  1492  0.034123  0.0000 0.000491 0.000606 0.001953  0.035102 -0.210268 -0.087636
UTWB 18DEC19 2018.9651 58471 2032 3 -111.8    302  0.272254   4506086  0.618343  1492  0.029903  0.0000 0.000492 0.000614 0.001967  0.019720 -0.202746 -0.082457
UTWB 18DEC20 2018.9678 58472 2032 4 -111.8    302  0.270998   4506086  0.615874  1492  0.037005  0.0000 0.000498 0.000619 0.001993  0.026637 -0.204429 -0.067947
UTWB 18DEC21 2018.9706 58473 2032 5 -111.8    302  0.269601   4506086  0.617523  1492  0.039222  0.0000 0.000498 0.000620 0.001997  0.015002 -0.198288 -0.112200
UTWB 18DEC22 2018.9733 58474 2032 6 -111.8    302  0.269685   4506086  0.619042  1492  0.026818  0.0000 0.000498 0.000608 0.001980  0.037932 -0.224074 -0.087225
UTWB 18DEC23 2018.9760 58475 2033 0 -111.8    302  0.269698   4506086  0.618477  1492  0.029532  0.0000 0.000490 0.000609 0.001963  0.035988 -0.219501 -0.072048
UTWB 18DEC24 2018.9788 58476 2033 1 -111.8    302  0.270217   4506086  0.622598  1492  0.026615  0.0000 0.000494 0.000614 0.001970  0.031785 -0.206160 -0.086484
UTWB 18DEC25 2018.9815 58477 2033 2 -111.8    302  0.268663   4506086  0.619996  1492  0.030079  0.0000 0.000493 0.000611 0.001985  0.021816 -0.216455 -0.097333
UTWB 18DEC26 2018.9843 58478 2033 3 -111.8    302  0.269530   4506086  0.618821  1492  0.035270  0.0000 0.000799 0.000954 0.003234  0.011216 -0.117346 -0.080533
UTWB 18DEC27 2018.9870 58479 2033 4 -111.8    302  0.272695   4506086  0.624479  1492  0.024764  0.0000 0.000779 0.000883 0.003052  0.031159 -0.179964 -0.077452
UTWB 18DEC28 2018.9897 58480 2033 5 -111.8    302  0.274742   4506086  0.625239  1492  0.014213  0.0000 0.000769 0.000892 0.003050  0.009863 -0.149938 -0.105814
UTWB 18DEC29 2018.9925 58481 2033 6 -111.8    302  0.273115   4506086  0.622125  1492  0.025289  0.0000 0.000774 0.000910 0.003056 -0.000143 -0.122996 -0.087291
UTWB 18DEC30 2018.9952 58482 2034 0 -111.8    302  0.269335   4506086  0.622980  1492  0.035936  0.0000 0.000775 0.000900 0.003053  0.004948 -0.132802 -0.097240
UTWB 18DEC31 2018.9979 58483 2034 1 -111.8    302  0.271308   4506086  0.623903  1492  0.032768  0.0000 0.000777 0.000890 0.003084  0.006006 -0.160209 -0.086543
UTWB 19JAN01 2019.0007 58484 2034 2 -111.8    302  0.275208   4506086  0.619553  1492  0.025485  0.0000 0.000776 0.000888 0.003040  0.004265 -0.146456 -0.081302
UTWB 19JAN02 2019.0034 58485 2034 3 -111.8    302  0.272419   4506086  0.617859  1492  0.035832  0.0000 0.000777 0.000889 0.003069  0.006188 -0.169511 -0.092986
UTWB 19JAN03 2019.0062 58486 2034 4 -111.8    302  0.270645   4506086  0.616732  1492  0.042569  0.0000 0.000776 0.000890 0.003010 -0.030237 -0.102165 -0.119124
UTWB 19JAN04 2019.0089 58487 2034 5 -111.8    302  0.271240   4506086  0.613310  1492  0.044730  0.0000 0.000781 0.000895 0.003032 -0.015531 -0.120437 -0.110052
UTWB 19JAN05 2019.0116 58488 2034 6 -111.8    302  0.270239   4506086  0.613291  1492  0.040183  0.0000 0.000787 0.000912 0.003094 -0.012174 -0.152917 -0.083333
UTWB 19JAN06 2019.0144 58489 2035 0 -111.8    302  0.270838   4506086  0.611692  1492  0.040826  0.0000 0.000779 0.000900 0.003079 -0.016814 -0.149455 -0.063626
UTWB 19JAN07 2019.0171 58490 2035 1 -111.8    302  0.268119   4506086  0.613213  1492  0.069900  0.0000 0.000783 0.000900 0.003060 -0.012083 -0.133795 -0.079890
UTWB 19JAN08 2019.0198 58491 2035 2 -111.8    302  0.269490   4506086  0.618757  1492  0.036764  0.0000 0.000575 0.000743 0.002296  0.035627 -0.221150 -0.084763
UTWB 19JAN09 2019.0226 58492 2035 3 -111.8    302  0.272683   4506086  0.619151  1492  0.030497  0.0000 0.000494 0.000611 0.001960  0.020594 -0.199443 -0.102996
UTWB 19JAN10 2019.0253 58493 2035 4 -111.8    302  0.271688   4506086  0.619458  1492  0.025930  0.0000 0.000501 0.000619 0.002005  0.034525 -0.189046 -0.104147
UTWB 19JAN11 2019.0281 58494 2035 5 -111.8    302  0.268992   4506086  0.619348  1492  0.026243  0.0000 0.000494 0.000630 0.002020  0.028293 -0.205170 -0.082186
UTWB 19JAN12 2019.0308 58495 2035 6 -111.8    302  0.270497   4506086  0.619782  1492  0.026410  0.0000 0.000492 0.000627 0.002018  0.035956 -0.209898 -0.081790
UTWB 19JAN13 2019.0335 58496 2036 0 -111.8    302  0.267864   4506086  0.617585  1492  0.024522  0.0000 0.000487 0.000601 0.001942  0.029614 -0.207714 -0.083326
UTWB 19JAN14 2019.0363 58497 2036 1 -111.8    302  0.268440   4506086  0.616593  1492  0.021498  0.0000 0.000487 0.000605 0.001942  0.021504 -0.188942 -0.088202
UTWB 19JAN15 2019.0390 58498 2036 2 -111.8    302  0.269541   4506086  0.616793  1492  0.028055  0.0000 0.000503 0.000625 0.002005  0.014859 -0.203106 -0.096489
UTWB 19JAN16 2019.0418 58499 2036 3 -111.8    302  0.268828   4506086  0.618311  1492  0.029647  0.0000 0.000743 0.000878 0.002884 -0.027172 -0.080155 -0.102372
UTWB 19JAN17 2019.0445 58500 2036 4 -111.8    302  0.269769   4506086  0.619447  1492  0.032989  0.0000 0.000491 0.000608 0.001977  0.039010 -0.214741 -0.082670
UTWB 19JAN18 2019.0472 58501 2036 5 -111.8    302  0.269014   4506086  0.620835  1492  0.060230  0.0000 0.000528 0.000643 0.002134  0.038706 -0.207642 -0.100180
UTWB 19JAN19 2019.0500 58502 2036 6 -111.8    302  0.266898   4506086  0.617566  1492  0.027757  0.0000 0.000500 0.000617 0.001987  0.020089 -0.204739 -0.100308
UTWB 19JAN20 2019.0527 58503 2037 0 -111.8    302  0.272277   4506086  0.617798  1492  0.028756  0.0000 0.000520 0.000641 0.002077  0.012885 -0.197812 -0.108862
UTWB 19JAN21 2019.0554 58504 2037 1 -111.8    302  0.267632   4506086  0.617342  1492  0.042643  0.0000 0.000534 0.000661 0.002172  0.027189 -0.222421 -0.093693
UTWB 19JAN22 2019.0582 58505 2037 2 -111.8    302  0.269585   4506086  0.624809  1492  0.030949  0.0000 0.000511 0.000632 0.002069  0.030813 -0.224377 -0.117941
UTWB 19JAN23 2019.0609 58506 2037 3 -111.8    302  0.272975   4506086  0.623208  1492  0.025539  0.0000 0.000502 0.000617 0.002014  0.034559 -0.230471 -0.103056
UTWB 19JAN24 2019.0637 58507 2037 4 -111.8    302  0.272539   4506086  0.623702  1492  0.016950  0.0000 0.000497 0.000618 0.001977  0.041102 -0.203781 -0.108268
UTWB 19JAN25 2019.0664 58508 2037 5 -111.8    302  0.268806   4506086  0.619579  1492  0.029996  0.0000 0.000499 0.000619 0.001981  0.042758 -0.208095 -0.105865
UTWB 19JAN26 2019.0691 58509 2037 6 -111.8    302  0.268908   4506086  0.616170  1492  0.026693  0.0000 0.000507 0.000617 0.002003  0.040626 -0.223593 -0.080753
UTWB 19JAN27 2019.0719 58510 2038 0 -111.8    302  0.266973   4506086  0.619993  1492  0.035217  0.0000 0.000510 0.000621 0.002030  0.042188 -0.218696 -0.074580
UTWB 19JAN28 2019.0746 58511 2038 1 -111.8    302  0.269000   4506086  0.621341  1492  0.030824  0.0000 0.000494 0.000610 0.001986  0.038019 -0.214877 -0.089751
UTWB 19JAN29 2019.0773 58512 2038 2 -111.8    302  0.269434   4506086  0.619138  1492  0.025364  0.0000 0.000492 0.000606 0.001965  0.028260 -0.207186 -0.090729
UTWB 19JAN30 2019.0801 58513 2038 3 -111.8    302  0.268871   4506086  0.618252  1492  0.029928  0.0000 0.000500 0.000612 0.002012  0.040045 -0.225306 -0.065318
