site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
VCRA 08JAN18 2008.0465 54483 1462 5   13.5   -203 -0.689257   4733327  0.778285   691  0.659082  0.0000 0.000586 0.000700 0.002341 -0.063323  0.224006 -0.014824
VCRA 08JAN19 2008.0493 54484 1462 6   13.5   -203 -0.687989   4733327  0.776330   691  0.666861  0.0000 0.001026 0.001336 0.004081 -0.066013  0.233029 -0.023361
VCRA 08JAN25 2008.0657 54490 1463 5   13.5   -203 -0.687913   4733327  0.777775   691  0.654076  0.0000 0.000575 0.000688 0.002267 -0.101737  0.201308 -0.001433
VCRA 08JAN26 2008.0684 54491 1463 6   13.5   -203 -0.690077   4733327  0.778862   691  0.654007  0.0000 0.000583 0.000687 0.002288 -0.083504  0.215034 -0.035625
VCRA 08JAN28 2008.0739 54493 1464 1   13.5   -203 -0.688925   4733327  0.777940   691  0.659548  0.0000 0.000575 0.000683 0.002244 -0.080708  0.210097 -0.033642
VCRA 08JAN29 2008.0767 54494 1464 2   13.5   -203 -0.689889   4733327  0.779195   691  0.660554  0.0000 0.000608 0.000726 0.002356 -0.056436  0.197871 -0.089641
VCRA 08JAN30 2008.0794 54495 1464 3   13.5   -203 -0.688670   4733327  0.778934   691  0.661606  0.0000 0.000597 0.000712 0.002320 -0.069085  0.202081 -0.022227
VCRA 08JAN31 2008.0821 54496 1464 4   13.5   -203 -0.688427   4733327  0.779812   691  0.658220  0.0000 0.000575 0.000687 0.002246 -0.091950  0.195157 -0.037646
VCRA 08FEB01 2008.0849 54497 1464 5   13.5   -203 -0.688416   4733327  0.776146   691  0.661792  0.0000 0.000574 0.000685 0.002254 -0.077204  0.202525 -0.044582
VCRA 08FEB02 2008.0876 54498 1464 6   13.5   -203 -0.687129   4733327  0.776678   691  0.671133  0.0000 0.000575 0.000685 0.002258 -0.094284  0.216926 -0.021016
VCRA 08FEB03 2008.0903 54499 1465 0   13.5   -203 -0.686661   4733327  0.778238   691  0.659213  0.0000 0.000576 0.000680 0.002261 -0.078113  0.219294 -0.031831
VCRA 08FEB04 2008.0931 54500 1465 1   13.5   -203 -0.688046   4733327  0.777432   691  0.669812  0.0000 0.000582 0.000686 0.002286 -0.095937  0.219757 -0.034289
VCRA 08FEB05 2008.0958 54501 1465 2   13.5   -203 -0.687198   4733327  0.778949   691  0.657966  0.0000 0.000592 0.000718 0.002300 -0.065793  0.184738 -0.045796
VCRA 08FEB06 2008.0986 54502 1465 3   13.5   -203 -0.688446   4733327  0.777626   691  0.654642  0.0000 0.000601 0.000737 0.002392 -0.067381  0.194911 -0.022182
VCRA 08FEB07 2008.1013 54503 1465 4   13.5   -203 -0.686807   4733327  0.780592   691  0.656771  0.0000 0.000583 0.000697 0.002313 -0.093784  0.223561 -0.057286
VCRA 08FEB10 2008.1095 54506 1466 0   13.5   -203 -0.686953   4733327  0.781294   691  0.655390  0.0000 0.000562 0.000672 0.002194 -0.066741  0.201500 -0.059466
VCRA 08FEB11 2008.1123 54507 1466 1   13.5   -203 -0.685880   4733327  0.780340   691  0.654062  0.0000 0.000564 0.000681 0.002219 -0.081343  0.191470 -0.029496
VCRA 08APR01 2008.2491 54557 1473 2   13.5   -203 -0.688152   4733327  0.782708   691  0.655974  0.0000 0.000566 0.000666 0.002202 -0.077508  0.222664 -0.050089
VCRA 08APR02 2008.2519 54558 1473 3   13.5   -203 -0.686727   4733327  0.782681   691  0.655672  0.0000 0.000569 0.000672 0.002191 -0.069764  0.194450 -0.040953
VCRA 08APR03 2008.2546 54559 1473 4   13.5   -203 -0.685851   4733327  0.781996   691  0.652227  0.0000 0.000565 0.000671 0.002197 -0.069756  0.212184 -0.061238
VCRA 10DEC06 2010.9295 55536 1613 1   13.5   -203 -0.625536   4733327  0.848828   691  0.626126  0.0000 0.000547 0.000667 0.002147  0.013653  0.120517 -0.056672
VCRA 10DEC07 2010.9322 55537 1613 2   13.5   -203 -0.617730   4733327  0.846919   691  0.649927  0.0000 0.000545 0.000672 0.002151  0.018395  0.101611 -0.058354
VCRA 10DEC08 2010.9350 55538 1613 3   13.5   -203 -0.633885   4733327  0.845224   691  0.629266  0.0000 0.000541 0.000665 0.002122  0.018950  0.108749 -0.037837
VCRA 10DEC09 2010.9377 55539 1613 4   13.5   -203 -0.627307   4733327  0.839596   691  0.642230  0.0000 0.000549 0.000661 0.002172  0.006367  0.154849 -0.032509
VCRA 10DEC10 2010.9405 55540 1613 5   13.5   -203 -0.619499   4733327  0.847712   691  0.633773  0.0000 0.000554 0.000663 0.002186  0.021286  0.156965 -0.022657
VCRA 10DEC11 2010.9432 55541 1613 6   13.5   -203 -0.620101   4733327  0.846623   691  0.640229  0.0000 0.000567 0.000679 0.002266  0.011442  0.153893 -0.051192
VCRA 10DEC12 2010.9459 55542 1614 0   13.5   -203 -0.620243   4733327  0.847677   691  0.645151  0.0000 0.000544 0.000648 0.002134  0.012082  0.149627 -0.046220
VCRA 10DEC13 2010.9487 55543 1614 1   13.5   -203 -0.620599   4733327  0.848880   691  0.643542  0.0000 0.000549 0.000652 0.002167  0.018758  0.148532 -0.048821
VCRA 10DEC14 2010.9514 55544 1614 2   13.5   -203 -0.619585   4733327  0.849674   691  0.640784  0.0000 0.000554 0.000662 0.002193  0.018978  0.121886 -0.015178
VCRA 10DEC15 2010.9541 55545 1614 3   13.5   -203 -0.620566   4733327  0.849558   691  0.634525  0.0000 0.000545 0.000657 0.002166 -0.013503  0.135910 -0.013036
VCRA 10DEC16 2010.9569 55546 1614 4   13.5   -203 -0.619584   4733327  0.847468   691  0.645222  0.0000 0.000533 0.000646 0.002090  0.010572  0.123176 -0.039344
VCRA 10DEC17 2010.9596 55547 1614 5   13.5   -203 -0.623790   4733327  0.843301   691  0.639611  0.0000 0.000547 0.000662 0.002133  0.016943  0.119731 -0.047258
VCRA 10DEC18 2010.9624 55548 1614 6   13.5   -203 -0.622863   4733327  0.847756   691  0.661171  0.0000 0.000547 0.000657 0.002157 -0.000839  0.129634 -0.028694
VCRA 10DEC19 2010.9651 55549 1615 0   13.5   -203 -0.619246   4733327  0.849660   691  0.646665  0.0000 0.000546 0.000664 0.002148 -0.007220  0.103559 -0.013080
VCRA 10DEC20 2010.9678 55550 1615 1   13.5   -203 -0.618919   4733327  0.848458   691  0.641912  0.0000 0.000539 0.000657 0.002123 -0.003863  0.101908 -0.015339
VCRA 10DEC21 2010.9706 55551 1615 2   13.5   -203 -0.618936   4733327  0.846043   691  0.651963  0.0000 0.000534 0.000647 0.002107  0.000217  0.118488 -0.029584
VCRA 10DEC22 2010.9733 55552 1615 3   13.5   -203 -0.617916   4733327  0.846697   691  0.654129  0.0000 0.000534 0.000651 0.002104  0.018700  0.098065 -0.050251
VCRA 10DEC23 2010.9760 55553 1615 4   13.5   -203 -0.617556   4733327  0.846197   691  0.641400  0.0000 0.000539 0.000641 0.002096  0.013620  0.122792 -0.049129
VCRA 10DEC24 2010.9788 55554 1615 5   13.5   -203 -0.616527   4733327  0.846405   691  0.639241  0.0000 0.000537 0.000645 0.002091  0.016303  0.106813 -0.046446
VCRA 10DEC25 2010.9815 55555 1615 6   13.5   -203 -0.619329   4733327  0.848328   691  0.643651  0.0000 0.000540 0.000647 0.002110  0.009442  0.121254 -0.043504
VCRA 10DEC26 2010.9843 55556 1616 0   13.5   -203 -0.620580   4733327  0.847410   691  0.642029  0.0000 0.000537 0.000640 0.002090  0.003816  0.123069 -0.039838
VCRA 10DEC27 2010.9870 55557 1616 1   13.5   -203 -0.621103   4733327  0.848285   691  0.638550  0.0000 0.000537 0.000648 0.002099 -0.002995  0.116355 -0.035025
VCRA 10DEC28 2010.9897 55558 1616 2   13.5   -203 -0.620061   4733327  0.848020   691  0.639714  0.0000 0.000548 0.000665 0.002158 -0.038113  0.115212 -0.000584
VCRA 10DEC29 2010.9925 55559 1616 3   13.5   -203 -0.618313   4733327  0.848149   691  0.640855  0.0000 0.000560 0.000664 0.002168 -0.034039  0.139217 -0.018465
VCRA 10DEC30 2010.9952 55560 1616 4   13.5   -203 -0.617344   4733327  0.849672   691  0.630410  0.0000 0.000552 0.000652 0.002156 -0.005030  0.151349 -0.035741
VCRA 10DEC31 2010.9979 55561 1616 5   13.5   -203 -0.619692   4733327  0.849208   691  0.630910  0.0000 0.000548 0.000645 0.002160  0.002423  0.161884 -0.047606
VCRA 11JAN01 2011.0007 55562 1616 6   13.5   -203 -0.619358   4733327  0.847108   691  0.634543  0.0000 0.000540 0.000650 0.002149 -0.011954  0.141765 -0.018198
VCRA 11JAN02 2011.0034 55563 1617 0   13.5   -203 -0.620371   4733327  0.848800   691  0.639312  0.0000 0.000540 0.000640 0.002122 -0.003888  0.149637 -0.041014
VCRA 11JAN03 2011.0062 55564 1617 1   13.5   -203 -0.616783   4733327  0.849200   691  0.641858  0.0000 0.000541 0.000639 0.002097  0.008185  0.137379 -0.047698
VCRA 11JAN04 2011.0089 55565 1617 2   13.5   -203 -0.618321   4733327  0.849915   691  0.631900  0.0000 0.000555 0.000663 0.002155  0.014487  0.132388 -0.063973
VCRA 11JAN05 2011.0116 55566 1617 3   13.5   -203 -0.617658   4733327  0.849746   691  0.641485  0.0000 0.000544 0.000650 0.002121  0.008162  0.121857 -0.048916
VCRA 11JAN06 2011.0144 55567 1617 4   13.5   -203 -0.616096   4733327  0.849475   691  0.644186  0.0000 0.000544 0.000643 0.002147 -0.013879  0.162864 -0.034388
VCRA 11JAN07 2011.0171 55568 1617 5   13.5   -203 -0.615386   4733327  0.849679   691  0.646523  0.0000 0.000540 0.000643 0.002121 -0.009970  0.145491 -0.041793
VCRA 11JAN08 2011.0198 55569 1617 6   13.5   -203 -0.616754   4733327  0.850558   691  0.643425  0.0000 0.000542 0.000650 0.002130  0.000571  0.134390 -0.044911
VCRA 11JAN09 2011.0226 55570 1618 0   13.5   -203 -0.617333   4733327  0.850151   691  0.645650  0.0000 0.000541 0.000649 0.002097  0.014600  0.108748 -0.049294
VCRA 11JAN10 2011.0253 55571 1618 1   13.5   -203 -0.617640   4733327  0.851040   691  0.643129  0.0000 0.000551 0.000676 0.002169  0.029122  0.099416 -0.071149
VCRA 11JAN11 2011.0281 55572 1618 2   13.5   -203 -0.617804   4733327  0.847503   691  0.647417  0.0000 0.000573 0.000692 0.002305 -0.024185  0.166895 -0.061658
VCRA 11JAN12 2011.0308 55573 1618 3   13.5   -203 -0.616987   4733327  0.848964   691  0.643000  0.0000 0.000562 0.000668 0.002258 -0.048314  0.163095 -0.035408
VCRA 11JAN13 2011.0335 55574 1618 4   13.5   -203 -0.617120   4733327  0.851346   691  0.648839  0.0000 0.000541 0.000647 0.002110 -0.004610  0.121421 -0.032560
VCRA 11JAN14 2011.0363 55575 1618 5   13.5   -203 -0.618004   4733327  0.849661   691  0.650389  0.0000 0.000543 0.000646 0.002121  0.004955  0.131092 -0.054449
VCRA 11JAN15 2011.0390 55576 1618 6   13.5   -203 -0.620344   4733327  0.849761   691  0.640021  0.0000 0.000538 0.000648 0.002093 -0.000319  0.110503 -0.045431
VCRA 11JAN16 2011.0418 55577 1619 0   13.5   -203 -0.617123   4733327  0.851200   691  0.643991  0.0000 0.000543 0.000649 0.002132  0.006815  0.127558 -0.046558
VCRA 11JAN17 2011.0445 55578 1619 1   13.5   -203 -0.618104   4733327  0.849121   691  0.640927  0.0000 0.000545 0.000643 0.002151 -0.019694  0.152252 -0.020872
VCRA 11JAN18 2011.0472 55579 1619 2   13.5   -203 -0.618165   4733327  0.850563   691  0.642120  0.0000 0.000548 0.000663 0.002178 -0.030673  0.128846 -0.015707
VCRA 11JAN19 2011.0500 55580 1619 3   13.5   -203 -0.617281   4733327  0.850676   691  0.644369  0.0000 0.000548 0.000661 0.002166 -0.015705  0.140107 -0.035951
VCRA 11JAN20 2011.0527 55581 1619 4   13.5   -203 -0.616646   4733327  0.849877   691  0.645121  0.0000 0.000539 0.000647 0.002102 -0.003075  0.123693 -0.042337
VCRA 11JAN21 2011.0554 55582 1619 5   13.5   -203 -0.614962   4733327  0.851463   691  0.651112  0.0000 0.000540 0.000642 0.002113  0.000927  0.140088 -0.044165
VCRA 11JAN22 2011.0582 55583 1619 6   13.5   -203 -0.614534   4733327  0.846880   691  0.652429  0.0000 0.000874 0.001021 0.003354  0.122118  0.153507 -0.106541
VCRA 11JAN24 2011.0637 55585 1620 1   13.5   -203 -0.608953   4733327  0.845661   691  0.674316  0.0000 0.000656 0.000777 0.002597 -0.069195  0.109696 -0.052851
VCRA 11JAN25 2011.0664 55586 1620 2   13.5   -203 -0.612688   4733327  0.846283   691  0.657791  0.0000 0.000553 0.000658 0.002204 -0.001090  0.149381 -0.045595
VCRA 11JAN26 2011.0691 55587 1620 3   13.5   -203 -0.612730   4733327  0.851481   691  0.647045  0.0000 0.000552 0.000654 0.002145  0.020897  0.111631 -0.037093
VCRA 11JAN27 2011.0719 55588 1620 4   13.5   -203 -0.609257   4733327  0.853875   691  0.644042  0.0000 0.000553 0.000661 0.002175  0.026725  0.106040 -0.075318
VCRA 11JAN28 2011.0746 55589 1620 5   13.5   -203 -0.609137   4733327  0.853957   691  0.645707  0.0000 0.000553 0.000656 0.002199 -0.011360  0.165364 -0.045639
VCRA 11JAN29 2011.0773 55590 1620 6   13.5   -203 -0.612158   4733327  0.850218   691  0.636097  0.0000 0.000560 0.000655 0.002221 -0.010171  0.161447 -0.050115
VCRA 11JAN30 2011.0801 55591 1621 0   13.5   -203 -0.612062   4733327  0.854460   691  0.638187  0.0000 0.000557 0.000648 0.002198 -0.014013  0.167697 -0.039696
VCRA 11JAN31 2011.0828 55592 1621 1   13.5   -203 -0.612626   4733327  0.852969   691  0.634511  0.0000 0.000555 0.000649 0.002193  0.004081  0.160194 -0.060880
VCRA 11FEB01 2011.0856 55593 1621 2   13.5   -203 -0.613548   4733327  0.851464   691  0.641061  0.0000 0.000556 0.000647 0.002184 -0.009810  0.157350 -0.039277
VCRA 11FEB02 2011.0883 55594 1621 3   13.5   -203 -0.613923   4733327  0.850230   691  0.637202  0.0000 0.000552 0.000646 0.002171 -0.022037  0.155958 -0.029019
VCRA 11FEB03 2011.0910 55595 1621 4   13.5   -203 -0.616827   4733327  0.851327   691  0.634105  0.0000 0.000552 0.000647 0.002167 -0.015549  0.145357 -0.048524
VCRA 11FEB04 2011.0938 55596 1621 5   13.5   -203 -0.616067   4733327  0.850350   691  0.634148  0.0000 0.000556 0.000645 0.002177 -0.011429  0.164735 -0.044953
VCRA 11FEB05 2011.0965 55597 1621 6   13.5   -203 -0.618419   4733327  0.849694   691  0.643152  0.0000 0.000548 0.000643 0.002151  0.001078  0.148441 -0.050537
VCRA 11FEB06 2011.0992 55598 1622 0   13.5   -203 -0.617517   4733327  0.852386   691  0.643342  0.0000 0.000543 0.000644 0.002113  0.001768  0.120339 -0.046803
VCRA 11FEB07 2011.1020 55599 1622 1   13.5   -203 -0.619314   4733327  0.849404   691  0.640832  0.0000 0.000544 0.000648 0.002125 -0.018513  0.116823 -0.027540
VCRA 11FEB08 2011.1047 55600 1622 2   13.5   -203 -0.618645   4733327  0.851682   691  0.640711  0.0000 0.000553 0.000644 0.002169 -0.013769  0.142392 -0.043519
