site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
VR02 08AUG25 2008.6489 54703 1494 1   11.0   -457 -0.499723   5033612  0.086234   127  0.390474  0.0000 0.000487 0.000607 0.001740 -0.016384  0.022468 -0.102780
VR02 08AUG27 2008.6543 54705 1494 3   11.0   -457 -0.499396   5033612  0.086496   127  0.404599  0.0000 0.000508 0.000628 0.001816 -0.016415  0.044154 -0.090504
VR02 08AUG28 2008.6571 54706 1494 4   11.0   -457 -0.496908   5033612  0.085648   127  0.408116  0.0000 0.000510 0.000636 0.001817 -0.012107  0.011628 -0.105788
VR02 08AUG29 2008.6598 54707 1494 5   11.0   -457 -0.501513   5033612  0.086266   127  0.408849  0.0000 0.000488 0.000619 0.001760 -0.030337  0.028696 -0.077044
VR02 08AUG30 2008.6626 54708 1494 6   11.0   -457 -0.499136   5033612  0.086555   127  0.395028  0.0000 0.000488 0.000617 0.001768 -0.016592  0.027873 -0.087902
VR02 08AUG31 2008.6653 54709 1495 0   11.0   -457 -0.499707   5033612  0.088205   127  0.396472  0.0000 0.000490 0.000624 0.001787 -0.013934  0.030483 -0.080688
VR02 08SEP03 2008.6735 54712 1495 3   11.0   -457 -0.497916   5033612  0.088696   127  0.396927  0.0000 0.000493 0.000616 0.001765 -0.017065  0.020561 -0.085697
VR02 08SEP04 2008.6762 54713 1495 4   11.0   -457 -0.500076   5033612  0.087073   127  0.407141  0.0000 0.000493 0.000618 0.001789 -0.021761  0.037241 -0.088988
VR02 08SEP05 2008.6790 54714 1495 5   11.0   -457 -0.499951   5033612  0.087162   127  0.391198  0.0000 0.000500 0.000626 0.001824 -0.013869  0.028164 -0.096846
VR02 08SEP06 2008.6817 54715 1495 6   11.0   -457 -0.498362   5033612  0.089690   127  0.402352  0.0000 0.000495 0.000620 0.001788 -0.010847  0.004666 -0.098349
VR02 08SEP08 2008.6872 54717 1496 1   11.0   -457 -0.499723   5033612  0.089275   127  0.395964  0.0000 0.000490 0.000612 0.001762 -0.022116  0.027376 -0.081112
VR02 08SEP09 2008.6899 54718 1496 2   11.0   -457 -0.498850   5033612  0.087164   127  0.398565  0.0000 0.000501 0.000624 0.001801 -0.016343  0.018860 -0.079300
VR02 08SEP10 2008.6927 54719 1496 3   11.0   -457 -0.499981   5033612  0.086400   127  0.402423  0.0000 0.000496 0.000616 0.001779 -0.015586  0.034033 -0.098509
VR02 08SEP11 2008.6954 54720 1496 4   11.0   -457 -0.499282   5033612  0.087458   127  0.402292  0.0000 0.000492 0.000619 0.001777 -0.006526  0.021321 -0.086891
VR02 08SEP12 2008.6982 54721 1496 5   11.0   -457 -0.497327   5033612  0.087435   127  0.393505  0.0000 0.000497 0.000624 0.001789 -0.000731  0.007373 -0.095204
