site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WHTA 10OCT24 2010.8118 55493 1607 0 -112.5  -1275 -0.395623   3720513  0.685344   469  0.863379  0.1800 0.000485 0.000569 0.001890 -0.020158 -0.028781 -0.126379
WHTA 10OCT25 2010.8145 55494 1607 1 -112.5  -1275 -0.398179   3720513  0.688518   469  0.877412  0.1800 0.000487 0.000570 0.001883 -0.037616 -0.000020 -0.119058
WHTA 10OCT26 2010.8172 55495 1607 2 -112.5  -1275 -0.397281   3720513  0.687195   469  0.871108  0.1800 0.000483 0.000570 0.001863 -0.028675 -0.002758 -0.119172
WHTA 10OCT27 2010.8200 55496 1607 3 -112.5  -1275 -0.398475   3720513  0.688155   469  0.858495  0.1800 0.000480 0.000568 0.001860 -0.033890 -0.010744 -0.116969
WHTA 10OCT28 2010.8227 55497 1607 4 -112.5  -1275 -0.399118   3720513  0.687597   469  0.858675  0.1800 0.000526 0.000610 0.002002 -0.038191 -0.014748 -0.116385
WHTA 11OCT23 2011.8084 55857 1659 0 -112.5  -1275 -0.406594   3720513  0.679706   469  0.868477  0.1800 0.000504 0.000598 0.001984 -0.038094 -0.024396 -0.158766
WHTA 11OCT24 2011.8111 55858 1659 1 -112.5  -1275 -0.407984   3720513  0.678589   469  0.864189  0.1800 0.000488 0.000579 0.001939 -0.023654 -0.036967 -0.164749
WHTA 11OCT25 2011.8138 55859 1659 2 -112.5  -1275 -0.409772   3720513  0.679742   469  0.866253  0.1800 0.000492 0.000579 0.001924 -0.036473 -0.019181 -0.160074
WHTA 11OCT26 2011.8166 55860 1659 3 -112.5  -1275 -0.413825   3720513  0.680816   469  0.849606  0.1800 0.000492 0.000581 0.001931 -0.033598 -0.009304 -0.164007
WHTA 11OCT27 2011.8193 55861 1659 4 -112.5  -1275 -0.408122   3720513  0.678933   469  0.868021  0.1800 0.000494 0.000584 0.001946 -0.001397 -0.042264 -0.173574
WHTA 11OCT28 2011.8220 55862 1659 5 -112.5  -1275 -0.409477   3720513  0.679891   469  0.866762  0.1800 0.000498 0.000593 0.001965 -0.019116 -0.039634 -0.157557
WHTA 11NOV06 2011.8467 55871 1661 0 -112.5  -1275 -0.407312   3720513  0.676788   469  0.854896  0.1800 0.000485 0.000574 0.001900 -0.025472 -0.020058 -0.156909
WHTA 11NOV07 2011.8494 55872 1661 1 -112.5  -1275 -0.407479   3720513  0.677106   469  0.841738  0.1800 0.000491 0.000581 0.001913 -0.031725 -0.028179 -0.141743
WHTA 11NOV08 2011.8522 55873 1661 2 -112.5  -1275 -0.404698   3720513  0.677459   469  0.851590  0.1800 0.000523 0.000624 0.002031 -0.009785 -0.048596 -0.140017
WHTA 11NOV14 2011.8686 55879 1662 1 -112.5  -1275 -0.408495   3720513  0.677383   469  0.864995  0.1800 0.000490 0.000583 0.001922 -0.030363 -0.009616 -0.139488
WHTA 11NOV15 2011.8713 55880 1662 2 -112.5  -1275 -0.409674   3720513  0.678595   469  0.862172  0.1800 0.000472 0.000566 0.001865 -0.018867 -0.004541 -0.150110
WHTA 11NOV16 2011.8741 55881 1662 3 -112.5  -1275 -0.408160   3720513  0.679267   469  0.865152  0.1800 0.000497 0.000593 0.001946 -0.015376 -0.010443 -0.136216
WHTA 11NOV24 2011.8960 55889 1663 4 -112.5  -1275 -0.408014   3720513  0.680813   469  0.863818  0.1800 0.000476 0.000569 0.001862 -0.026923 -0.007967 -0.129465
WHTA 11NOV25 2011.8987 55890 1663 5 -112.5  -1275 -0.412850   3720513  0.677892   469  0.860046  0.1800 0.000478 0.000572 0.001883 -0.021724 -0.009780 -0.122766
WHTA 11NOV26 2011.9014 55891 1663 6 -112.5  -1275 -0.410302   3720513  0.683440   469  0.864933  0.1800 0.000481 0.000569 0.001868 -0.017881 -0.007614 -0.131654
WHTA 11DEC03 2011.9206 55898 1664 6 -112.5  -1275 -0.406574   3720513  0.678262   469  0.857635  0.1800 0.000488 0.000577 0.001906 -0.032184 -0.015647 -0.145833
WHTA 11DEC04 2011.9233 55899 1665 0 -112.5  -1275 -0.408005   3720513  0.677896   469  0.852924  0.1800 0.000488 0.000578 0.001911 -0.029288 -0.035018 -0.148554
