site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WIS3 18SEP08 2018.6858 58369 2017 6  -87.8    700  0.925496   4853263  0.614259   195  0.978428  0.0000 0.000452 0.000592 0.001702 -0.007064 -0.002360 -0.054654
WIS3 18SEP11 2018.6940 58372 2018 2  -87.8    700  0.925937   4853263  0.612226   195  0.986607  0.0000 0.000475 0.000605 0.001770  0.005573  0.006124 -0.081699
WIS3 18SEP12 2018.6968 58373 2018 3  -87.8    700  0.926836   4853263  0.614701   195  0.990918  0.0000 0.000456 0.000591 0.001711 -0.020307  0.004598 -0.056755
WIS3 18SEP13 2018.6995 58374 2018 4  -87.8    700  0.927351   4853263  0.611801   195  0.988647  0.0000 0.000454 0.000589 0.001701 -0.008619 -0.008474 -0.056562
WIS3 18SEP14 2018.7023 58375 2018 5  -87.8    700  0.928560   4853263  0.613045   195  0.982509  0.0000 0.000469 0.000596 0.001757 -0.005700 -0.014801 -0.032303
WIS3 18SEP15 2018.7050 58376 2018 6  -87.8    700  0.926269   4853263  0.613334   195  0.988149  0.0000 0.000458 0.000587 0.001710 -0.009792  0.009441 -0.068945
WIS3 18SEP16 2018.7077 58377 2019 0  -87.8    700  0.927768   4853263  0.614208   195  0.991371  0.0000 0.000456 0.000588 0.001701 -0.017876  0.006022 -0.069013
WIS3 18SEP17 2018.7105 58378 2019 1  -87.8    700  0.926520   4853263  0.614566   195  0.990043  0.0000 0.000457 0.000590 0.001713 -0.021486  0.003555 -0.074063
WIS3 18SEP18 2018.7132 58379 2019 2  -87.8    700  0.924888   4853263  0.612689   195  0.990930  0.0000 0.000461 0.000594 0.001732 -0.018680  0.009297 -0.077241
WIS3 18SEP19 2018.7159 58380 2019 3  -87.8    700  0.924134   4853263  0.613401   195  0.985275  0.0000 0.000454 0.000589 0.001712 -0.002149  0.003446 -0.051624
WIS3 18SEP20 2018.7187 58381 2019 4  -87.8    700  0.924831   4853263  0.613504   195  0.990946  0.0000 0.000456 0.000591 0.001716 -0.000719  0.009520 -0.048117
WIS3 18SEP21 2018.7214 58382 2019 5  -87.8    700  0.923313   4853263  0.613914   195  0.985114  0.0000 0.000461 0.000599 0.001735 -0.016805  0.016486 -0.050158
WIS3 18SEP22 2018.7242 58383 2019 6  -87.8    700  0.923220   4853263  0.614294   195  0.976035  0.0000 0.000457 0.000590 0.001712 -0.024246  0.006140 -0.078816
WIS3 18SEP23 2018.7269 58384 2020 0  -87.8    700  0.924777   4853263  0.612976   195  0.979796  0.0000 0.000453 0.000585 0.001691 -0.014916  0.000138 -0.063708
WIS3 18SEP24 2018.7296 58385 2020 1  -87.8    700  0.924577   4853263  0.614814   195  0.977884  0.0000 0.000455 0.000593 0.001725 -0.002853 -0.020264 -0.073846
WIS3 18SEP25 2018.7324 58386 2020 2  -87.8    700  0.927386   4853263  0.613126   195  0.986697  0.0000 0.000461 0.000598 0.001736 -0.012611 -0.003180 -0.061871
WIS3 18SEP26 2018.7351 58387 2020 3  -87.8    700  0.922847   4853263  0.610704   195  0.976648  0.0000 0.000459 0.000594 0.001718 -0.000481  0.006392 -0.059193
WIS3 18SEP27 2018.7379 58388 2020 4  -87.8    700  0.923805   4853263  0.612099   195  0.982528  0.0000 0.000455 0.000586 0.001706 -0.006511 -0.000918 -0.064832
WIS3 18SEP28 2018.7406 58389 2020 5  -87.8    700  0.921596   4853263  0.612743   195  0.977109  0.0000 0.000455 0.000588 0.001709 -0.008710 -0.002209 -0.061622
WIS3 18SEP29 2018.7433 58390 2020 6  -87.8    700  0.923142   4853263  0.613780   195  0.974077  0.0000 0.000455 0.000592 0.001714 -0.004131 -0.013788 -0.080245
WIS3 18SEP30 2018.7461 58391 2021 0  -87.8    700  0.920114   4853263  0.614219   195  0.977157  0.0000 0.000454 0.000588 0.001700 -0.000931 -0.010106 -0.053629
WIS3 18OCT01 2018.7488 58392 2021 1  -87.8    700  0.921398   4853263  0.615952   195  0.983838  0.0000 0.000457 0.000592 0.001712 -0.007395 -0.005290 -0.055286
WIS3 18OCT02 2018.7515 58393 2021 2  -87.8    700  0.922468   4853263  0.614221   195  0.985615  0.0000 0.000461 0.000593 0.001734 -0.000264  0.004860 -0.084010
WIS3 18OCT03 2018.7543 58394 2021 3  -87.8    700  0.924068   4853263  0.613693   195  0.988119  0.0000 0.000462 0.000598 0.001731 -0.015166  0.021011 -0.066902
WIS3 18OCT04 2018.7570 58395 2021 4  -87.8    700  0.922469   4853263  0.611950   195  0.994393  0.0000 0.000465 0.000606 0.001737 -0.015601 -0.018626 -0.093344
WIS3 18OCT05 2018.7598 58396 2021 5  -87.8    700  0.921278   4853263  0.612357   195  0.981625  0.0000 0.000457 0.000588 0.001707 -0.003164  0.003961 -0.064998
