site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WLA1 09MAY10 2009.3552 54961 1531 0  -95.6  -2426 -0.051274   3330800  0.986014    34  0.743715  0.0000 0.000614 0.000652 0.002497  0.081008 -0.017185 -0.148477
WLA1 09MAY11 2009.3580 54962 1531 1  -95.6  -2426 -0.051205   3330800  0.984022    34  0.747576  0.0000 0.000629 0.000655 0.002570  0.070038 -0.043167 -0.151063
WLA1 09MAY12 2009.3607 54963 1531 2  -95.6  -2426 -0.051974   3330800  0.984298    34  0.739223  0.0000 0.000638 0.000662 0.002585  0.075077 -0.032875 -0.166782
WLA1 09MAY13 2009.3634 54964 1531 3  -95.6  -2426 -0.051581   3330800  0.985015    34  0.739783  0.0000 0.000620 0.000655 0.002536  0.067510  0.002438 -0.161244
WLA1 09MAY14 2009.3662 54965 1531 4  -95.6  -2426 -0.050642   3330800  0.985026    34  0.752354  0.0000 0.000617 0.000654 0.002514  0.065658 -0.026200 -0.162534
WLA1 09MAY15 2009.3689 54966 1531 5  -95.6  -2426 -0.053927   3330800  0.986453    34  0.746805  0.0000 0.000616 0.000651 0.002500  0.069019 -0.007039 -0.147062
WLA1 09MAY16 2009.3717 54967 1531 6  -95.6  -2426 -0.052269   3330800  0.988731    34  0.757631  0.0000 0.000622 0.000653 0.002520  0.069839 -0.022916 -0.142473
WLA1 09MAY17 2009.3744 54968 1532 0  -95.6  -2426 -0.051413   3330800  0.983321    34  0.739178  0.0000 0.000608 0.000646 0.002456  0.064315 -0.016079 -0.150457
WLA1 09MAY18 2009.3771 54969 1532 1  -95.6  -2426 -0.051184   3330800  0.984117    34  0.738016  0.0000 0.000615 0.000651 0.002477  0.067747 -0.012256 -0.151205
WLA1 09MAY19 2009.3799 54970 1532 2  -95.6  -2426 -0.049905   3330800  0.985465    34  0.738116  0.0000 0.000631 0.000668 0.002552  0.053527 -0.001918 -0.162364
