site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WOMT 99SEP03 1999.6715 51424 1025 5 -116.9  -2902 -0.026413   3837874  0.110857  1353  0.036349  0.0083 0.000581 0.000655 0.002240 -0.095343  0.059673 -0.092799
WOMT 99SEP04 1999.6742 51425 1025 6 -116.9  -2902 -0.026587   3837874  0.110641  1353  0.030983  0.0083 0.000592 0.000675 0.002300 -0.082883  0.103192 -0.102516
WOMT 99SEP05 1999.6769 51426 1026 0 -116.9  -2902 -0.024715   3837874  0.108331  1353  0.028524  0.0083 0.000578 0.000666 0.002241 -0.121067  0.086920 -0.079512
WOMT 99SEP06 1999.6797 51427 1026 1 -116.9  -2902 -0.026142   3837874  0.106376  1353  0.030433  0.0083 0.000581 0.000665 0.002233 -0.120989  0.070773 -0.090470
WOMT 99SEP07 1999.6824 51428 1026 2 -116.9  -2902 -0.029380   3837874  0.111050  1353  0.035052  0.0083 0.000611 0.000731 0.002535 -0.123123  0.077532 -0.108544
WOMT 99SEP08 1999.6851 51429 1026 3 -116.9  -2902 -0.025207   3837874  0.109836  1353  0.037190  0.0083 0.000621 0.000726 0.002579 -0.096373  0.051879 -0.101097
WOMT 99SEP09 1999.6879 51430 1026 4 -116.9  -2902 -0.023835   3837874  0.109037  1353  0.038031  0.0083 0.000575 0.000685 0.002288 -0.086759  0.066318 -0.110860
WOMT 99SEP10 1999.6906 51431 1026 5 -116.9  -2902 -0.028471   3837874  0.106644  1353  0.035972  0.0083 0.000570 0.000680 0.002218 -0.072894  0.051766 -0.117977
WOMT 99SEP11 1999.6934 51432 1026 6 -116.9  -2902 -0.025354   3837874  0.112729  1353  0.041054  0.0083 0.000572 0.000666 0.002215 -0.069017  0.033269 -0.113969
WOMT 99SEP12 1999.6961 51433 1027 0 -116.9  -2902 -0.030637   3837874  0.109614  1353  0.035973  0.0083 0.000583 0.000668 0.002277 -0.101472  0.070538 -0.117099
WOMT 99SEP13 1999.6988 51434 1027 1 -116.9  -2902 -0.027800   3837874  0.109845  1353  0.028444  0.0083 0.000566 0.000670 0.002238 -0.102888  0.054953 -0.111341
WOMT 99SEP14 1999.7016 51435 1027 2 -116.9  -2902 -0.025344   3837874  0.111893  1353  0.037944  0.0083 0.000592 0.000691 0.002311 -0.088311  0.084659 -0.127045
WOMT 99OCT17 1999.7919 51468 1032 0 -116.9  -2902 -0.091470   3837874  0.129563  1353  0.027172  0.0083 0.000568 0.000643 0.002194 -0.091607  0.058038 -0.160519
WOMT 99OCT18 1999.7947 51469 1032 1 -116.9  -2902 -0.092995   3837874  0.129616  1353  0.026678  0.0083 0.000576 0.000676 0.002394 -0.030861 -0.003701 -0.135357
WOMT 99OCT19 1999.7974 51470 1032 2 -116.9  -2902 -0.091605   3837874  0.127511  1353  0.022242  0.0083 0.000569 0.000668 0.002296 -0.054751 -0.005889 -0.149260
WOMT 99OCT20 1999.8001 51471 1032 3 -116.9  -2902 -0.091418   3837874  0.127165  1353  0.028073  0.0083 0.000571 0.000662 0.002207 -0.086926  0.022745 -0.089101
WOMT 99OCT21 1999.8029 51472 1032 4 -116.9  -2902 -0.089840   3837874  0.131010  1353  0.034401  0.0083 0.000577 0.000665 0.002307 -0.091203  0.037639 -0.113201
