site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WTH1 97AUG19 1997.6318 50679  919 2  -62.7  -2573 -0.517964   5039106  0.157362   172  0.458455  0.0770 0.000755 0.001025 0.003132  0.020354 -0.007904 -0.037921
WTH1 01JUN14 2001.4511 52074 1118 4  -62.7  -2573 -0.579420   5039106  0.198880   172  0.464751  0.0708 0.000686 0.000948 0.002584  0.037498  0.005796 -0.062122
WTH1 01JUN15 2001.4538 52075 1118 5  -62.7  -2573 -0.580374   5039106  0.197699   172  0.463830  0.0708 0.000506 0.000681 0.001903  0.036473  0.009768 -0.091939
WTH1 01JUN16 2001.4565 52076 1118 6  -62.7  -2573 -0.575941   5039106  0.199256   172  0.480935  0.0706 0.000490 0.000656 0.001848  0.026733  0.018963 -0.087125
WTH1 01JUN17 2001.4593 52077 1119 0  -62.7  -2573 -0.577741   5039106  0.198175   172  0.470010  0.0706 0.000497 0.000652 0.001869  0.001753  0.024499 -0.075843
WTH1 01JUN18 2001.4620 52078 1119 1  -62.7  -2573 -0.577392   5039106  0.198124   172  0.475877  0.0706 0.000703 0.000929 0.002742 -0.007068  0.035442 -0.101142
WTH1 03JUL09 2003.5181 52829 1226 3  -62.7  -2573 -0.607680   5039106  0.215115   172  0.461816  0.0750 0.000500 0.000674 0.001918 -0.079302  0.067342 -0.082209
WTH1 03JUL10 2003.5209 52830 1226 4  -62.7  -2573 -0.610185   5039106  0.211443   172  0.458949  0.0750 0.000523 0.000705 0.001983 -0.060933  0.060514 -0.084191
WTH1 03JUL11 2003.5236 52831 1226 5  -62.7  -2573 -0.610185   5039106  0.211232   172  0.459352  0.0720 0.000733 0.001003 0.002802 -0.110748  0.091298 -0.098360
WTH1 05JUN21 2005.4702 53542 1328 2  -62.7  -2573 -0.641712   5039106  0.228802   172  0.449944  0.0600 0.000718 0.000933 0.002694  0.009529  0.031118 -0.040848
WTH1 05JUN22 2005.4730 53543 1328 3  -62.7  -2573 -0.644592   5039106  0.226268   172  0.442075  0.0600 0.000500 0.000654 0.001897 -0.023408  0.030918 -0.110945
WTH1 05JUN24 2005.4784 53545 1328 5  -62.7  -2573 -0.640375   5039106  0.231457   172  0.455321  0.0750 0.000709 0.000909 0.002603  0.025679  0.033203 -0.095988
WTH1 05JUN25 2005.4812 53546 1328 6  -62.7  -2573 -0.640509   5039106  0.230465   172  0.466418  0.0750 0.000504 0.000658 0.001914 -0.036879  0.053515 -0.102727
WTH1 05JUN26 2005.4839 53547 1329 0  -62.7  -2573 -0.642225   5039106  0.226752   172  0.459745  0.0750 0.000503 0.000660 0.001922 -0.034982  0.043520 -0.112150
WTH1 05JUN27 2005.4867 53548 1329 1  -62.7  -2573 -0.642223   5039106  0.230249   172  0.456927  0.0750 0.000714 0.000960 0.002777 -0.104204  0.067602 -0.110091
WTH1 07JUL14 2007.5318 54295 1435 6  -62.7  -2573 -0.669514   5039106  0.248463   172  0.456572  0.0790 0.000518 0.000666 0.002049 -0.013735 -0.039244 -0.048384
WTH1 07JUL15 2007.5346 54296 1436 0  -62.7  -2573 -0.671007   5039106  0.251092   172  0.450052  0.0790 0.000527 0.000662 0.002075 -0.010142 -0.055532 -0.074973
WTH1 07JUL16 2007.5373 54297 1436 1  -62.7  -2573 -0.671374   5039106  0.250015   172  0.452233  0.0790 0.000565 0.000739 0.002252 -0.023950 -0.014310 -0.090867
WTH1 10JUN28 2010.4887 55375 1590 1  -62.7  -2573 -0.716722   5039106  0.278312   172  0.439882  0.0710 0.000733 0.001030 0.003099 -0.070171  0.022447 -0.042609
WTH1 10JUN29 2010.4914 55376 1590 2  -62.7  -2573 -0.716134   5039106  0.277008   172  0.445214  0.0710 0.000513 0.000716 0.002092 -0.068426 -0.008947 -0.111489
WTH1 10JUN30 2010.4942 55377 1590 3  -62.7  -2573 -0.715898   5039106  0.278460   172  0.438765  0.0710 0.000560 0.000806 0.002280 -0.086861  0.041788 -0.109604
WTH1 10JUL01 2010.4969 55378 1590 4  -62.7  -2573 -0.718748   5039106  0.277567   172  0.444371  0.0770 0.000593 0.000833 0.002415 -0.090448  0.023492 -0.105579
WTH1 16JUL08 2016.5175 57577 1904 5  -62.7  -2573 -0.802455   5039106  0.321619   172  0.434370  0.0780 0.000704 0.001042 0.002961 -0.071825  0.007173 -0.223722
WTH1 16JUL11 2016.5257 57580 1905 1  -62.7  -2573 -0.808844   5039106  0.329743   172  0.422647  0.0813 0.000511 0.000767 0.002226  0.045411 -0.041531 -0.210750
