site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WWRF 15JUN28 2015.4880 57201 1851 0 -119.7   -247 -0.241599   4376257  0.312766  1325  0.578658  0.0000 0.002974 0.002956 0.011279 -0.234707  0.312196 -0.132976
WWRF 15JUN29 2015.4908 57202 1851 1 -119.7   -247 -0.248036   4376257  0.316827  1325  0.564310  0.0000 0.002753 0.003266 0.010254 -0.022299 -0.073921 -0.299218
WWRF 15JUN30 2015.4935 57203 1851 2 -119.7   -247 -0.242202   4376257  0.309274  1325  0.583867  0.0000 0.002080 0.002725 0.008556  0.063512  0.108471 -0.037428
WWRF 15JUL01 2015.4962 57204 1851 3 -119.7   -247 -0.238496   4376257  0.310207  1325  0.576174  0.0000 0.001176 0.001415 0.004699  0.033596 -0.016794 -0.057716
WWRF 15JUL02 2015.4990 57205 1851 4 -119.7   -247 -0.234700   4376257  0.313076  1325  0.582266  0.0000 0.000525 0.000690 0.002157 -0.009023 -0.001378 -0.050543
WWRF 15JUL03 2015.5017 57206 1851 5 -119.7   -247 -0.235371   4376257  0.312850  1325  0.581497  0.0000 0.000518 0.000677 0.002110  0.021828 -0.016314 -0.048704
WWRF 15JUL04 2015.5044 57207 1851 6 -119.7   -247 -0.235761   4376257  0.311743  1325  0.586796  0.0000 0.000513 0.000673 0.002088  0.010285 -0.015634 -0.059025
WWRF 15JUL05 2015.5072 57208 1852 0 -119.7   -247 -0.234459   4376257  0.313293  1325  0.578074  0.0000 0.000518 0.000670 0.002098  0.007106 -0.017266 -0.061843
WWRF 15JUL06 2015.5099 57209 1852 1 -119.7   -247 -0.240567   4376257  0.308407  1325  0.590674  0.0000 0.000519 0.000674 0.002111  0.008486 -0.022373 -0.065555
WWRF 15JUL07 2015.5127 57210 1852 2 -119.7   -247 -0.236738   4376257  0.311333  1325  0.569819  0.0000 0.000526 0.000683 0.002138  0.018564 -0.028943 -0.064643
WWRF 15JUL08 2015.5154 57211 1852 3 -119.7   -247 -0.237858   4376257  0.312039  1325  0.580431  0.0000 0.000545 0.000702 0.002230  0.023830 -0.030960 -0.044554
WWRF 15JUL20 2015.5483 57223 1854 1 -119.7   -247 -0.242808   4376257  0.313818  1325  0.589889  0.0000 0.001126 0.001337 0.004550  0.019956 -0.041899 -0.013668
WWRF 15JUL21 2015.5510 57224 1854 2 -119.7   -247 -0.238172   4376257  0.314209  1325  0.584960  0.0000 0.000536 0.000683 0.002144  0.009202 -0.023181 -0.075930
WWRF 15JUL22 2015.5537 57225 1854 3 -119.7   -247 -0.236446   4376257  0.313222  1325  0.587761  0.0000 0.000532 0.000680 0.002133  0.002703 -0.003644 -0.077731
WWRF 15JUL23 2015.5565 57226 1854 4 -119.7   -247 -0.235052   4376257  0.310185  1325  0.584508  0.0000 0.000534 0.000682 0.002145  0.008292 -0.003114 -0.057073
WWRF 15JUL24 2015.5592 57227 1854 5 -119.7   -247 -0.237062   4376257  0.312566  1325  0.572862  0.0000 0.000532 0.000682 0.002140  0.019363 -0.004309 -0.039337
WWRF 15JUL25 2015.5619 57228 1854 6 -119.7   -247 -0.240079   4376257  0.311687  1325  0.579699  0.0000 0.000535 0.000682 0.002151  0.016977 -0.015153 -0.069696
WWRF 15JUL26 2015.5647 57229 1855 0 -119.7   -247 -0.235447   4376257  0.313999  1325  0.585218  0.0000 0.000532 0.000683 0.002145  0.025124 -0.020621 -0.074574
WWRF 15JUL27 2015.5674 57230 1855 1 -119.7   -247 -0.236053   4376257  0.311000  1325  0.579662  0.0000 0.000534 0.000681 0.002155  0.013753 -0.024531 -0.063827
WWRF 15JUL28 2015.5702 57231 1855 2 -119.7   -247 -0.236136   4376257  0.312358  1325  0.580024  0.0000 0.000537 0.000698 0.002209  0.034923 -0.029989 -0.065769
WWRF 15JUL29 2015.5729 57232 1855 3 -119.7   -247 -0.235781   4376257  0.313776  1325  0.575896  0.0000 0.000539 0.000702 0.002232  0.035162 -0.025660 -0.048025
WWRF 15JUL30 2015.5756 57233 1855 4 -119.7   -247 -0.236715   4376257  0.314620  1325  0.577386  0.0000 0.000533 0.000682 0.002139  0.018637 -0.017554 -0.057321
WWRF 15JUL31 2015.5784 57234 1855 5 -119.7   -247 -0.237030   4376257  0.312470  1325  0.579302  0.0000 0.000532 0.000682 0.002142  0.020664 -0.017171 -0.067530
WWRF 15AUG01 2015.5811 57235 1855 6 -119.7   -247 -0.237986   4376257  0.311070  1325  0.580461  0.0000 0.000535 0.000685 0.002147 -0.000746 -0.025165 -0.085536
