site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
Z117 09JAN02 2009.0048 54833 1512 5  132.6  -3279 -0.453567   3709351  0.015498   303  0.038905  0.0000 0.000478 0.000558 0.001858 -0.059652  0.004461 -0.088551
Z117 09JAN03 2009.0075 54834 1512 6  132.6  -3279 -0.449958   3709351  0.012098   303  0.042278  0.0000 0.000477 0.000545 0.001860 -0.075168  0.011093 -0.115278
Z117 09JAN04 2009.0103 54835 1513 0  132.6  -3279 -0.450737   3709351  0.014309   303  0.038237  0.0000 0.000481 0.000556 0.001870 -0.068974 -0.004192 -0.099662
Z117 09JAN05 2009.0130 54836 1513 1  132.6  -3279 -0.452106   3709351  0.012320   303  0.034322  0.0000 0.000470 0.000546 0.001836 -0.073319 -0.002455 -0.084724
Z117 09JAN06 2009.0157 54837 1513 2  132.6  -3279 -0.452881   3709351  0.012485   303  0.034960  0.0000 0.000481 0.000558 0.001880 -0.056640 -0.003780 -0.086089
Z117 09JAN07 2009.0185 54838 1513 3  132.6  -3279 -0.451366   3709351  0.014580   303  0.031737  0.0000 0.000480 0.000556 0.001870 -0.057456 -0.003266 -0.091614
Z117 09JAN08 2009.0212 54839 1513 4  132.6  -3279 -0.450710   3709351  0.012071   303  0.035098  0.0000 0.000490 0.000561 0.001896 -0.044359  0.000653 -0.097810
Z117 09JAN09 2009.0240 54840 1513 5  132.6  -3279 -0.454213   3709351  0.013101   303  0.031843  0.0000 0.000489 0.000566 0.001907 -0.032254 -0.007362 -0.093237
Z117 09JAN10 2009.0267 54841 1513 6  132.6  -3279 -0.455439   3709351  0.016275   303  0.021056  0.0000 0.000481 0.000555 0.001876 -0.062135  0.013114 -0.103687
Z117 09JAN11 2009.0294 54842 1514 0  132.6  -3279 -0.450931   3709351  0.012118   303  0.035892  0.0000 0.000480 0.000558 0.001882 -0.062803  0.012120 -0.087878
Z117 09JAN12 2009.0322 54843 1514 1  132.6  -3279 -0.455045   3709351  0.012504   303  0.032683  0.0000 0.000493 0.000567 0.001902 -0.046646 -0.006353 -0.117135
Z117 09JAN13 2009.0349 54844 1514 2  132.6  -3279 -0.449951   3709351  0.013699   303  0.036774  0.0000 0.000542 0.000617 0.002102 -0.082924 -0.005468 -0.080627
Z117 09JAN14 2009.0376 54845 1514 3  132.6  -3279 -0.450896   3709351  0.014047   303  0.027979  0.0000 0.000483 0.000555 0.001887 -0.060551  0.018788 -0.093234
Z117 09JAN15 2009.0404 54846 1514 4  132.6  -3279 -0.451607   3709351  0.010650   303  0.037270  0.0000 0.000477 0.000558 0.001865 -0.057019  0.022077 -0.079227
Z117 09JAN16 2009.0431 54847 1514 5  132.6  -3279 -0.451556   3709351  0.013461   303  0.031872  0.0000 0.000476 0.000558 0.001866 -0.054988  0.011973 -0.068971
Z117 09JAN17 2009.0459 54848 1514 6  132.6  -3279 -0.450723   3709351  0.012456   303  0.034993  0.0000 0.000476 0.000552 0.001862 -0.060696  0.037370 -0.086279
Z117 09JAN18 2009.0486 54849 1515 0  132.6  -3279 -0.454285   3709351  0.012612   303  0.025686  0.0000 0.000480 0.000556 0.001863 -0.057794  0.010279 -0.093121
Z117 09JAN19 2009.0513 54850 1515 1  132.6  -3279 -0.451273   3709351  0.011655   303  0.041855  0.0000 0.000479 0.000552 0.001869 -0.067806  0.035322 -0.099618
Z117 09JAN20 2009.0541 54851 1515 2  132.6  -3279 -0.450895   3709351  0.012733   303  0.040646  0.0000 0.000484 0.000557 0.001908 -0.069266  0.010460 -0.085692
Z117 09JAN21 2009.0568 54852 1515 3  132.6  -3279 -0.449230   3709351  0.010428   303  0.052604  0.0000 0.000485 0.000559 0.001897 -0.059068  0.013567 -0.083155
Z117 09JAN22 2009.0595 54853 1515 4  132.6  -3279 -0.450557   3709351  0.012223   303  0.045689  0.0000 0.000479 0.000553 0.001877 -0.059061  0.016660 -0.079053
Z117 09JAN23 2009.0623 54854 1515 5  132.6  -3279 -0.454208   3709351  0.016919   303  0.030511  0.0000 0.000481 0.000550 0.001880 -0.063146  0.020899 -0.097191
Z117 09JAN24 2009.0650 54855 1515 6  132.6  -3279 -0.450469   3709351  0.013641   303  0.025986  0.0000 0.000484 0.000551 0.001871 -0.065445  0.040407 -0.090747
Z117 09JAN25 2009.0678 54856 1516 0  132.6  -3279 -0.450849   3709351  0.012236   303  0.029960  0.0000 0.000486 0.000552 0.001905 -0.059373  0.011552 -0.106023
Z117 09JAN26 2009.0705 54857 1516 1  132.6  -3279 -0.451612   3709351  0.012005   303  0.039701  0.0000 0.000479 0.000557 0.001886 -0.058977  0.026038 -0.068570
Z117 09JAN27 2009.0732 54858 1516 2  132.6  -3279 -0.450555   3709351  0.012423   303  0.039172  0.0000 0.000481 0.000557 0.001879 -0.051834  0.039639 -0.079024
Z117 09JAN28 2009.0760 54859 1516 3  132.6  -3279 -0.449506   3709351  0.014216   303  0.043096  0.0000 0.000482 0.000557 0.001875 -0.057150  0.029779 -0.089438
Z117 09JAN29 2009.0787 54860 1516 4  132.6  -3279 -0.449686   3709351  0.012985   303  0.041751  0.0000 0.000486 0.000551 0.001889 -0.057341  0.011648 -0.105389
Z117 09JAN30 2009.0815 54861 1516 5  132.6  -3279 -0.451209   3709351  0.012734   303  0.042046  0.0000 0.000479 0.000551 0.001866 -0.061331  0.034661 -0.101662
Z117 09JAN31 2009.0842 54862 1516 6  132.6  -3279 -0.451510   3709351  0.010767   303  0.054193  0.0000 0.000484 0.000551 0.001882 -0.070662  0.048307 -0.103981
Z117 09FEB01 2009.0869 54863 1517 0  132.6  -3279 -0.452928   3709351  0.014478   303  0.042076  0.0000 0.000481 0.000556 0.001888 -0.050097  0.014326 -0.079502
Z117 09FEB02 2009.0897 54864 1517 1  132.6  -3279 -0.451729   3709351  0.014314   303  0.042328  0.0000 0.000477 0.000555 0.001865 -0.055705  0.023101 -0.080299
Z117 09FEB03 2009.0924 54865 1517 2  132.6  -3279 -0.453100   3709351  0.011473   303  0.043877  0.0000 0.000479 0.000550 0.001864 -0.057932  0.016738 -0.101591
Z117 09FEB04 2009.0951 54866 1517 3  132.6  -3279 -0.452255   3709351  0.011928   303  0.040572  0.0000 0.000477 0.000556 0.001862 -0.060092  0.029512 -0.104739
Z117 09FEB05 2009.0979 54867 1517 4  132.6  -3279 -0.450121   3709351  0.013713   303  0.030845  0.0000 0.000479 0.000556 0.001869 -0.072931  0.014804 -0.076771
Z117 09FEB06 2009.1006 54868 1517 5  132.6  -3279 -0.452030   3709351  0.013408   303  0.033528  0.0000 0.000477 0.000554 0.001869 -0.048731  0.035294 -0.089949
Z117 09FEB07 2009.1034 54869 1517 6  132.6  -3279 -0.453545   3709351  0.015783   303  0.041533  0.0000 0.000478 0.000557 0.001877 -0.052712  0.032734 -0.085891
Z117 09FEB08 2009.1061 54870 1518 0  132.6  -3279 -0.452599   3709351  0.011835   303  0.042708  0.0000 0.000475 0.000553 0.001853 -0.065219  0.021322 -0.085096
Z117 09FEB09 2009.1088 54871 1518 1  132.6  -3279 -0.450770   3709351  0.011974   303  0.037358  0.0000 0.000480 0.000551 0.001861 -0.063559  0.027178 -0.100370
Z117 09FEB10 2009.1116 54872 1518 2  132.6  -3279 -0.449864   3709351  0.014728   303  0.033868  0.0000 0.000481 0.000552 0.001842 -0.055286  0.041157 -0.080630
Z117 09FEB11 2009.1143 54873 1518 3  132.6  -3279 -0.450597   3709351  0.014403   303  0.030306  0.0000 0.000486 0.000563 0.001899 -0.035789  0.015547 -0.073467
Z117 09FEB12 2009.1170 54874 1518 4  132.6  -3279 -0.448000   3709351  0.010862   303  0.044681  0.0000 0.000493 0.000567 0.001919 -0.034716  0.020465 -0.077985
Z117 09FEB13 2009.1198 54875 1518 5  132.6  -3279 -0.457512   3709351  0.011688   303  0.042322  0.0000 0.000483 0.000557 0.001889 -0.055069  0.026935 -0.102080
Z117 09FEB14 2009.1225 54876 1518 6  132.6  -3279 -0.451101   3709351  0.013018   303  0.042910  0.0000 0.000483 0.000555 0.001878 -0.053657  0.013871 -0.087513
Z117 09FEB15 2009.1253 54877 1519 0  132.6  -3279 -0.451678   3709351  0.012742   303  0.036240  0.0000 0.000479 0.000549 0.001848 -0.063549  0.022310 -0.091070
Z117 09FEB16 2009.1280 54878 1519 1  132.6  -3279 -0.452409   3709351  0.015450   303  0.037480  0.0000 0.000479 0.000556 0.001856 -0.054241  0.027993 -0.078298
Z117 09FEB17 2009.1307 54879 1519 2  132.6  -3279 -0.451793   3709351  0.012730   303  0.036758  0.0000 0.000485 0.000563 0.001884 -0.056767  0.016665 -0.081235
Z117 09FEB18 2009.1335 54880 1519 3  132.6  -3279 -0.451697   3709351  0.011202   303  0.041049  0.0000 0.000481 0.000560 0.001880 -0.056249  0.022501 -0.056008
Z117 09FEB19 2009.1362 54881 1519 4  132.6  -3279 -0.450199   3709351  0.010040   303  0.052985  0.0000 0.000482 0.000554 0.001879 -0.054627  0.003011 -0.098377
Z117 09FEB20 2009.1389 54882 1519 5  132.6  -3279 -0.456098   3709351  0.013610   303  0.037748  0.0000 0.000484 0.000551 0.001880 -0.072609  0.057254 -0.117389
Z117 09FEB21 2009.1417 54883 1519 6  132.6  -3279 -0.450737   3709351  0.013836   303  0.042628  0.0000 0.000485 0.000553 0.001871 -0.052219  0.031275 -0.097829
Z117 09FEB22 2009.1444 54884 1520 0  132.6  -3279 -0.449964   3709351  0.010704   303  0.048789  0.0000 0.000481 0.000553 0.001870 -0.054999  0.015028 -0.091053
Z117 09FEB23 2009.1472 54885 1520 1  132.6  -3279 -0.449476   3709351  0.010719   303  0.052343  0.0000 0.000486 0.000563 0.001909 -0.020561  0.013972 -0.092968
Z117 09FEB24 2009.1499 54886 1520 2  132.6  -3279 -0.450977   3709351  0.011730   303  0.048003  0.0000 0.000490 0.000566 0.001935 -0.021821  0.002988 -0.099372
Z117 09FEB25 2009.1526 54887 1520 3  132.6  -3279 -0.452197   3709351  0.009332   303  0.051138  0.0000 0.000480 0.000556 0.001875 -0.045427  0.003794 -0.101154
Z117 09FEB26 2009.1554 54888 1520 4  132.6  -3279 -0.450387   3709351  0.013152   303  0.048141  0.0000 0.000490 0.000565 0.001916 -0.032943  0.003392 -0.085657
Z117 09FEB27 2009.1581 54889 1520 5  132.6  -3279 -0.450915   3709351  0.012295   303  0.044305  0.0000 0.000490 0.000564 0.001919 -0.020386  0.014143 -0.093540
Z117 09FEB28 2009.1608 54890 1520 6  132.6  -3279 -0.450326   3709351  0.012447   303  0.043038  0.0000 0.000476 0.000550 0.001856 -0.053669  0.020517 -0.107954
Z117 09MAR01 2009.1636 54891 1521 0  132.6  -3279 -0.452334   3709351  0.011252   303  0.039452  0.0000 0.000479 0.000556 0.001898 -0.050182  0.004079 -0.071146
Z117 09MAR02 2009.1663 54892 1521 1  132.6  -3279 -0.450113   3709351  0.012617   303  0.046504  0.0000 0.000481 0.000557 0.001894 -0.057475  0.009768 -0.099188
Z117 09MAR03 2009.1691 54893 1521 2  132.6  -3279 -0.450751   3709351  0.010483   303  0.044341  0.0000 0.000498 0.000561 0.001934 -0.080482  0.046369 -0.067589
Z117 09MAR04 2009.1718 54894 1521 3  132.6  -3279 -0.451694   3709351  0.011500   303  0.045088  0.0000 0.000485 0.000554 0.001900 -0.067298  0.035997 -0.088390
Z117 09MAR05 2009.1745 54895 1521 4  132.6  -3279 -0.448795   3709351  0.010413   303  0.045443  0.0000 0.000481 0.000550 0.001874 -0.062299  0.020298 -0.105705
Z117 09MAR06 2009.1773 54896 1521 5  132.6  -3279 -0.450707   3709351  0.012102   303  0.047801  0.0000 0.000491 0.000561 0.001904 -0.065761  0.015410 -0.061954
Z117 09MAR07 2009.1800 54897 1521 6  132.6  -3279 -0.451798   3709351  0.011271   303  0.046206  0.0000 0.000486 0.000562 0.001910 -0.056609  0.035316 -0.101480
Z117 09MAR08 2009.1828 54898 1522 0  132.6  -3279 -0.451573   3709351  0.011110   303  0.042863  0.0000 0.000481 0.000554 0.001890 -0.054576  0.000439 -0.109736
Z117 09MAR09 2009.1855 54899 1522 1  132.6  -3279 -0.451093   3709351  0.012959   303  0.042763  0.0000 0.000478 0.000554 0.001885 -0.056197  0.021206 -0.096037
